id,points,inhabitants,_100k_inhabitants
0110,26,124547,1.24547
0120,7,90529,0.90529
0130,6,78770,0.7877
0140,6,103158,1.03158
0210,2,40981,0.40981
0220,22,64657,0.64657
0230,11,45780,0.4578
0240,7,53262,0.53262
0250,16,87944,0.87944
0310,1,17674,0.17674
0320,2,49064,0.49064
0330,2,37751,0.37751
0340,6,95353,0.95353
0350,4,57552,0.57552
0360,17,108982,1.08982
0370,13,60900,0.609
0420,1,41112,0.41112
0430,9,109983,1.09983
0440,3,54276,0.54276
0450,13,118483,1.18483
0510,3,113812,1.13812
0530,2,33446,0.33446
0540,2,20078,0.20078
0610,9,76247,0.76247
0620,7,80672,0.80672
0630,7,83753,0.83753
0640,3,69372,0.69372
0710,7,50344,0.50344
0720,9,52923,0.52923
0730,6,47401,0.47401
0740,3,67378,0.67378
0750,1,53764,0.53764
0760,6,85149,0.85149
0810,17,162548,1.62548
0820,1,74382,0.74382
0830,1,38731,0.38731
0840,2,53827,0.53827
0910,7,66246,0.66246
0920,3,75507,0.75507
0930,4,59802,0.59802
0940,4,39520,0.3952
0950,4,56161,0.56161
1010,2,119584,1.19584
1020,3,93512,0.93512
1040,2,50036,0.50036
1110,4,65576,0.65576
1120,2,53086,0.53086
1130,2,79321,0.79321
1140,4,80743,0.80743
1150,2,36822,0.36822
1210,3,57082,0.57082
1220,7,59919,0.59919
1240,7,57310,0.5731
1250,3,48950,0.4895
