id,points,inhabitants,_100k_inhabitants
01100102,6,2034,0.02034
01100104,1,4889,0.04889
01100207,1,8844,0.08844
01100308,1,7297,0.07297
01100309,6,12651,0.12651
01100310,5,10181,0.10181
01100415,4,13348,0.13348
01100416,2,13523,0.13523
01200518,2,7096,0.07096
01200520,1,9513,0.09513
01200623,1,10990,0.1099
01200625,1,6905,0.06905
01200628,1,3281,0.03281
01200629,1,6039,0.06039
01300731,1,8922,0.08922
01300733,2,11684,0.11684
01300835,1,10821,0.10821
01300836,2,14947,0.14947
01400938,1,9681,0.09681
01401045,1,5531,0.05531
01401047,1,8206,0.08206
01401048,1,9520,0.0952
01401049,2,6637,0.06637
02100101,1,7225,0.07225
02100103,1,5470,0.0547
02200207,2,2666,0.02666
02200209,3,10957,0.10957
02200210,1,12350,0.1235
02200211,6,14595,0.14595
02200212,2,8340,0.0834
02200213,8,10004,0.10004
02300314,1,7085,0.07085
02300315,3,8209,0.08209
02300316,2,4160,0.0416
02300417,1,8301,0.08301
02300418,2,7629,0.07629
02300419,2,10396,0.10396
02400520,1,5904,0.05904
02400623,1,14037,0.14037
02400624,3,11887,0.11887
02400625,2,1328,0.01328
02500726,1,9175,0.09175
02500727,1,6519,0.06519
02500728,1,10073,0.10073
02500729,2,5407,0.05407
02500830,1,4071,0.04071
02500831,1,7857,0.07857
02500832,1,9541,0.09541
02500833,4,10045,0.10045
02500834,3,11299,0.11299
02500835,1,8820,0.0882
03100103,1,9449,0.09449
03200206,1,6842,0.06842
03200207,1,11799,0.11799
03300411,2,11764,0.11764
03400721,1,11895,0.11895
03400722,1,3807,0.03807
03400723,1,7507,0.07507
03400725,1,7645,0.07645
03400826,1,7222,0.07222
03400829,1,5968,0.05968
03500933,1,7686,0.07686
03500935,1,6799,0.06799
03500936,2,10052,0.10052
03601141,3,7057,0.07057
03601142,4,10860,0.1086
03601243,2,6990,0.0699
03601244,1,7614,0.07614
03601346,2,5888,0.05888
03601347,2,9495,0.09495
03601348,2,7470,0.0747
03601449,1,9928,0.09928
03701554,4,11453,0.11453
03701555,3,7258,0.07258
03701556,1,8598,0.08598
03701659,2,9477,0.09477
03701660,3,12614,0.12614
04200308,1,6113,0.06113
04300413,1,9973,0.09973
04300414,2,10581,0.10581
04300416,1,11646,0.11646
04300619,1,9007,0.09007
04300621,2,10941,0.10941
04300623,1,12187,0.12187
04300624,1,9314,0.09314
04400729,1,2840,0.0284
04400832,2,6998,0.06998
04500937,1,7653,0.07653
04500939,1,6761,0.06761
04501040,1,5895,0.05895
04501041,2,5420,0.0542
04501042,1,3664,0.03664
04501044,1,5328,0.05328
04501146,1,4744,0.04744
04501147,1,5452,0.05452
04501149,2,9878,0.09878
04501151,1,7420,0.0742
04501153,1,7563,0.07563
05100105,1,7689,0.07689
05100316,2,10505,0.10505
05300737,1,11913,0.11913
05300841,1,4605,0.04605
05400944,1,2183,0.02183
05400945,1,3671,0.03671
06100102,4,9048,0.09048
06100204,1,6803,0.06803
06100207,1,8168,0.08168
06100208,2,7065,0.07065
06100209,1,9322,0.09322
06200314,1,7210,0.0721
06200315,1,6890,0.0689
06200316,1,5788,0.05788
06200421,1,8417,0.08417
06200422,3,7009,0.07009
06300526,1,3350,0.0335
06300527,1,8541,0.08541
06300528,1,10947,0.10947
06300629,2,6988,0.06988
06300632,1,13695,0.13695
06300633,1,11955,0.11955
06400838,1,7341,0.07341
06400839,1,5370,0.0537
06400844,1,7263,0.07263
07100102,3,8696,0.08696
07100103,2,7897,0.07897
07100204,2,10425,0.10425
07200308,2,10698,0.10698
07200409,5,9300,0.093
07200411,1,2741,0.02741
07200413,1,7708,0.07708
07300516,2,8896,0.08896
07300517,2,10082,0.10082
07300619,2,12219,0.12219
07400720,1,11668,0.11668
07400825,1,7213,0.07213
07400927,1,11415,0.11415
07501133,1,8254,0.08254
07601236,1,10335,0.10335
07601237,1,4785,0.04785
07601341,1,2225,0.02225
07601442,1,10408,0.10408
07601544,2,9262,0.09262
08100101,1,4626,0.04626
08100102,4,8181,0.08181
08100206,1,9350,0.0935
08100208,1,11955,0.11955
08100209,1,8834,0.08834
08100310,3,7560,0.0756
08100311,2,7076,0.07076
08100415,2,6388,0.06388
08100416,2,6577,0.06577
08200726,1,6109,0.06109
08301036,1,7448,0.07448
08401243,2,10078,0.10078
09100101,5,13453,0.13453
09100304,1,12007,0.12007
09100407,1,8670,0.0867
09200511,2,13207,0.13207
09200613,1,10704,0.10704
09301024,1,3776,0.03776
09301126,3,8376,0.08376
09401431,1,5992,0.05992
09401534,3,7494,0.07494
09501737,3,14359,0.14359
09501838,1,11138,0.11138
10100210,1,10868,0.10868
10100316,1,3696,0.03696
10200417,1,8063,0.08063
10200526,1,6241,0.06241
10200629,1,9187,0.09187
10400837,1,7870,0.0787
10400939,1,4529,0.04529
11100102,1,3095,0.03095
11100307,1,11702,0.11702
11100308,2,9886,0.09886
11200513,1,10466,0.10466
11200514,1,16289,0.16289
11300725,2,10202,0.10202
11400927,1,4173,0.04173
11400929,2,16901,0.16901
11401135,1,11011,0.11011
11501340,1,11246,0.11246
11501341,1,10103,0.10103
12100101,1,11188,0.11188
12100103,1,7592,0.07592
12100205,1,13988,0.13988
12200308,1,5868,0.05868
12200310,1,8284,0.08284
12200515,5,11322,0.11322
12400617,1,6704,0.06704
12400720,1,8480,0.0848
12400721,1,7891,0.07891
12400722,2,8517,0.08517
12400723,2,8090,0.0809
12500926,1,5181,0.05181
12500928,1,5158,0.05158
12500929,1,5104,0.05104
