id,points,inhabitants,_100k_inhabitants
011001,5,16293,0.16293
011002,4,13637,0.13637
011003,12,62233,0.62233
011004,10,32384,0.32384
012005,23,46905,0.46905
012006,16,43624,0.43624
013007,18,38744,0.38744
013008,7,40026,0.40026
014009,27,46542,0.46542
014010,31,56616,0.56616
021001,10,40981,0.40981
022002,53,64657,0.64657
023003,21,19454,0.19454
023004,18,26326,0.26326
024005,5,26010,0.2601
024006,7,27252,0.27252
025007,12,31174,0.31174
025008,17,56770,0.5677
031001,4,17674,0.17674
032002,10,30231,0.30231
032003,3,18833,0.18833
034006,3,18885,0.18885
034007,14,39348,0.39348
034008,9,37120,0.3712
035009,8,41559,0.41559
036011,25,27973,0.27973
036012,2,28115,0.28115
036013,20,22853,0.22853
036014,10,30041,0.30041
037015,9,27309,0.27309
037016,15,33591,0.33591
041001,4,19646,0.19646
042002,4,13147,0.13147
042003,4,27965,0.27965
043004,30,42997,0.42997
043005,4,16150,0.1615
043006,24,50836,0.50836
044007,6,19829,0.19829
044008,8,34447,0.34447
045009,17,28316,0.28316
045010,10,40669,0.40669
045011,43,49498,0.49498
051001,4,29637,0.29637
051002,4,43147,0.43147
051003,9,41028,0.41028
052004,3,23759,0.23759
052006,8,37211,0.37211
053007,2,20008,0.20008
053008,4,13438,0.13438
054009,2,20078,0.20078
061001,12,22146,0.22146
061002,23,54101,0.54101
062003,12,44698,0.44698
062004,3,35974,0.35974
063005,3,34282,0.34282
063006,9,49471,0.49471
064007,4,26664,0.26664
064008,8,42708,0.42708
071001,9,26387,0.26387
071002,13,23957,0.23957
072003,14,21247,0.21247
072004,25,31676,0.31676
073005,23,25939,0.25939
073006,14,21462,0.21462
074007,2,19307,0.19307
074008,22,32691,0.32691
074009,5,15380,0.1538
075010,15,32705,0.32705
075011,7,21059,0.21059
076012,6,17997,0.17997
076013,5,14362,0.14362
076014,5,21257,0.21257
076015,6,31533,0.31533
081001,18,33049,0.33049
081002,23,37581,0.37581
081003,13,37805,0.37805
081004,12,38919,0.38919
081005,1,15194,0.15194
082006,4,21540,0.2154
082007,2,23196,0.23196
082008,5,29646,0.29646
083009,4,20234,0.20234
083010,1,18497,0.18497
084012,4,44165,0.44165
091001,3,13453,0.13453
091002,3,11753,0.11753
091003,7,19404,0.19404
091004,5,21636,0.21636
092005,10,25664,0.25664
092006,8,14508,0.14508
092007,3,22417,0.22417
092008,1,12918,0.12918
093009,2,31244,0.31244
093011,1,8376,0.08376
093012,1,4487,0.04487
094013,1,12925,0.12925
094015,3,7494,0.07494
095017,1,19036,0.19036
095019,2,12525,0.12525
095020,2,13462,0.13462
101001,2,25148,0.25148
101002,1,52190,0.5219
101003,1,42246,0.42246
102004,1,44060,0.4406
102006,3,26017,0.26017
103007,3,30959,0.30959
104009,1,30353,0.30353
111001,1,6451,0.06451
111002,2,30968,0.30968
111003,1,28157,0.28157
112004,5,17330,0.1733
112005,2,35756,0.35756
113006,1,34484,0.34484
113007,4,34329,0.34329
114009,16,35831,0.35831
114010,1,16561,0.16561
114011,2,28351,0.28351
115012,1,4899,0.04899
115013,9,31923,0.31923
121001,10,28760,0.2876
121002,6,28322,0.28322
122003,12,28242,0.28242
122004,3,20355,0.20355
122005,3,11322,0.11322
124006,8,24332,0.24332
124007,8,32978,0.32978
125008,3,16760,0.1676
125009,8,32190,0.3219
126010,3,9583,0.09583
126011,4,27454,0.27454
126012,5,13800,0.138
