id,points,inhabitants,_100k_inhabitants
0110,31,124547,1.24547
0120,39,90529,0.90529
0130,25,78770,0.7877
0140,58,103158,1.03158
0210,10,40981,0.40981
0220,53,64657,0.64657
0230,39,45780,0.4578
0240,12,53262,0.53262
0250,29,87944,0.87944
0310,4,17674,0.17674
0320,13,49064,0.49064
0340,26,95353,0.95353
0350,8,57552,0.57552
0360,57,108982,1.08982
0370,24,60900,0.609
0410,4,19646,0.19646
0420,8,41112,0.41112
0430,58,109983,1.09983
0440,14,54276,0.54276
0450,70,118483,1.18483
0510,17,113812,1.13812
0520,11,91941,0.91941
0530,6,33446,0.33446
0540,2,20078,0.20078
0610,35,76247,0.76247
0620,15,80672,0.80672
0630,12,83753,0.83753
0640,12,69372,0.69372
0710,22,50344,0.50344
0720,39,52923,0.52923
0730,37,47401,0.47401
0740,29,67378,0.67378
0750,22,53764,0.53764
0760,22,85149,0.85149
0810,67,162548,1.62548
0820,11,74382,0.74382
0830,5,38731,0.38731
0840,4,53827,0.53827
0910,18,66246,0.66246
0920,22,75507,0.75507
0930,4,59802,0.59802
0940,4,39520,0.3952
0950,5,56161,0.56161
1010,4,119584,1.19584
1020,4,93512,0.93512
1030,3,30959,0.30959
1040,1,50036,0.50036
1110,4,65576,0.65576
1120,7,53086,0.53086
1130,5,79321,0.79321
1140,19,80743,0.80743
1150,10,36822,0.36822
1210,16,57082,0.57082
1220,18,59919,0.59919
1240,16,57310,0.5731
1250,11,48950,0.4895
1260,12,50837,0.50837
