id,points,inhabitants,_100k_inhabitants
01100103,4,5790,0.0579
01100104,1,4889,0.04889
01100206,2,1876,0.01876
01100207,2,8844,0.08844
01100308,3,7297,0.07297
01100309,3,12651,0.12651
01100310,3,10181,0.10181
01100312,1,10727,0.10727
01100313,2,11590,0.1159
01100415,2,13348,0.13348
01100416,8,13523,0.13523
01200517,3,3924,0.03924
01200518,4,7096,0.07096
01200519,8,9592,0.09592
01200520,1,9513,0.09513
01200521,2,5259,0.05259
01200522,5,11521,0.11521
01200623,6,10990,0.1099
01200625,5,6905,0.06905
01200626,3,6079,0.06079
01200628,1,3281,0.03281
01200629,1,6039,0.06039
01300730,1,8060,0.0806
01300731,6,8922,0.08922
01300732,3,10078,0.10078
01300733,8,11684,0.11684
01300834,2,14258,0.14258
01300836,5,14947,0.14947
01400937,2,10966,0.10966
01400938,5,9681,0.09681
01400939,11,6149,0.06149
01400940,3,7094,0.07094
01400941,1,3863,0.03863
01400942,5,8789,0.08789
01401043,4,7627,0.07627
01401044,3,10226,0.10226
01401045,4,5531,0.05531
01401046,3,8869,0.08869
01401047,7,8206,0.08206
01401048,6,9520,0.0952
01401049,4,6637,0.06637
02100101,3,7225,0.07225
02100102,1,8660,0.0866
02100103,1,5470,0.0547
02100104,2,5550,0.0555
02100105,2,9263,0.09263
02100106,1,4813,0.04813
02200207,2,2666,0.02666
02200208,1,5745,0.05745
02200209,9,10957,0.10957
02200210,6,12350,0.1235
02200211,16,14595,0.14595
02200212,6,8340,0.0834
02200213,13,10004,0.10004
02300314,5,7085,0.07085
02300315,12,8209,0.08209
02300316,4,4160,0.0416
02300417,2,8301,0.08301
02300418,7,7629,0.07629
02300419,9,10396,0.10396
02400520,1,5904,0.05904
02400521,2,8712,0.08712
02400522,2,11394,0.11394
02400623,1,14037,0.14037
02400624,5,11887,0.11887
02400625,1,1328,0.01328
02500726,6,9175,0.09175
02500727,2,6519,0.06519
02500728,4,10073,0.10073
02500831,4,7857,0.07857
02500832,5,9541,0.09541
02500834,6,11299,0.11299
02500835,2,8820,0.0882
03100101,3,4720,0.0472
03100103,1,9449,0.09449
03200205,3,9167,0.09167
03200206,3,6842,0.06842
03200207,4,11799,0.11799
03200308,1,5261,0.05261
03200309,1,5484,0.05484
03200310,1,8088,0.08088
03400619,3,10596,0.10596
03400721,7,11895,0.11895
03400723,1,7507,0.07507
03400724,5,8494,0.08494
03400725,1,7645,0.07645
03400826,1,7222,0.07222
03400827,3,9703,0.09703
03400828,2,4934,0.04934
03400830,3,9293,0.09293
03500933,1,7686,0.07686
03500935,4,6799,0.06799
03500936,3,10052,0.10052
03601139,3,4040,0.0404
03601140,4,6016,0.06016
03601141,10,7057,0.07057
03601142,8,10860,0.1086
