id,lat,lon,name,street,zip_code,city,planning_area_id
137549003,52.56995,13.31386,Bunte  Klänge Kindergarten,Graf-Haeseler-Straße 23,13403.0,Berlin,12200309
167048488,52.50153,13.43339,Nestwärme Kita,,,,02300315
268915158,52.47674,13.32582,Kita Fehlerstraße 2,Fehlerstraße 2,12161.0,Berlin,07300515
268915167,52.46852,13.33250,Ganztagsbetreuung der Fläming-Grundschule,Rheinstraße 54,12161.0,Berlin,07300618
268915173,52.53988,13.34962,kidsweb.de Kindertagesbetreuung,,,,01401046
268915177,52.50068,13.35870,EKG - An der Apostelkirche 1,Kurfürstenstraße 139,10785.0,,07100103
268915180,52.59163,13.32583,EKG - Alt-Wittenau 64,Alt-Wittenau 64,13437.0,Berlin,12500927
268915183,52.55046,13.26980,EKG - An der Mäckeritzbrücke 4,,,,12200414
268915185,52.61758,13.31551,EKG - Berliner Straße 120,,,,12400723
268915194,52.44738,13.35714,EKG - Ellwanger Straße 9-11,,,,06100205
268915196,52.47913,13.32110,EKG - Detmolder Straße 17,,,,04501151
268915198,52.43899,13.38667,EKG - Friedenstraße 20,,,,07501133
268915205,52.38533,13.40576,Ev. Teilzeit-Kita Goltzstraße,Goltzstraße 33,12307.0,Berlin,07601547
268915206,52.56020,13.36077,EKG - Gemeindezentrum Schillerhöhe,,,,01400940
268915210,52.50449,13.28704,Kita der Evangelischen Kirchengemeinde Am Lietzensee,Herbartstraße 4,14057.0,Berlin,04300415
268915214,52.44763,13.32743,Lemmis Kreativ-Kita,Gravelottestraße 10,12167.0,Berlin,06100206
268915217,52.46003,13.37843,EKG - Kaiserin-Augusta-Straße 23,Kaiserin-Augusta-Straße 23,12103.0,Berlin,07400824
268915220,52.45396,13.14479,Miniclub,Kladower Damm 369,14089.0,Berlin,05400944
268915222,52.51186,13.18584,Eltern-Kind-Gruppe,Jaczostraße 54,13595.0,Berlin,05200634
268915227,52.42264,13.45053,EKG - Martin-Luther-King-Weg 6,,,,08200833
268915231,52.50829,13.31395,Kindergarten Trinitatis,Leibnizstraße 79,10625.0,Berlin,04300623
268915236,52.45942,13.28672,Teilzeit-KiTa Martin-Niemöller-Haus,Pacelliallee 61,14195.0,Berlin,06400844
268915238,52.43761,13.21926,EKG - Matterhornstraße 37,,,,06400838
268915239,52.49395,13.32688,EKG - Nassauische Straße 66,,,,04501149
268915241,52.55894,13.18220,EKG - Schwanter Weg 3,,,,05100105
268915244,52.54148,13.26740,EKG - Schuckertdamm 336-338,,,,05300839
268915246,52.45610,13.31861,Eltern-Kind-Gruppe Matthäus,Schloßstraße 44C,12165.0,Berlin,06100101
268915247,52.40536,13.40226,EKG - Rackebüller Weg 64,Rackebüller Weg 64,,,07601442
