id,points,inhabitants,_100k_inhabitants
011001,3,16293,0.16293
011002,7,13637,0.13637
011003,7,62233,0.62233
011004,2,32384,0.32384
012005,2,46905,0.46905
012006,3,43624,0.43624
021001,1,40981,0.40981
022002,3,64657,0.64657
023003,1,19454,0.19454
023004,2,26326,0.26326
031001,1,17674,0.17674
033004,1,20185,0.20185
034006,1,18885,0.18885
034007,1,39348,0.39348
035009,1,41559,0.41559
036013,1,22853,0.22853
036014,1,30041,0.30041
037015,2,27309,0.27309
037016,2,33591,0.33591
041001,1,19646,0.19646
042003,1,27965,0.27965
043004,2,42997,0.42997
043006,6,50836,0.50836
044007,1,19829,0.19829
044008,2,34447,0.34447
045010,2,40669,0.40669
045011,1,49498,0.49498
051001,1,29637,0.29637
051002,1,43147,0.43147
051003,1,41028,0.41028
052005,1,30971,0.30971
053007,1,20008,0.20008
054009,1,20078,0.20078
061001,1,22146,0.22146
062003,1,44698,0.44698
064007,1,26664,0.26664
064008,7,42708,0.42708
071002,1,23957,0.23957
073006,1,21462,0.21462
076015,2,31533,0.31533
081002,3,37581,0.37581
083009,2,20234,0.20234
084012,1,44165,0.44165
092005,1,25664,0.25664
092006,1,14508,0.14508
092007,3,22417,0.22417
093009,1,31244,0.31244
095017,1,19036,0.19036
101002,1,52190,0.5219
101003,1,42246,0.42246
102004,1,44060,0.4406
102006,1,26017,0.26017
104009,1,30353,0.30353
111003,1,28157,0.28157
113006,1,34484,0.34484
113007,2,34329,0.34329
114010,1,16561,0.16561
114011,1,28351,0.28351
124007,2,32978,0.32978
126011,1,27454,0.27454
