id,points,inhabitants,_100k_inhabitants
0110,19,124547,1.24547
0120,5,90529,0.90529
0210,1,40981,0.40981
0220,3,64657,0.64657
0230,3,45780,0.4578
0310,1,17674,0.17674
0330,1,37751,0.37751
0340,2,95353,0.95353
0350,1,57552,0.57552
0360,2,108982,1.08982
0370,4,60900,0.609
0410,1,19646,0.19646
0420,1,41112,0.41112
0430,8,109983,1.09983
0440,3,54276,0.54276
0450,3,118483,1.18483
0510,3,113812,1.13812
0520,1,91941,0.91941
0530,1,33446,0.33446
0540,1,20078,0.20078
0610,1,76247,0.76247
0620,1,80672,0.80672
0640,8,69372,0.69372
0710,1,50344,0.50344
0730,1,47401,0.47401
0760,2,85149,0.85149
0810,3,162548,1.62548
0830,2,38731,0.38731
0840,1,53827,0.53827
0920,5,75507,0.75507
0930,1,59802,0.59802
0950,1,56161,0.56161
1010,2,119584,1.19584
1020,2,93512,0.93512
1040,1,50036,0.50036
1110,1,65576,0.65576
1130,3,79321,0.79321
1140,2,80743,0.80743
1240,2,57310,0.5731
1260,1,50837,0.50837
