id,points,inhabitants,_100k_inhabitants
01100102,2,2034,0.02034
01100103,1,5790,0.0579
01100206,6,1876,0.01876
01100207,1,8844,0.08844
01100308,4,7297,0.07297
01100309,2,12651,0.12651
01100312,1,10727,0.10727
01100415,2,13348,0.13348
01200518,1,7096,0.07096
01200522,1,11521,0.11521
01200623,1,10990,0.1099
01200628,1,3281,0.03281
01200629,1,6039,0.06039
02100101,1,7225,0.07225
02200209,1,10957,0.10957
02200210,1,12350,0.1235
02200211,1,14595,0.14595
02300314,1,7085,0.07085
02300418,2,7629,0.07629
03100103,1,9449,0.09449
03300411,1,11764,0.11764
03400619,1,10596,0.10596
03400723,1,7507,0.07507
03500936,1,10052,0.10052
03601346,1,5888,0.05888
03601449,1,9928,0.09928
03701554,1,11453,0.11453
03701556,1,8598,0.08598
03701660,2,12614,0.12614
04100101,1,11768,0.11768
04200309,1,6895,0.06895
04300412,1,4539,0.04539
04300413,1,9973,0.09973
04300619,1,9007,0.09007
04300622,4,5269,0.05269
04300624,1,9314,0.09314
04400726,1,5417,0.05417
04400830,1,8457,0.08457
04400834,1,3384,0.03384
04501041,1,5420,0.0542
04501042,1,3664,0.03664
04501146,1,4744,0.04744
05100101,1,4504,0.04504
05100209,1,11935,0.11935
05100316,1,10505,0.10505
05200527,1,12030,0.1203
05300737,1,11913,0.11913
05400943,1,10533,0.10533
06100102,1,9048,0.09048
06200316,1,5788,0.05788
06400735,1,10188,0.10188
06400843,6,4690,0.0469
06400844,1,7263,0.07263
07100204,1,10425,0.10425
07300619,1,12219,0.12219
07601544,2,9262,0.09262
08100206,1,9350,0.0935
08100207,1,7442,0.07442
08100208,1,11955,0.11955
08300935,2,7611,0.07611
08401243,1,10078,0.10078
09200511,1,13207,0.13207
09200613,1,10704,0.10704
09200715,1,4259,0.04259
09200717,2,9785,0.09785
09300922,1,6013,0.06013
09501737,1,14359,0.14359
10100210,1,10868,0.10868
10100312,1,16216,0.16216
10200422,1,7368,0.07368
10200628,1,6514,0.06514
10400939,1,4529,0.04529
11100307,1,11702,0.11702
11300617,1,4407,0.04407
11300721,1,6848,0.06848
11300722,1,10326,0.10326
11401034,1,3379,0.03379
11401137,1,9004,0.09004
12400721,2,7891,0.07891
12601134,1,16006,0.16006
