id,lat,lon,name,street,zip_code,city,planning_area_id
29071031,52.53124,13.34751,Bruno-Lösche-Bibliothek,Perleberger Straße 33,10559.0,Berlin,01200623
60848456,52.53077,13.47083,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369.0,Berlin,11300617
203557001,52.52815,13.53871,Stadtteilbibliothek Erich Weinert,Helene-Weigel-Platz 4,12681.0,Berlin,10100312
256922190,52.53750,13.28718,Stadtteilbibliothek Halemweg,Halemweg 18,13627.0,Berlin,04100101
257708789,52.53613,13.20138,Bezirkszentralbibliothek Spandau,Carl-Schurz-Straße 13,13597.0,Berlin,05100316
262879310,52.37442,13.61990,Gemeindebibliothek Eichwalde,Grünauer Straße 54,15732.0,Eichwalde,
263679066,52.54722,13.55670,Bezirkszentralbibliothek Mark Twain,Marzahner Promenade 52-54,12679.0,Berlin,10100210
264776935,52.50680,13.36970,Ibero-Amerikanisches Institut,Potsdamer Straße 37,10785.0,,01100102
266540876,52.53160,13.39869,Bezirkszentralbibliothek Philipp Schaeffer,Brunnenstraße 181,10119.0,Berlin,01100415
266629485,52.50555,13.61278,Stadtteilbibliothek Mahlsdorf,Alt-Mahlsdorf 24-26,12623.0,Berlin,10400939
271685475,52.45185,13.28833,Philologische Bibliothek,Habelschwerdter Allee 45,14195.0,Berlin,06400843
271875991,52.45357,13.29025,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",Fabeckstraße 23/25,14195.0,Berlin,06400843
281375131,52.54773,13.45283,Wolfdietrich-Schnurre-Bibliothek,Bizetstraße 41,13088.0,Berlin,03500936
293137702,52.61654,13.49170,Stadtteilbibliothek Karow,,,,03300411
298063780,52.40363,13.25891,Bibliothek,Jahnstraße 2a,14513.0,Teltow,
308811018,52.54926,13.41408,Bettina von Arnim Bibliothek,Schönhauser Allee 75,10439.0,Berlin,03601346
323991172,52.51343,13.48136,Egon-Erwin-Kisch-Bibliothek,Frankfurter Allee 149,,Berlin,11300722
333343782,52.48196,13.43277,Helene-Nathan-Bibliothek,Karl-Marx-Straße 66,12043.0,Berlin,08100206
345162417,52.45778,13.31962,Ingeborg-Drewitz-Bibliothek,Grunewaldstraße 3,12165.0,Berlin,06100102
365322133,52.35972,13.59298,Gemeindebibliothek,,,,
395599328,52.65991,13.53309,Bibliothek Panketal,,,,
439225024,52.34052,13.61218,,,,,
439229151,52.45480,13.62140,Johannes-Bobrowski-Bibliothek,Peter-Hille-Straße 1,12587.0,Berlin,09501737
444731308,52.38792,13.39737,Stadtteilbibliothek Lichenrade,Steinstraße 41,12307.0,Berlin,07601544
444994924,52.51710,13.30886,Heinrich-Schulz-Bibliothek,Otto-Suhr-Allee 96,10585.0,Berlin,04300619
482710823,52.43106,13.53142,Zweigbibliothek Naturwissenschaften,Rudower Chaussee 26,12489.0,Berlin,09200715
486517226,52.45540,13.52472,Bibliothek Campus Wilhelminenhof,,,,09200511
507660382,52.52808,13.51205,KEH Bibliothek,,,,11300721
529557633,52.47134,13.31344,Eberhard-Alexander-Burgh-Bibliothek,,,,04400834
560823423,52.48518,13.38275,Friedrich-von-Raumer-Bibliothek,Dudenstraße 18-20,10965.0,Berlin,02200209
586328524,52.45716,13.29201,Bibliothek des John-F.-Kennedy-Instituts,Lansstraße 7-9,14195.0,Berlin,06400843
599557492,52.67429,13.53049,Bibliothek Schönow,Schönerlinder Straße 25a,16321.0,Bernau bei Berlin,
609820670,52.47940,13.70121,Gemeindebibliothek,Dorfaue 5,15566.0,Schöneiche bei Berlin,
618048288,52.63564,13.49388,Stadtteilbibliothek Buch,,,,03100103
639552895,52.51642,13.39323,HU Berlin – Zweigbibliothek Rechtswissenschaft,Bebelplatz 1,10117.0,Berlin,01100206
648465837,52.63119,13.73121,Bibliothek Werneuchen,,,,
665121783,52.52613,13.39373,Comicbibliothek Renate,Tucholskystraße 32,10117.0,Berlin,01100309
737212457,52.54181,13.44084,Heinrich-Böll-Bibliothek,Greifswalder Straße 87,10409.0,Berlin,03601449
747882909,52.66921,13.28766,Stadtbibliothek Hohen Neuendorf,Schönfließer Straße 17,16540.0,Hohen Neuendorf,
768748868,52.64939,13.13908,,,,,
795561505,52.47758,13.28788,Adolf-Reichwein-Bibliothek,Berkaer Straße 7,14199.0,Berlin,04400830
1070809009,52.51902,13.39287,Zweigbibliothek Klassische Archäologie,Unter den Linden 6,10117.0,Berlin,01100206
1070809020,52.51830,13.38670,Zweigbibliothek Fremdsprachliche Philologien / Teilbibliothek Großbritannien-Zentrum,Dorotheenstraße 65,10117.0,Berlin,01100206
1346361343,52.49785,13.52092,Bodo-Uhse-Bibliothek,Erich-Kurz-Straße 9,10319.0,Berlin,11401137
1356847676,52.56845,13.41235,Janusz-Korczak-Bibliothek,Berliner Straße 120,13187.0,Berlin,03400723
1362209543,52.51454,13.29399,Ingeborg-Bachmann-Bibliothek,Nehringstraße 10,14059.0,Berlin,04300413
1425169658,52.46139,13.29477,Bibliothek des Friedrich-Meinecke-Instituts und des Kunsthistorisches Instituts,Koserstraße 20,14195.0,Berlin,06400844
1445349886,52.42554,13.46229,Trude-Jugend-Bib,Bat-Yam-Platz 1,12353.0,Berlin,08300935
1469991062,52.40322,13.21991,Öffentliche Bibliothek Kleinmachnow,Adolf-Grimme-Ring 10,14532.0,Kleinmachnow,
1472976631,52.49255,13.43621,Else-Ury-Bibliothek,Glogauer Straße 13,10999.0,Berlin,02300418
