id,points,inhabitants,_100k_inhabitants
011002,1,13637,0.13637
011003,1,62233,0.62233
011004,3,32384,0.32384
012005,1,46905,0.46905
012006,1,43624,0.43624
014009,1,46542,0.46542
014010,2,56616,0.56616
022002,4,64657,0.64657
023003,3,19454,0.19454
024005,2,26010,0.2601
024006,2,27252,0.27252
025008,2,56770,0.5677
034006,1,18885,0.18885
034007,1,39348,0.39348
035009,1,41559,0.41559
036011,1,27973,0.27973
036013,1,22853,0.22853
037015,3,27309,0.27309
037016,1,33591,0.33591
042003,1,27965,0.27965
043004,1,42997,0.42997
043005,1,16150,0.1615
043006,1,50836,0.50836
044008,1,34447,0.34447
045009,1,28316,0.28316
045010,2,40669,0.40669
045011,2,49498,0.49498
051003,1,41028,0.41028
053007,1,20008,0.20008
061001,2,22146,0.22146
062003,1,44698,0.44698
062004,1,35974,0.35974
063005,1,34282,0.34282
063006,2,49471,0.49471
064007,1,26664,0.26664
064008,1,42708,0.42708
071001,1,26387,0.26387
072003,2,21247,0.21247
072004,1,31676,0.31676
075011,1,21059,0.21059
081002,1,37581,0.37581
081003,4,37805,0.37805
081004,1,38919,0.38919
083010,1,18497,0.18497
091001,1,13453,0.13453
092006,2,14508,0.14508
092007,1,22417,0.22417
094015,1,7494,0.07494
095017,2,19036,0.19036
101001,1,25148,0.25148
101003,1,42246,0.42246
112004,1,17330,0.1733
113006,1,34484,0.34484
114010,1,16561,0.16561
114011,1,28351,0.28351
125009,2,32190,0.3219
