id,points,inhabitants,_100k_inhabitants
0110,5,124547,1.24547
0120,2,90529,0.90529
0140,3,103158,1.03158
0220,4,64657,0.64657
0230,3,45780,0.4578
0240,4,53262,0.53262
0250,2,87944,0.87944
0340,2,95353,0.95353
0350,1,57552,0.57552
0360,2,108982,1.08982
0370,4,60900,0.609
0420,1,41112,0.41112
0430,3,109983,1.09983
0440,1,54276,0.54276
0450,5,118483,1.18483
0510,1,113812,1.13812
0530,1,33446,0.33446
0610,2,76247,0.76247
0620,2,80672,0.80672
0630,3,83753,0.83753
0640,2,69372,0.69372
0710,1,50344,0.50344
0720,3,52923,0.52923
0750,1,53764,0.53764
0810,6,162548,1.62548
0830,1,38731,0.38731
0910,1,66246,0.66246
0920,3,75507,0.75507
0940,1,39520,0.3952
0950,2,56161,0.56161
1010,2,119584,1.19584
1120,1,53086,0.53086
1130,1,79321,0.79321
1140,2,80743,0.80743
1250,2,48950,0.4895
