id,points,inhabitants,_100k_inhabitants
01100206,1,1876,0.01876
01100309,1,12651,0.12651
01100416,3,13523,0.13523
01200522,1,11521,0.11521
01200629,1,6039,0.06039
01400942,1,8789,0.08789
01401048,2,9520,0.0952
02200211,2,14595,0.14595
02200212,1,8340,0.0834
02200213,1,10004,0.10004
02300315,3,8209,0.08209
02400521,1,8712,0.08712
02400522,1,11394,0.11394
02400623,2,14037,0.14037
02500833,1,10045,0.10045
02500834,1,11299,0.11299
03400619,1,10596,0.10596
03400723,1,7507,0.07507
03500935,1,6799,0.06799
03601141,1,7057,0.07057
03601347,1,9495,0.09495
03701555,3,7258,0.07258
03701660,1,12614,0.12614
04200309,1,6895,0.06895
04300413,1,9973,0.09973
04300517,1,9468,0.09468
04300623,1,12187,0.12187
04400833,1,3901,0.03901
04500938,1,8281,0.08281
04501043,2,10999,0.10999
04501147,1,5452,0.05452
04501149,1,9878,0.09878
05100316,1,10505,0.10505
05300736,1,3575,0.03575
06100102,2,9048,0.09048
06200313,1,7395,0.07395
06200422,1,7009,0.07009
06300526,1,3350,0.0335
06300631,1,2881,0.02881
06300633,1,11955,0.11955
06400735,1,10188,0.10188
06400839,1,5370,0.0537
07100102,1,8696,0.08696
07200308,2,10698,0.10698
07200409,1,9300,0.093
07501133,1,8254,0.08254
08100209,1,8834,0.08834
08100310,4,7560,0.0756
08100416,1,6577,0.06577
08301037,1,11049,0.11049
09100101,1,13453,0.13453
09200613,2,10704,0.10704
09200716,1,8373,0.08373
09401534,1,7494,0.07494
09501737,2,14359,0.14359
10100103,1,8110,0.0811
10100312,1,16216,0.16216
11200411,1,6917,0.06917
11300617,1,4407,0.04407
11401033,1,6890,0.0689
11401137,1,9004,0.09004
12500926,1,5181,0.05181
12500929,1,5104,0.05104
