id,lat,lon,name,street,zip_code,city,planning_area_id
738094602,52.42323,13.47530,Wochenmarkt Wutzkyallee,,,,08301037
949775523,52.49524,13.42285,Wochenmarkt am Maybachufer,,12047.0,Berlin,08100310
1094105651,52.52790,13.53885,Wochenmarkt Helene-Weigel-Platz,,,,10100312
1118686880,52.34938,13.10377,,,,,
1187953847,52.54705,13.35465,Genter Wochenmarkt,,,,01400942
1247656158,52.52838,13.46892,Wochenmarkt,,10369.0,Berlin,11300617
1264552070,52.51820,13.43667,Wochenmarkt Koppenstraße,,,,02400521
1264566596,52.51657,13.44982,Wochenmarkt am Kosmos,,,,02400522
1302119815,52.53736,13.40187,Wochenmarkt Arkonaplatz,,,,01100416
1338224907,52.49796,13.52218,Markt am Bärenschaufenster,,,,11401137
1352703904,52.40303,13.26820,Teltower Frischemarkt,,14513.0,Teltow,
1502926593,52.49700,13.45378,Treptower Hallentrödelmarkt,Eichenstraße 4,12435.0,Berlin,09100101
1575213617,52.43871,13.34343,"Wochenmarkt Rathaus Lankwitz, Leonorenstraße",,,,06200313
1578274690,52.57011,13.40657,Wochenmarkt Pankow,,,,03400723
1597897935,52.49155,13.42064,Ökomarkt am Hohenstaufenplatz,,,,02200213
1807535654,52.50076,13.43124,Freitags Regionalmarkt,,,,02300315
2736078705,52.53707,13.40209,Flohmarkt am Arkonaplatz,,,,01100416
3008830372,52.51815,13.29042,Wochenmarkt Klausenerplatz,,,,04300413
3017245236,52.49001,13.31384,Food Court,,,,04501147
3017245237,52.50207,13.43178,Street Food Thursday,,,,02300315
3017245239,52.50220,13.43159,Wochenmarkt,,10997.0,Berlin,02300315
3188323586,52.53657,13.41836,Wochenmarkt Kollwitzplatz,Kollwitzstraße 68,10435.0,Berlin,03701555
3188323587,52.53663,13.41808,Ökomarkt am Kollwitzplatz,,10435.0,Berlin,03701555
3678929703,52.49552,13.42211,Neuköllner Stoff,,,,08100310
3980482215,52.45696,13.32163,Wochenmarkt,,,,06100102
4263380282,52.51354,13.51965,,,,,11401033
4360136926,52.45781,13.62602,Flohmarkt Friedrichshagen,Schöneicher Straße 1,12587.0,Berlin,09501737
4388912427,52.51125,13.45897,Trödelmarkt am Boxhagener Platz,,10245.0,Berlin,02500833
4388990289,52.49248,13.43130,Flohmarkt Nowkoelln Flowmarkt,,,,08100310
4486907949,52.41230,13.14159,Wilhelmplatz,,,,06400735
4781579796,52.54691,13.35903,Bauernmarkt Leopoldplatz,,13353.0,,01401048
4781579797,52.54697,13.35918,Trödelmarkt,,13353.0,,01401048
4806425628,52.51783,13.34137,Ökomarkt im Hansaviertel,,,,01200629
4938805613,52.53238,13.43599,Wochenmarkt Arnswalder Platz,,,,03701660
4938810971,52.48804,13.39151,Ökomarkt Chamissoplatz,,,,02200211
4938814827,52.53570,13.20106,Wochenmarkt Rathaus Spandau,,,,05100316
4938816169,52.51471,13.25954,Wochenmarkt Preußenallee,,,,04200309
4938849682,52.50861,13.30972,Wochenmarkt,,,,04300623
4938868566,52.47368,13.44127,Wochenmarkt Karl-Marx-Platz,,,,08100416
4938876534,52.45083,13.62439,Wochenmarkt,,,,09501737
4938881690,52.46620,13.43723,Regionalmarkt am Kranoldplatz,,,,08100209
5152648806,52.48894,13.35310,Ökomarkt an der Apostel-Paulus-Kirche,,,,07200409
5188267334,52.42817,13.32771,Kranoldmarkt,,,,06200422
5188287257,52.44282,13.31234,Markt,,,,06300633
5195141905,52.49577,13.29970,Wochenmarkt Nestorstraße,,,,04500938
5209732607,52.54861,13.50482,,,,,11200411
5261525572,52.43747,13.23263,Wochenmarkt am Mexikoplatz,,,,06400839
5405901057,52.53887,13.41324,Street Food Markt Berlin,,,,03701555
5469628638,52.55039,13.41023,Bauernmarkt,,10439.0,Berlin,03601141
5590777543,52.37269,13.61672,Eichwalder Wochenmarkt,,,,
5982573198,52.48465,13.34468,Wochenmarkt John-F.-Kennedy-Platz,,,,07200308
5982573199,52.48491,13.34466,Trödelmarkt John-F.-Kennedy-Platz,,,,07200308
6031718125,52.39382,13.09535,Floh- und Bauernmarkt auf dem Weberplatz,,,,
6052775889,52.51085,13.43579,Antikmarkt am Ostbahnhof,,,,02400623
6283834686,52.49205,13.31466,Thaipark,,,,04501043
6351024671,52.44465,13.57467,Schloßplatz,,,,09401534
6351024674,52.43789,13.54735,Marktplatz Adlershof,,,,09200716
6357592088,52.43126,13.25800,Wochenmarkt,,,,06300526
6923866544,52.56756,13.57328,Wochenmarkt am Barnimplatz,,,,10100103
8289047338,52.52607,13.33934,Ökomarkt an der Heilandskirche,,,,01200522
8308140887,52.50773,13.45336,RAW-Flohmarkt,,,,02500834
8308239828,52.53784,13.21522,Trödelmarkt Spandau,,,,05300736
8308239829,52.41767,13.28779,Antik- und Trödelmarkt Goerzallee,,,,06300631
8308239830,52.45687,13.32174,Trödelmarkt Hermann-Ehlers-Platz,,,,06100102
8308239831,52.47368,13.30131,Flohmarkt Mecklenburgische Straße,,,,04400833
8308239832,52.49094,13.31414,Flohmarkt am Fehrbelliner Platz,,,,04501043
8308239833,52.52480,13.30363,Flohmarkt in der Mierendorfstraße,,,,04300517
