id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,23,13637,0.13637
011003,19,62233,0.62233
011004,2,32384,0.32384
012005,2,46905,0.46905
012006,2,43624,0.43624
013007,1,38744,0.38744
013008,2,40026,0.40026
014009,1,46542,0.46542
021001,6,40981,0.40981
022002,2,64657,0.64657
023003,3,19454,0.19454
024005,1,26010,0.2601
024006,2,27252,0.27252
025007,2,31174,0.31174
034007,2,39348,0.39348
036013,2,22853,0.22853
037015,1,27309,0.27309
042002,2,13147,0.13147
042003,1,27965,0.27965
043004,6,42997,0.42997
043006,7,50836,0.50836
044008,1,34447,0.34447
045010,3,40669,0.40669
045011,2,49498,0.49498
051003,2,41028,0.41028
053007,1,20008,0.20008
054009,2,20078,0.20078
063006,1,49471,0.49471
064008,6,42708,0.42708
071001,2,26387,0.26387
072004,1,31676,0.31676
073005,1,25939,0.25939
073006,1,21462,0.21462
074007,2,19307,0.19307
075011,2,21059,0.21059
076012,1,17997,0.17997
076015,1,31533,0.31533
081002,2,37581,0.37581
081003,1,37805,0.37805
081004,3,38919,0.38919
082007,1,23196,0.23196
082008,1,29646,0.29646
084012,1,44165,0.44165
091004,1,21636,0.21636
092005,2,25664,0.25664
092007,1,22417,0.22417
093011,1,8376,0.08376
094013,1,12925,0.12925
094015,2,7494,0.07494
095019,1,12525,0.12525
101003,2,42246,0.42246
102004,1,44060,0.4406
113007,2,34329,0.34329
114009,1,35831,0.35831
114010,1,16561,0.16561
122004,1,20355,0.20355
122005,1,11322,0.11322
