id,points,inhabitants,_100k_inhabitants
0110,46,124547,1.24547
0120,4,90529,0.90529
0130,3,78770,0.7877
0140,1,103158,1.03158
0210,6,40981,0.40981
0220,2,64657,0.64657
0230,3,45780,0.4578
0240,3,53262,0.53262
0250,2,87944,0.87944
0340,2,95353,0.95353
0360,2,108982,1.08982
0370,1,60900,0.609
0420,3,41112,0.41112
0430,13,109983,1.09983
0440,1,54276,0.54276
0450,5,118483,1.18483
0510,2,113812,1.13812
0530,1,33446,0.33446
0540,2,20078,0.20078
0630,1,83753,0.83753
0640,6,69372,0.69372
0710,2,50344,0.50344
0720,1,52923,0.52923
0730,2,47401,0.47401
0740,2,67378,0.67378
0750,2,53764,0.53764
0760,2,85149,0.85149
0810,6,162548,1.62548
0820,2,74382,0.74382
0840,1,53827,0.53827
0910,1,66246,0.66246
0920,3,75507,0.75507
0930,1,59802,0.59802
0940,3,39520,0.3952
0950,1,56161,0.56161
1010,2,119584,1.19584
1020,1,93512,0.93512
1130,2,79321,0.79321
1140,2,80743,0.80743
1220,2,59919,0.59919
