id,points,inhabitants,_100k_inhabitants
01100102,1,2034,0.02034
01100103,1,5790,0.0579
01100205,5,2917,0.02917
01100206,12,1876,0.01876
01100207,6,8844,0.08844
01100308,3,7297,0.07297
01100309,7,12651,0.12651
01100310,8,10181,0.10181
01100312,1,10727,0.10727
01100415,1,13348,0.13348
01100416,1,13523,0.13523
01200520,1,9513,0.09513
01200522,1,11521,0.11521
01200624,1,6942,0.06942
01200629,1,6039,0.06039
01300733,1,11684,0.11684
01300834,1,14258,0.14258
01300835,1,10821,0.10821
01400942,1,8789,0.08789
02100101,2,7225,0.07225
02100102,3,8660,0.0866
02100106,1,4813,0.04813
02200211,1,14595,0.14595
02200212,1,8340,0.0834
02300314,2,7085,0.07085
02300316,1,4160,0.0416
02400522,1,11394,0.11394
02400623,1,14037,0.14037
02400625,1,1328,0.01328
02500727,1,6519,0.06519
02500728,1,10073,0.10073
03400721,1,11895,0.11895
03400722,1,3807,0.03807
03601347,1,9495,0.09495
03601348,1,7470,0.0747
03701556,1,8598,0.08598
04200203,1,1456,0.01456
04200207,1,2996,0.02996
04200308,1,6113,0.06113
04300412,4,4539,0.04539
04300414,2,10581,0.10581
04300621,1,10941,0.10941
04300622,3,5269,0.05269
04300623,1,12187,0.12187
04300624,2,9314,0.09314
04400832,1,6998,0.06998
04501042,3,3664,0.03664
04501152,1,6861,0.06861
04501153,1,7563,0.07563
05100316,2,10505,0.10505
05300736,1,3575,0.03575
05400942,1,3691,0.03691
05400943,1,10533,0.10533
06300634,1,8285,0.08285
06400841,1,6191,0.06191
06400842,1,4773,0.04773
06400843,1,4690,0.0469
06400844,3,7263,0.07263
07100103,2,7897,0.07897
07200411,1,2741,0.02741
07300515,1,6961,0.06961
07300618,1,9243,0.09243
07400721,2,7639,0.07639
07501133,1,8254,0.08254
07501134,1,10548,0.10548
07601236,1,10335,0.10335
07601544,1,9262,0.09262
08100206,1,9350,0.0935
08100209,1,8834,0.08834
08100312,1,11499,0.11499
08100416,2,6577,0.06577
08100418,1,9193,0.09193
08200727,1,8115,0.08115
08200832,1,12116,0.12116
08401243,1,10078,0.10078
09100407,1,8670,0.0867
09200511,1,13207,0.13207
09200512,1,4433,0.04433
09200716,1,8373,0.08373
09301126,1,8376,0.08376
09401330,1,1916,0.01916
09401534,2,7494,0.07494
09501939,1,6829,0.06829
10100311,1,2670,0.0267
10100313,1,4981,0.04981
10200420,1,9010,0.0901
11300724,2,4372,0.04372
11400927,1,4173,0.04173
11401034,1,3379,0.03379
12200412,1,6518,0.06518
12200515,1,11322,0.11322
