id,lat,lon,name,street,zip_code,city,planning_area_id
73696610,52.50760,13.36298,Gedenkstätte Deutscher Widerstand,Stauffenbergstraße 13-14,,,01100102
84644782,52.50487,13.38221,"Dokumentationszentrum Flucht, Vertreibung, Versöhnung",Stresemannstraße 90,10963.0,Berlin,02100101
259855486,52.51047,13.43276,Berliner S-Bahn-Museum,Koppenstraße 3,10243.0,Berlin,02400623
262973921,52.41299,13.75166,Heimatmuseum Erkner,,,,
262987906,52.41877,13.75475,Gerhart-Hauptmann-Museum,Gerhart-Hauptmann-Straße 1-2,15537.0,Erkner,
268591806,52.45835,13.28894,Das Museum der Domäne Dahlem,,,,06400844
281391655,52.51450,13.48748,Stasimuseum,Ruschestraße 103,10365.0,Berlin,11300724
292700476,52.58630,13.28631,Feuerwehrmuseum Berlin,Veitstraße 5,13507.0,Berlin,12200515
292738889,52.50993,13.38725,Museum für Kommunikation,Leipziger Straße 16,10117.0,Berlin,01100205
297049901,52.44536,13.57909,Heimatmuseum Köpenick,,,,09401534
335860469,52.46060,13.29295,Ethnologisches Museum,,,,06400844
340388625,52.50878,13.37843,Deutschlandmuseum,Leipziger Platz 7,10117.0,Berlin,01100205
344381412,52.54121,13.21385,Enthüllt. Berlin und seine Denkmäler,Am Juliusturm 64,13599.0,Berlin,05300736
355500002,52.42040,13.36845,Erinnerungsstätte Notaufnahmelager Marienfelde,Marienfelder Allee 66/80,12277.0,Berlin,07601236
369037135,52.54602,13.34795,Anti-Kriegs-Museum,Brüsseler Straße 21,13353.0,Berlin,01400942
429739550,52.52191,13.37999,Mori-Ôgai-Gedenkstätte,Luisenstraße 39,10117.0,Berlin,01100308
434562058,52.37269,13.61790,Heimatarchiv,,,,
448810258,52.47728,13.43901,Puppentheater-Museum Berlin,Karl-Marx-Straße 135,12043.0,Berlin,08100416
453378190,52.50936,13.37977,Die Mauer | The Wall,Leipziger Platz 11,10117.0,Berlin,01100205
498822384,52.54781,13.38924,Berliner Unterwelten-Museum,Brunnenstraße 105,13355.0,Berlin,01300834
507083358,52.43544,13.26030,Heimatmuseum Zehlendorf,Clayallee 355,14169.0,Berlin,06400841
538692583,52.53049,13.37911,Museum für Naturkunde,Invalidenstraße 43,10115.0,Berlin,01100308
540613216,52.51437,13.40248,Galgenhaus Stadtmuseum Berlin,Brüderstraße 10,10178.0,Berlin,01100207
545060231,52.51428,13.39242,Hugenottenmuseum Berlin,,10117.0,Berlin,01100206
545074057,52.51267,13.39272,Parlamentshistorische Ausstellung des Deutschen Bundestages,,10117.0,Berlin,01100206
559613172,52.44345,13.50222,Heimatmuseum Treptow,,,,09100407
577577509,52.51779,13.45632,Jugend[widerstands]museum,Rigaer Straße 9/10,10247.0,,02500727
611632754,52.48297,13.38716,Polizeimuseum,Platz der Luftbrücke 6,12101.0,Berlin,07400721
632148988,52.50060,13.41822,FHXB Friedrichshain-Kreuzberg Museum,Adalbertstraße 95a,10999.0,Berlin,02300314
661126964,52.51719,13.30403,Keramik-Museum Berlin,,,,04300621
701057032,52.41744,13.49507,Heimatmuseum Rudow,,,,08401243
766728477,52.49033,13.41292,Geschichtsspeicher Fichtebunker,Fichtestraße 6,,Berlin,02200212
766875174,52.43817,13.54071,Anna-Seghers-Gedenkstätte,Anna-Seghers-Straße 81,12489.0,Berlin,09200716
849063657,52.47049,13.30375,WasserWerkstatt des WasserMuseum e.V.,Dillenburger Straße 57 (Tor 2),14199.0,Berlin,04400832
1176948529,52.33958,13.35400,Heimatstube,,,,
1257857022,52.50299,13.48085,Museum Lichtenberg im Stadthaus,Türrschmidtstraße 24,10317.0,Berlin,11400927
1260572076,52.57639,13.40637,Die Pankower Machthaber,,,,03400722
1270188822,52.51757,13.44195,Computerspielemuseum,Karl-Marx-Allee 93a,10243.0,Berlin,02400522
1276289064,52.39415,13.09307,Weberstube Nowawes,Karl-Liebknecht-Straße 23,14482.0,Potsdam,
1358325721,52.51735,13.24997,Berliner U-Bahn-Museum,,14052.0,Berlin,04200203
1390712121,52.50803,13.31845,Das Verborgene Museum,,,,04300624
1476011662,52.51648,13.40631,Zille-Museum,Propststraße 11,10178.0,Berlin,01100310
1505273433,52.44403,13.57285,Kunstgewerbemuseum,,,,09401534
1583408273,52.56421,13.40245,Museum Pankow,Heynstraße 8,13187.0,Berlin,03400721
1653339015,52.52429,13.40218,Museum Blindenwerkstatt Otto Weidt,Rosenthaler Straße 39,10178.0,Berlin,01100309
1827559268,52.50906,13.31844,Werkbund Berlin,Goethestraße 13B,10623.0,Berlin,04300624
1867566597,52.51531,13.38632,Forum Willy Brandt Berlin,Behrenstraße 15,10117.0,Berlin,01100206
