id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,3,13637,0.13637
011003,21,62233,0.62233
011004,4,32384,0.32384
012006,2,43624,0.43624
013008,1,40026,0.40026
014010,2,56616,0.56616
021001,3,40981,0.40981
022002,1,64657,0.64657
023003,7,19454,0.19454
023004,5,26326,0.26326
024005,1,26010,0.2601
024006,6,27252,0.27252
025008,12,56770,0.5677
037015,3,27309,0.27309
037016,1,33591,0.33591
041001,1,19646,0.19646
043006,7,50836,0.50836
044008,1,34447,0.34447
045009,1,28316,0.28316
045010,6,40669,0.40669
052006,1,37211,0.37211
071001,2,26387,0.26387
072004,1,31676,0.31676
074007,1,19307,0.19307
074009,1,15380,0.1538
081001,1,33049,0.33049
081002,3,37581,0.37581
081005,2,15194,0.15194
082006,1,21540,0.2154
084011,1,9662,0.09662
084012,1,44165,0.44165
091001,3,13453,0.13453
092005,1,25664,0.25664
092006,1,14508,0.14508
111003,1,28157,0.28157
113007,1,34329,0.34329
113008,1,10508,0.10508
122005,1,11322,0.11322
126011,1,27454,0.27454
