id,points,inhabitants,_100k_inhabitants
0110,30,124547,1.24547
0120,2,90529,0.90529
0130,1,78770,0.7877
0140,2,103158,1.03158
0210,3,40981,0.40981
0220,1,64657,0.64657
0230,12,45780,0.4578
0240,7,53262,0.53262
0250,12,87944,0.87944
0370,4,60900,0.609
0410,1,19646,0.19646
0430,7,109983,1.09983
0440,1,54276,0.54276
0450,7,118483,1.18483
0520,1,91941,0.91941
0710,2,50344,0.50344
0720,1,52923,0.52923
0740,2,67378,0.67378
0810,6,162548,1.62548
0820,1,74382,0.74382
0840,2,53827,0.53827
0910,3,66246,0.66246
0920,2,75507,0.75507
1110,1,65576,0.65576
1130,2,79321,0.79321
1220,1,59919,0.59919
1260,1,50837,0.50837
