id,points,inhabitants,_100k_inhabitants
01100102,1,2034,0.02034
01100103,1,5790,0.0579
01100206,1,1876,0.01876
01100207,2,8844,0.08844
01100308,1,7297,0.07297
01100309,4,12651,0.12651
01100310,8,10181,0.10181
01100311,2,9787,0.09787
01100313,6,11590,0.1159
01100415,1,13348,0.13348
01100416,3,13523,0.13523
01200624,2,6942,0.06942
01300836,1,14947,0.14947
01401043,1,7627,0.07627
01401048,1,9520,0.0952
02100104,3,5550,0.0555
02200211,1,14595,0.14595
02300314,1,7085,0.07085
02300315,3,8209,0.08209
02300316,3,4160,0.0416
02300417,2,8301,0.08301
02300418,1,7629,0.07629
02300419,2,10396,0.10396
02400522,1,11394,0.11394
02400623,2,14037,0.14037
02400624,1,11887,0.11887
02400625,3,1328,0.01328
02500834,4,11299,0.11299
02500835,8,8820,0.0882
03701554,1,11453,0.11453
03701555,2,7258,0.07258
03701660,1,12614,0.12614
04100101,1,11768,0.11768
04300621,1,10941,0.10941
04300622,1,5269,0.05269
04300623,4,12187,0.12187
04300624,1,9314,0.09314
04400832,1,6998,0.06998
04500938,1,8281,0.08281
04501041,1,5420,0.0542
04501042,4,3664,0.03664
04501044,1,5328,0.05328
05200632,1,3655,0.03655
07100101,1,9794,0.09794
07100102,1,8696,0.08696
07200409,1,9300,0.093
07400721,1,7639,0.07639
07400927,1,11415,0.11415
08100101,1,4626,0.04626
08100206,2,9350,0.0935
08100209,1,8834,0.08834
08100520,2,5737,0.05737
08200622,1,5860,0.0586
08401139,1,4092,0.04092
08401241,1,8319,0.08319
09100101,3,13453,0.13453
09200510,1,8024,0.08024
09200613,1,10704,0.10704
11100307,1,11702,0.11702
11300721,1,6848,0.06848
11300826,1,10508,0.10508
12200515,1,11322,0.11322
12601134,1,16006,0.16006
