id,lat,lon,name,street,zip_code,city,planning_area_id
259845846,52.49136,13.39315,Junction-Bar,Gneisenaustraße 18,10961.0,Berlin,02200211
262818281,52.52322,13.41642,ASeven Club,Alexanderstraße 7,10178.0,Berlin,01100310
304034426,52.38574,13.10893,Parkdeck by Clärchens,Großbeerenstraße 123-135,14482.0,Potsdam,
339749949,52.50467,13.44902,Matrix,Warschauer Platz 18,10245.0,Berlin,02500835
360111407,52.49921,13.44507,Lido,Cuvrystraße 7,10997.0,Berlin,02300419
373095675,52.54416,13.37871,Humboldthain Club,Hochstraße 46,13357.0,Berlin,01300836
383210462,52.50455,13.44891,Narva Lounge,,,,02500835
410135945,52.49746,13.43109,Wild at Heart,,10999.0,,02300417
429735547,52.52647,13.39691,Clärchens Ballhaus,Auguststraße 24,10117.0,Berlin,01100309
438437327,52.36702,13.59411,Butze (Kultur Klub Schulzendorf),,,,
461623768,52.51794,13.44149,Sun Chiller Lounge,,,,02400522
475153994,52.50863,13.43639,Postbahnhof,Straße der Pariser Kommune 8,10243.0,Berlin,02400625
485354535,52.49738,13.45307,Glashaus,,,,09100101
485640732,52.49739,13.46530,Zur Wilden Renate,Alt-Stralau 70,10245.0,Berlin,02500835
492849637,52.50766,13.45453,RAW 99,Revaler Straße 99,10245.0,Berlin,02500834
621429565,52.50910,13.45604,Berndhain,Simon-Dach-Straße 32,10245.0,Berlin,02500834
652884290,52.53361,13.40075,Calabash,Veteranenstraße 21,10119.0,Berlin,01100416
667842214,52.51101,13.41690,Sage,Köpenicker Straße 76,10179.0,Berlin,01100313
670069373,52.53567,13.40117,NBI Club,Zionskirchstraße 5,10119.0,Berlin,01100416
729294555,52.51120,13.41691,Kit Kat Club,Köpenicker Straße 76,10179.0,Berlin,01100313
736787851,52.52678,13.41070,1820,Rosa-Luxemburg-Straße 41,10178.0,Berlin,01100310
739305494,52.46555,13.38608,Insomnia,Alt-Tempelhof 17,12099.0,Berlin,07400927
821646254,52.51563,13.45257,Abgedreht Klub,,10243.0,Berlin,02400624
898983650,52.49726,13.29324,K133 Night Lounge,Kurfürstendamm 133/134,10711.0,Berlin,04500938
910429971,52.53207,13.38029,Ballhaus Berlin,Chausseestraße 102,10115.0,Berlin,01100308
918183904,52.51617,13.38994,Club R8,Rosmarinstraße 8,10117.0,Berlin,01100206
959344243,52.47946,13.43378,SchwuZ,Rollbergstraße 26,12053.0,Berlin,08100206
959625062,52.48527,13.35344,Havanna,Hauptstraße 30,10827.0,Berlin,07200409
975700421,52.48648,13.42174,Huxleys Neue Welt,Hasenheide 107-113,10967.0,Berlin,08100101
979969868,52.50301,13.40813,Ritter Butzke,Ritterstraße 26,10969.0,Berlin,02100104
988192687,52.48358,13.39055,Silverwings,,,,07400721
1144034120,52.52293,13.40346,AM to PM,Am Zwirngraben 2,10178.0,Berlin,01100310
1145853246,52.52176,13.40754,Hafenbar,Karl-Liebknecht-Straße 11,10178.0,Berlin,01100310
1162812586,52.52290,13.41642,Weekend Club,Alexanderstraße 7,10178.0,Berlin,01100310
1165008486,52.53952,13.41424,Soda Club,Knaackstraße 97,10435.0,Berlin,03701555
1228317932,52.51148,13.30849,Tabu,Bismarckstraße 90,10627.0,Berlin,04300623
1310466406,52.51213,13.39323,BRICKS Club,Anton-Wilhelm-Amo-Straße 30,10117.0,Berlin,01100207
1361259244,52.50361,13.44826,Die Busche,Warschauer Platz 18,10245.0,Berlin,02500835
1370001597,52.50329,13.40872,Prince Charles,Prinzenstraße 85f,10969.0,Berlin,02100104
1402543376,52.50405,13.33794,Puro Sky Lounge Berlin,Tauentzienstraße 9-12,10789.0,Berlin,04501042
1450635676,52.52711,13.41162,Roter Salon,Rosa-Luxemburg-Platz 1,10178.0,Berlin,01100310
1667559178,52.50075,13.44146,Bi Nuu,,,,02300316
1820069776,52.52355,13.40698,b-flat,Dircksenstraße 40,10178.0,Berlin,01100309
1882869375,52.49901,13.34249,Connection,Fuggerstraße 33,10777.0,Berlin,07100101
1897123562,52.50296,13.44115,FluxBau,Pfuelstraße 5,,,02300316
