id,points,inhabitants,_100k_inhabitants
011001,77,16293,0.16293
011002,216,13637,0.13637
011003,341,62233,0.62233
011004,92,32384,0.32384
012005,83,46905,0.46905
012006,97,43624,0.43624
013007,58,38744,0.38744
013008,71,40026,0.40026
014009,37,46542,0.46542
014010,114,56616,0.56616
021001,115,40981,0.40981
022002,103,64657,0.64657
023003,57,19454,0.19454
023004,60,26326,0.26326
024005,38,26010,0.2601
024006,61,27252,0.27252
025007,21,31174,0.31174
025008,108,56770,0.5677
031001,2,17674,0.17674
032002,10,30231,0.30231
032003,6,18833,0.18833
033004,2,20185,0.20185
033005,11,17566,0.17566
034006,11,18885,0.18885
034007,37,39348,0.39348
034008,18,37120,0.3712
035009,52,41559,0.41559
035010,9,15993,0.15993
036011,73,27973,0.27973
036012,21,28115,0.28115
036013,85,22853,0.22853
036014,60,30041,0.30041
037015,74,27309,0.27309
037016,98,33591,0.33591
041001,5,19646,0.19646
042002,8,13147,0.13147
042003,28,27965,0.27965
043004,60,42997,0.42997
043005,23,16150,0.1615
043006,207,50836,0.50836
044007,26,19829,0.19829
044008,27,34447,0.34447
045009,69,28316,0.28316
045010,147,40669,0.40669
045011,82,49498,0.49498
051001,9,29637,0.29637
051002,3,43147,0.43147
051003,27,41028,0.41028
052004,3,23759,0.23759
052005,5,30971,0.30971
052006,16,37211,0.37211
053007,13,20008,0.20008
053008,21,13438,0.13438
054009,8,20078,0.20078
061001,49,22146,0.22146
061002,45,54101,0.54101
062003,22,44698,0.44698
062004,20,35974,0.35974
063005,13,34282,0.34282
063006,48,49471,0.49471
064007,6,26664,0.26664
064008,32,42708,0.42708
071001,48,26387,0.26387
071002,43,23957,0.23957
072003,44,21247,0.21247
072004,80,31676,0.31676
073005,58,25939,0.25939
073006,44,21462,0.21462
074007,26,19307,0.19307
074008,31,32691,0.32691
074009,43,15380,0.1538
075010,17,32705,0.32705
075011,17,21059,0.21059
076012,6,17997,0.17997
076013,13,14362,0.14362
076014,3,21257,0.21257
076015,15,31533,0.31533
081001,37,33049,0.33049
081002,55,37581,0.37581
081003,29,37805,0.37805
081004,49,38919,0.38919
081005,24,15194,0.15194
082006,14,21540,0.2154
082007,21,23196,0.23196
082008,5,29646,0.29646
083009,2,20234,0.20234
083010,5,18497,0.18497
084011,5,9662,0.09662
084012,17,44165,0.44165
091001,47,13453,0.13453
091002,2,11753,0.11753
091003,8,19404,0.19404
091004,17,21636,0.21636
092005,26,25664,0.25664
092006,11,14508,0.14508
092007,80,22417,0.22417
092008,10,12918,0.12918
093009,3,31244,0.31244
093010,35,15695,0.15695
093011,3,8376,0.08376
093012,3,4487,0.04487
094013,6,12925,0.12925
094015,9,7494,0.07494
094016,2,7059,0.07059
095017,10,19036,0.19036
095018,4,11138,0.11138
095019,13,12525,0.12525
095020,12,13462,0.13462
101001,2,25148,0.25148
101002,13,52190,0.5219
101003,19,42246,0.42246
102004,20,44060,0.4406
102005,7,23435,0.23435
102006,17,26017,0.26017
103007,17,30959,0.30959
104008,44,19683,0.19683
104009,20,30353,0.30353
111001,5,6451,0.06451
111002,10,30968,0.30968
111003,4,28157,0.28157
112004,6,17330,0.1733
112005,6,35756,0.35756
113006,19,34484,0.34484
113007,46,34329,0.34329
113008,5,10508,0.10508
114009,30,35831,0.35831
114010,7,16561,0.16561
114011,9,28351,0.28351
115012,17,4899,0.04899
115013,23,31923,0.31923
121001,40,28760,0.2876
121002,34,28322,0.28322
122003,11,28242,0.28242
122004,18,20355,0.20355
122005,14,11322,0.11322
124006,3,24332,0.24332
124007,34,32978,0.32978
125008,24,16760,0.1676
125009,19,32190,0.3219
126010,13,9583,0.09583
126011,11,27454,0.27454
