id,points,inhabitants,_100k_inhabitants
0110,726,124547,1.24547
0120,180,90529,0.90529
0130,129,78770,0.7877
0140,151,103158,1.03158
0210,115,40981,0.40981
0220,103,64657,0.64657
0230,117,45780,0.4578
0240,99,53262,0.53262
0250,129,87944,0.87944
0310,2,17674,0.17674
0320,16,49064,0.49064
0330,13,37751,0.37751
0340,66,95353,0.95353
0350,61,57552,0.57552
0360,239,108982,1.08982
0370,172,60900,0.609
0410,5,19646,0.19646
0420,36,41112,0.41112
0430,290,109983,1.09983
0440,53,54276,0.54276
0450,298,118483,1.18483
0510,39,113812,1.13812
0520,24,91941,0.91941
0530,34,33446,0.33446
0540,8,20078,0.20078
0610,94,76247,0.76247
0620,42,80672,0.80672
0630,61,83753,0.83753
0640,38,69372,0.69372
0710,91,50344,0.50344
0720,124,52923,0.52923
0730,102,47401,0.47401
0740,100,67378,0.67378
0750,34,53764,0.53764
0760,37,85149,0.85149
0810,194,162548,1.62548
0820,40,74382,0.74382
0830,7,38731,0.38731
0840,22,53827,0.53827
0910,74,66246,0.66246
0920,127,75507,0.75507
0930,44,59802,0.59802
0940,17,39520,0.3952
0950,39,56161,0.56161
1010,34,119584,1.19584
1020,44,93512,0.93512
1030,17,30959,0.30959
1040,64,50036,0.50036
1110,19,65576,0.65576
1120,12,53086,0.53086
1130,70,79321,0.79321
1140,46,80743,0.80743
1150,40,36822,0.36822
1210,74,57082,0.57082
1220,43,59919,0.59919
1240,37,57310,0.5731
1250,43,48950,0.4895
1260,24,50837,0.50837
