id,points,inhabitants,_100k_inhabitants
01100101,18,3580,0.0358
01100102,37,2034,0.02034
01100103,10,5790,0.0579
01100104,12,4889,0.04889
01100205,30,2917,0.02917
01100206,114,1876,0.01876
01100207,72,8844,0.08844
01100308,105,7297,0.07297
01100309,76,12651,0.12651
01100310,75,10181,0.10181
01100311,25,9787,0.09787
01100312,27,10727,0.10727
01100313,33,11590,0.1159
01100414,10,5513,0.05513
01100415,56,13348,0.13348
01100416,26,13523,0.13523
01200517,22,3924,0.03924
01200518,9,7096,0.07096
01200519,14,9592,0.09592
01200520,12,9513,0.09513
01200521,7,5259,0.05259
01200522,19,11521,0.11521
01200623,16,10990,0.1099
01200624,19,6942,0.06942
01200625,10,6905,0.06905
01200626,27,6079,0.06079
01200628,16,3281,0.03281
01200629,9,6039,0.06039
01300730,26,8060,0.0806
01300731,10,8922,0.08922
01300732,12,10078,0.10078
01300733,10,11684,0.11684
01300834,8,14258,0.14258
01300835,32,10821,0.10821
01300836,31,14947,0.14947
01400937,8,10966,0.10966
01400938,9,9681,0.09681
01400939,7,6149,0.06149
01400940,3,7094,0.07094
01400942,10,8789,0.08789
01401043,12,7627,0.07627
01401044,9,10226,0.10226
01401045,25,5531,0.05531
01401046,24,8869,0.08869
01401047,16,8206,0.08206
01401048,17,9520,0.0952
01401049,11,6637,0.06637
02100101,24,7225,0.07225
02100102,36,8660,0.0866
02100103,9,5470,0.0547
02100104,36,5550,0.0555
02100105,4,9263,0.09263
02100106,6,4813,0.04813
02200207,6,2666,0.02666
02200208,15,5745,0.05745
02200209,20,10957,0.10957
02200210,17,12350,0.1235
02200211,28,14595,0.14595
02200212,8,8340,0.0834
02200213,9,10004,0.10004
02300314,28,7085,0.07085
02300315,15,8209,0.08209
02300316,14,4160,0.0416
02300417,7,8301,0.08301
02300418,17,7629,0.07629
02300419,36,10396,0.10396
02400520,3,5904,0.05904
02400521,19,8712,0.08712
02400522,16,11394,0.11394
02400623,13,14037,0.14037
02400624,31,11887,0.11887
02400625,17,1328,0.01328
02500726,5,9175,0.09175
02500727,5,6519,0.06519
02500728,7,10073,0.10073
02500729,4,5407,0.05407
02500830,7,4071,0.04071
02500831,7,7857,0.07857
02500832,13,9541,0.09541
02500833,13,10045,0.10045
02500834,22,11299,0.11299
02500835,42,8820,0.0882
02500836,4,5137,0.05137
03100103,2,9449,0.09449
03200205,1,9167,0.09167
03200206,6,6842,0.06842
03200207,3,11799,0.11799
03200308,1,5261,0.05261
03200309,4,5484,0.05484
03200310,1,8088,0.08088
03300413,2,3195,0.03195
03300516,4,9560,0.0956
03300517,7,1088,0.01088
03400618,1,4783,0.04783
03400619,5,10596,0.10596
03400620,5,3506,0.03506
03400721,14,11895,0.11895
03400722,7,3807,0.03807
03400723,14,7507,0.07507
03400724,1,8494,0.08494
03400725,1,7645,0.07645
03400826,4,7222,0.07222
03400827,7,9703,0.09703
03400828,2,4934,0.04934
03400830,4,9293,0.09293
03400831,1,0,0.0
03500932,3,6659,0.06659
03500933,3,7686,0.07686
03500934,7,10363,0.10363
03500935,11,6799,0.06799
