id,lat,lon,name,street,zip_code,city,planning_area_id
30061331,52.52515,13.33797,Sofort Sanierung 24,Alt-Moabit 83,10555.0,Berlin,01200522
35300987,52.53935,13.35016,Urbanizers,,,,01401046
87040412,52.51143,13.38431,Botschaft der Tschechischen Republik,Wilhelmstraße 44,10117.0,Berlin,01100205
89304553,52.51226,13.40936,Botschaft von Australien,,10179.0,Berlin,01100312
150989193,52.56427,13.32651,,Scharnweberstraße 137,13405.0,Berlin,12200309
248780712,52.59161,13.33051,Katholische Kirchengemeinde St. Martin Berlin,Techowpromenade 35-43,13437.0,Berlin,12500926
266629317,52.50792,13.58824,Farbe & Design,Mädewalder Weg 30,12621.0,Berlin,10400836
268498019,52.47586,13.32813,BerlinWind GmbH,Bundesallee 67,12161.0,Berlin,07300515
268915335,52.56202,13.36062,Taxi,,,,12100204
268915458,52.53368,13.42816,Caspar Geyer - Grundstücksgesellschaft mbH,Marienburger Straße 30A,10405.0,Berlin,03701658
268917065,52.51355,13.30286,,Gierkezeile 5,10585.0,Berlin,04300621
272808901,52.49717,13.44224,Babylonia,Cuvrystraße 23a,10997.0,Berlin,02300419
275368512,52.54677,13.35651,Jobcenter Mitte am Leopoldplatz,Müllerstraße 147,13353.0,Berlin,01400942
278826729,52.51411,13.40252,Vertretung des Freistaates Sachsen beim Bund,Brüderstraße 11-12,10178.0,Berlin,01100207
282107703,52.51134,13.44919,Berliner Stadtmission,Gubener Straße 42,10243.0,Berlin,02400624
282762579,52.51514,13.46803,iu internationale Hochschule,Voigtstraße 2,10247.0,Berlin,02500729
300808809,52.56534,13.39444,Sahin,Wollankstraße 21A,13187.0,Berlin,03400721
304183504,52.51141,13.61209,,Hönower Straße 75,12623.0,Berlin,10400939
309962417,52.38339,13.11979,Arbeiterwohlfahrt,Großbeerenstraße 187,14482.0,Potsdam,
312664973,52.52879,13.46405,Wahlkreisbüro Sebastian Schlüsselburg,Karl-Lade-Straße 30,10369.0,Berlin,11300618
313285294,52.52776,13.45142,Cradle to Cradle Lab,Landsberger Allee 99C,10407.0,Berlin,03601452
314821152,52.49299,13.32245,Sanssouci & Co. KG,Hohenzollerndamm 194,10717.0,Berlin,04501147
320077743,52.53867,13.40059,Mersor,,,,01100416
330264334,52.52953,13.40178,St. Oberholz,Rosenthaler Straße 72,10119.0,Berlin,01100309
331398399,52.42794,13.34755,Bürgeramt Lankwitz,Gallwitzallee 87,12249.0,Berlin,06200315
344283391,52.52598,13.31436,Fraunhofer-Institut für Offene Kommunikationssysteme,Kaiserin-Augusta-Allee 31,10589.0,Berlin,04300518
344289307,52.54168,13.38585,Fraunhofer Institut für Zuverlässigkeit und Mikrointegration,Gustav-Meyer-Allee 25,13355.0,Berlin,01300835
344289311,52.54259,13.38447,Fraunhofer Institut für Zuverlässigkeit und Mikrointegration,Gustav-Meyer-Allee 25,13355.0,Berlin,01300835
348075887,52.47574,13.31447,Botschaft Gabun,Hohensteiner Straße 16,14197.0,Berlin,04400835
354483335,52.49614,13.32985,Leibniz-Zentrum für Literatur- und Kulturforschung (ZfL),Pariser Straße 1,10719.0,Berlin,04501045
355918726,52.63395,13.20892,co:bios Innovation GmbH,Neuendorfstraße 20 A,16761.0,Hennigsdorf,
356925920,52.50926,13.32986,Bundesanstalt für Immobilienaufgaben,Fasanenstraße 87,10623.0,Berlin,04300622
358106189,52.51217,13.38860,Deutsches Institut für Wirtschaftsforschung,Anton-Wilhelm-Amo-Straße 58,10117.0,Berlin,01100206
361001240,52.50944,13.26794,Bürgeramt Heerstraße,Heerstraße 12-14,14052.0,Berlin,04200310
361488016,52.51361,13.41362,Brasilianische Botschaft,Wallstraße 57,10179.0,Berlin,01100312
361488018,52.51361,13.41680,Botschaft der Volksrepublik China,Märkisches Ufer 54,10179.0,Berlin,01100312
371520086,52.51934,13.18393,Bundesanstalt für Geowissenschaften und Rohstoffe (Außenstelle Berlin),Wilhelmstraße 25-30,13593.0,Berlin,05200527
371522567,52.51083,13.38963,Centre Marc Bloch,Friedrichstraße 191,10117.0,Berlin,01100207
373160030,52.50744,13.38883,Deutsches Institut für Urbanistik (Difu),Zimmerstraße 13-15,10969.0,Berlin,02100102
377139721,52.48946,13.32132,Ecologic-Institut,,,,04501147
380447030,52.49728,13.44208,Gewerbehof Kerngehäuse,,10997.0,Berlin,02300419
412766878,52.53446,13.35852,Individual Network Berlin,Lehrter Straße 53,10557.0,Berlin,01200623
415308244,52.40612,13.66656,Revierförsterei Müggelheim,,,,09401635
416634870,52.48942,13.35519,Trinity Music,Gleditschstraße 79,10823.0,Berlin,07200409
417941724,52.48155,13.32723,Unfallbehandlungsstelle Berlin,Hildegardstraße 28,10715.0,Berlin,04501151
