id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,7,13637,0.13637
011003,12,62233,0.62233
011004,7,32384,0.32384
012005,8,46905,0.46905
012006,4,43624,0.43624
013007,6,38744,0.38744
013008,9,40026,0.40026
014009,8,46542,0.46542
014010,10,56616,0.56616
021001,7,40981,0.40981
022002,13,64657,0.64657
023003,2,19454,0.19454
023004,6,26326,0.26326
024005,4,26010,0.2601
024006,3,27252,0.27252
025007,2,31174,0.31174
025008,6,56770,0.5677
031001,4,17674,0.17674
032002,4,30231,0.30231
032003,2,18833,0.18833
033004,3,20185,0.20185
033005,2,17566,0.17566
034006,3,18885,0.18885
034007,6,39348,0.39348
034008,3,37120,0.3712
035009,7,41559,0.41559
035010,3,15993,0.15993
036011,4,27973,0.27973
036012,6,28115,0.28115
036013,4,22853,0.22853
036014,5,30041,0.30041
037015,3,27309,0.27309
037016,5,33591,0.33591
041001,3,19646,0.19646
042002,1,13147,0.13147
042003,11,27965,0.27965
043004,8,42997,0.42997
043005,3,16150,0.1615
043006,15,50836,0.50836
044007,4,19829,0.19829
044008,7,34447,0.34447
045009,7,28316,0.28316
045010,18,40669,0.40669
045011,10,49498,0.49498
051001,4,29637,0.29637
051002,3,43147,0.43147
051003,11,41028,0.41028
052004,1,23759,0.23759
052005,4,30971,0.30971
052006,11,37211,0.37211
053007,1,20008,0.20008
053008,3,13438,0.13438
054009,2,20078,0.20078
061001,10,22146,0.22146
061002,9,54101,0.54101
062003,4,44698,0.44698
062004,5,35974,0.35974
063005,6,34282,0.34282
063006,6,49471,0.49471
064007,4,26664,0.26664
064008,13,42708,0.42708
071001,11,26387,0.26387
071002,3,23957,0.23957
072003,5,21247,0.21247
072004,7,31676,0.31676
073005,6,25939,0.25939
073006,4,21462,0.21462
074007,2,19307,0.19307
074008,4,32691,0.32691
074009,4,15380,0.1538
075010,7,32705,0.32705
075011,3,21059,0.21059
076012,3,17997,0.17997
076013,2,14362,0.14362
076014,4,21257,0.21257
076015,6,31533,0.31533
081001,6,33049,0.33049
081002,13,37581,0.37581
081003,8,37805,0.37805
081004,4,38919,0.38919
081005,1,15194,0.15194
082006,3,21540,0.2154
082007,2,23196,0.23196
082008,4,29646,0.29646
083009,3,20234,0.20234
083010,1,18497,0.18497
084011,3,9662,0.09662
084012,6,44165,0.44165
091001,4,13453,0.13453
091002,1,11753,0.11753
091003,3,19404,0.19404
091004,2,21636,0.21636
092005,4,25664,0.25664
092006,2,14508,0.14508
092007,5,22417,0.22417
092008,1,12918,0.12918
093009,3,31244,0.31244
093010,2,15695,0.15695
093011,1,8376,0.08376
094013,2,12925,0.12925
094014,2,12042,0.12042
094015,2,7494,0.07494
094016,1,7059,0.07059
095017,3,19036,0.19036
095018,3,11138,0.11138
095019,3,12525,0.12525
095020,2,13462,0.13462
101001,4,25148,0.25148
101002,4,52190,0.5219
101003,7,42246,0.42246
102004,5,44060,0.4406
102005,3,23435,0.23435
102006,4,26017,0.26017
103007,6,30959,0.30959
104008,2,19683,0.19683
104009,6,30353,0.30353
111002,6,30968,0.30968
111003,3,28157,0.28157
112004,3,17330,0.1733
112005,3,35756,0.35756
113006,6,34484,0.34484
113007,5,34329,0.34329
113008,1,10508,0.10508
114009,4,35831,0.35831
114010,2,16561,0.16561
114011,6,28351,0.28351
115013,3,31923,0.31923
121001,5,28760,0.2876
121002,5,28322,0.28322
122003,5,28242,0.28242
122004,1,20355,0.20355
122005,6,11322,0.11322
124006,3,24332,0.24332
124007,6,32978,0.32978
125008,1,16760,0.1676
125009,5,32190,0.3219
126010,2,9583,0.09583
126011,3,27454,0.27454
