id,points,inhabitants,_100k_inhabitants
0110,28,124547,1.24547
0120,12,90529,0.90529
0130,15,78770,0.7877
0140,18,103158,1.03158
0210,7,40981,0.40981
0220,13,64657,0.64657
0230,8,45780,0.4578
0240,7,53262,0.53262
0250,8,87944,0.87944
0310,4,17674,0.17674
0320,6,49064,0.49064
0330,5,37751,0.37751
0340,12,95353,0.95353
0350,10,57552,0.57552
0360,19,108982,1.08982
0370,8,60900,0.609
0410,3,19646,0.19646
0420,12,41112,0.41112
0430,26,109983,1.09983
0440,11,54276,0.54276
0450,35,118483,1.18483
0510,18,113812,1.13812
0520,16,91941,0.91941
0530,4,33446,0.33446
0540,2,20078,0.20078
0610,19,76247,0.76247
0620,9,80672,0.80672
0630,12,83753,0.83753
0640,17,69372,0.69372
0710,14,50344,0.50344
0720,12,52923,0.52923
0730,10,47401,0.47401
0740,10,67378,0.67378
0750,10,53764,0.53764
0760,15,85149,0.85149
0810,32,162548,1.62548
0820,9,74382,0.74382
0830,4,38731,0.38731
0840,9,53827,0.53827
0910,10,66246,0.66246
0920,12,75507,0.75507
0930,6,59802,0.59802
0940,7,39520,0.3952
0950,11,56161,0.56161
1010,15,119584,1.19584
1020,12,93512,0.93512
1030,6,30959,0.30959
1040,8,50036,0.50036
1110,9,65576,0.65576
1120,6,53086,0.53086
1130,12,79321,0.79321
1140,12,80743,0.80743
1150,3,36822,0.36822
1210,10,57082,0.57082
1220,12,59919,0.59919
1240,9,57310,0.5731
1250,6,48950,0.4895
1260,5,50837,0.50837
