id,points,inhabitants,_100k_inhabitants
01100102,1,2034,0.02034
01100104,1,4889,0.04889
01100205,2,2917,0.02917
01100206,3,1876,0.01876
01100207,2,8844,0.08844
01100308,2,7297,0.07297
01100309,3,12651,0.12651
01100310,4,10181,0.10181
01100311,1,9787,0.09787
01100312,1,10727,0.10727
01100313,1,11590,0.1159
01100414,1,5513,0.05513
01100415,4,13348,0.13348
01100416,2,13523,0.13523
01200519,1,9592,0.09592
01200520,2,9513,0.09513
01200521,2,5259,0.05259
01200522,3,11521,0.11521
01200623,1,10990,0.1099
01200625,1,6905,0.06905
01200626,1,6079,0.06079
01200629,1,6039,0.06039
01300730,1,8060,0.0806
01300731,1,8922,0.08922
01300733,4,11684,0.11684
01300834,3,14258,0.14258
01300835,2,10821,0.10821
01300836,4,14947,0.14947
01400937,1,10966,0.10966
01400938,3,9681,0.09681
01400939,1,6149,0.06149
01400942,3,8789,0.08789
01401043,1,7627,0.07627
01401044,1,10226,0.10226
01401045,1,5531,0.05531
01401046,1,8869,0.08869
01401047,1,8206,0.08206
01401048,3,9520,0.0952
01401049,2,6637,0.06637
02100102,3,8660,0.0866
02100103,1,5470,0.0547
02100104,2,5550,0.0555
02100105,1,9263,0.09263
02200208,2,5745,0.05745
02200209,1,10957,0.10957
02200210,1,12350,0.1235
02200211,2,14595,0.14595
02200212,3,8340,0.0834
02200213,4,10004,0.10004
02300314,1,7085,0.07085
02300315,1,8209,0.08209
02300417,3,8301,0.08301
02300418,1,7629,0.07629
02300419,2,10396,0.10396
02400520,1,5904,0.05904
02400521,1,8712,0.08712
02400522,2,11394,0.11394
02400623,2,14037,0.14037
02400624,1,11887,0.11887
02500728,1,10073,0.10073
02500729,1,5407,0.05407
02500831,1,7857,0.07857
02500832,1,9541,0.09541
02500833,2,10045,0.10045
02500834,2,11299,0.11299
03100103,4,9449,0.09449
03200205,1,9167,0.09167
03200206,1,6842,0.06842
03200207,2,11799,0.11799
03200310,2,8088,0.08088
03300411,2,11764,0.11764
03300412,1,5226,0.05226
03300514,1,6869,0.06869
03300516,1,9560,0.0956
03400618,2,4783,0.04783
03400619,1,10596,0.10596
03400721,1,11895,0.11895
03400722,1,3807,0.03807
03400723,2,7507,0.07507
03400724,1,8494,0.08494
03400725,1,7645,0.07645
03400827,1,9703,0.09703
03400829,1,5968,0.05968
03400830,1,9293,0.09293
03500933,2,7686,0.07686
03500934,2,10363,0.10363
03500935,2,6799,0.06799
03500936,1,10052,0.10052
03501037,2,8487,0.08487
03501038,1,7506,0.07506
03601140,1,6016,0.06016
03601141,1,7057,0.07057
03601142,2,10860,0.1086
03601243,2,6990,0.0699
03601244,1,7614,0.07614
03601245,3,13511,0.13511
03601346,1,5888,0.05888
03601347,2,9495,0.09495
03601348,1,7470,0.0747
03601449,2,9928,0.09928
03601450,1,5449,0.05449
03601451,1,6527,0.06527
03601453,1,3391,0.03391
03701554,1,11453,0.11453
03701555,1,7258,0.07258
03701556,1,8598,0.08598
03701658,1,8285,0.08285
03701659,2,9477,0.09477
03701660,2,12614,0.12614
04100101,2,11768,0.11768
04100102,1,7878,0.07878
04200204,1,3325,0.03325
04200308,3,6113,0.06113
04200309,1,6895,0.06895
04200310,5,7533,0.07533
04200311,2,7424,0.07424
