id,lat,lon,name,street,zip_code,city,planning_area_id
60775323,52.54074,13.48660,Reichenberger Apotheke,Reichenberger Straße 3,13055.0,Berlin,11200513
60848447,52.53183,13.46965,Castello-Apotheke,,,,11300616
60852928,52.52755,13.46851,Rosen Apotheke,Rudolf-Seiffert-Straße 11,10369.0,Berlin,11300618
68437791,52.48938,13.45057,Margareten-Apotheke,Karl-Kunger-Straße 46,12435.0,Berlin,09100101
69226035,52.51055,13.39586,Leipziger Apotheke,Leipziger Straße 43,10117.0,Berlin,01100207
76507297,52.48154,13.31906,Preußen-Apotheke,Paretzer Straße 2,10713.0,Berlin,04501148
76519952,52.48655,13.33140,Bundes-Apotheke,Bundesallee 177,10715.0,Berlin,04501153
76596388,52.54319,13.44231,Mühlenberg-Apotheke,Thomas-Mann-Straße 1,10409.0,Berlin,03601449
78244254,52.50712,13.39478,Axels Apotheke,Rudi-Dutschke-Straße 8,,,02100102
79603436,52.56330,13.32877,Diamant Apotheke,Kurt-Schumacher-Damm 1-15,13405.0,Berlin,12200309
79606682,52.56689,13.31703,Apotheke am Markt Reinickendorf,,13405.0,Berlin,12200309
79624638,52.57012,13.32139,Barlach Apotheke,Auguste-Viktoria-Allee 81,13403.0,Berlin,12200309
79688159,52.48153,13.32898,Park-Apotheke,Bundesallee 55,10715.0,Berlin,04501151
81362602,52.51049,13.27160,Kranich-Apotheke,Lindenallee 28,14050.0,Berlin,04200310
87036261,52.53069,13.38412,Nordland Apotheke,Invalidenstraße 114,10115.0,Berlin,01100415
87040402,52.51176,13.38688,Friedrichstadt Apotheke,Glinkastraße 4,10117.0,Berlin,01100207
89274697,52.52184,13.40981,Panorama Apotheke,Panoramastraße 1,10178.0,Berlin,01100310
89274888,52.51978,13.41089,Bezirksapotheke am Roten Rathaus,Rathausstraße 5,10178.0,Berlin,01100310
89275182,52.51338,13.40535,Fischerinsel-Apotheke,Gertraudenstraße 19,10178.0,Berlin,01100312
203469194,52.52760,13.54219,Poseidon-Apotheke,Helene-Weigel-Platz 10,12681.0,Berlin,10100312
203474469,52.52046,13.55581,Skarabäus-Apotheke,Oberfeldstraße 30,12683.0,Berlin,10300731
250195921,52.52646,13.35012,Alte Roland-Apotheke,Turmstraße 15,10559.0,Berlin,01200625
251737915,52.54973,13.34982,Virchow Apotheke,Seestraße 99,13353.0,Berlin,01400938
