id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,2,13637,0.13637
011003,2,62233,0.62233
011004,2,32384,0.32384
012005,3,46905,0.46905
012006,4,43624,0.43624
013007,8,38744,0.38744
013008,5,40026,0.40026
014009,2,46542,0.46542
014010,6,56616,0.56616
021001,2,40981,0.40981
022002,5,64657,0.64657
023003,2,19454,0.19454
023004,2,26326,0.26326
024006,1,27252,0.27252
025007,1,31174,0.31174
025008,2,56770,0.5677
031001,1,17674,0.17674
032002,1,30231,0.30231
033004,2,20185,0.20185
033005,2,17566,0.17566
034007,2,39348,0.39348
034008,1,37120,0.3712
035009,4,41559,0.41559
035010,2,15993,0.15993
036011,3,27973,0.27973
037016,1,33591,0.33591
042003,4,27965,0.27965
043004,4,42997,0.42997
043005,1,16150,0.1615
043006,4,50836,0.50836
044007,1,19829,0.19829
045009,2,28316,0.28316
045010,1,40669,0.40669
045011,2,49498,0.49498
051001,3,29637,0.29637
051003,4,41028,0.41028
052005,1,30971,0.30971
052006,5,37211,0.37211
053007,1,20008,0.20008
061001,2,22146,0.22146
061002,1,54101,0.54101
062003,3,44698,0.44698
062004,2,35974,0.35974
064007,1,26664,0.26664
064008,1,42708,0.42708
071002,4,23957,0.23957
072003,1,21247,0.21247
072004,3,31676,0.31676
073005,2,25939,0.25939
073006,3,21462,0.21462
074009,3,15380,0.1538
075011,3,21059,0.21059
076015,1,31533,0.31533
081001,3,33049,0.33049
081002,4,37581,0.37581
081003,3,37805,0.37805
081004,9,38919,0.38919
083009,1,20234,0.20234
084011,1,9662,0.09662
084012,1,44165,0.44165
092005,3,25664,0.25664
092007,1,22417,0.22417
092008,1,12918,0.12918
093009,1,31244,0.31244
094015,1,7494,0.07494
095017,1,19036,0.19036
095019,1,12525,0.12525
101002,2,52190,0.5219
101003,2,42246,0.42246
104008,1,19683,0.19683
104009,1,30353,0.30353
113007,1,34329,0.34329
114009,1,35831,0.35831
114010,1,16561,0.16561
115013,1,31923,0.31923
121001,2,28760,0.2876
121002,3,28322,0.28322
122004,2,20355,0.20355
122005,1,11322,0.11322
124007,1,32978,0.32978
125008,3,16760,0.1676
125009,1,32190,0.3219
126010,1,9583,0.09583
126011,1,27454,0.27454
126012,1,13800,0.138
