id,points,inhabitants,_100k_inhabitants
0110,8,124547,1.24547
0120,7,90529,0.90529
0130,13,78770,0.7877
0140,8,103158,1.03158
0210,2,40981,0.40981
0220,5,64657,0.64657
0230,4,45780,0.4578
0240,1,53262,0.53262
0250,3,87944,0.87944
0310,1,17674,0.17674
0320,1,49064,0.49064
0330,4,37751,0.37751
0340,3,95353,0.95353
0350,6,57552,0.57552
0360,3,108982,1.08982
0370,1,60900,0.609
0420,4,41112,0.41112
0430,9,109983,1.09983
0440,1,54276,0.54276
0450,5,118483,1.18483
0510,7,113812,1.13812
0520,6,91941,0.91941
0530,1,33446,0.33446
0610,3,76247,0.76247
0620,5,80672,0.80672
0640,2,69372,0.69372
0710,4,50344,0.50344
0720,4,52923,0.52923
0730,5,47401,0.47401
0740,3,67378,0.67378
0750,3,53764,0.53764
0760,1,85149,0.85149
0810,19,162548,1.62548
0830,1,38731,0.38731
0840,2,53827,0.53827
0920,5,75507,0.75507
0930,1,59802,0.59802
0940,1,39520,0.3952
0950,2,56161,0.56161
1010,4,119584,1.19584
1040,2,50036,0.50036
1130,1,79321,0.79321
1140,2,80743,0.80743
1150,1,36822,0.36822
1210,5,57082,0.57082
1220,3,59919,0.59919
1240,1,57310,0.5731
1250,4,48950,0.4895
1260,3,50837,0.50837
