id,points,inhabitants,_100k_inhabitants
01100101,1,3580,0.0358
01100103,1,5790,0.0579
01100206,2,1876,0.01876
01100308,1,7297,0.07297
01100312,1,10727,0.10727
01100416,2,13523,0.13523
01200519,2,9592,0.09592
01200520,1,9513,0.09513
01200623,1,10990,0.1099
01200624,1,6942,0.06942
01200626,1,6079,0.06079
01200627,1,3388,0.03388
01300730,4,8060,0.0806
01300731,1,8922,0.08922
01300733,3,11684,0.11684
01300835,2,10821,0.10821
01300836,3,14947,0.14947
01400937,1,10966,0.10966
01400942,1,8789,0.08789
01401043,1,7627,0.07627
01401044,3,10226,0.10226
01401045,1,5531,0.05531
01401048,1,9520,0.0952
02100102,1,8660,0.0866
02100106,1,4813,0.04813
02200208,1,5745,0.05745
02200210,2,12350,0.1235
02200211,1,14595,0.14595
02200213,1,10004,0.10004
02300314,2,7085,0.07085
02300417,1,8301,0.08301
02300419,1,10396,0.10396
02400623,1,14037,0.14037
02500727,1,6519,0.06519
02500831,1,7857,0.07857
02500832,1,9541,0.09541
03100101,1,4720,0.0472
03200205,1,9167,0.09167
03300411,1,11764,0.11764
03300412,1,5226,0.05226
03300514,1,6869,0.06869
03300516,1,9560,0.0956
03400721,1,11895,0.11895
03400723,1,7507,0.07507
03400826,1,7222,0.07222
03500933,1,7686,0.07686
03500934,1,10363,0.10363
03500935,1,6799,0.06799
03500936,1,10052,0.10052
03501037,1,8487,0.08487
03501038,1,7506,0.07506
03601141,2,7057,0.07057
03601142,1,10860,0.1086
03701659,1,9477,0.09477
04200309,1,6895,0.06895
04200311,3,7424,0.07424
04300412,1,4539,0.04539
04300413,2,9973,0.09973
04300415,1,6258,0.06258
04300518,1,6682,0.06682
04300621,3,10941,0.10941
04300624,1,9314,0.09314
04400726,1,5417,0.05417
04500938,2,8281,0.08281
04501045,1,9363,0.09363
04501151,2,7420,0.0742
05100104,2,6960,0.0696
05100105,1,7689,0.07689
05100314,2,7493,0.07493
05100315,2,7334,0.07334
05200527,1,12030,0.1203
05200629,1,8357,0.08357
05200630,2,10042,0.10042
05200631,1,8679,0.08679
05200632,1,3655,0.03655
05300737,1,11913,0.11913
06100101,2,6912,0.06912
06100208,1,7065,0.07065
06200314,1,7210,0.0721
06200316,1,5788,0.05788
06200317,1,6257,0.06257
06200421,2,8417,0.08417
06400735,1,10188,0.10188
06400838,1,7341,0.07341
07100204,1,10425,0.10425
07100205,2,5177,0.05177
07100206,1,8355,0.08355
07200308,1,10698,0.10698
07200409,2,9300,0.093
07200411,1,2741,0.02741
07300515,2,6961,0.06961
07300618,2,9243,0.09243
07300619,1,12219,0.12219
07400927,2,11415,0.11415
07400928,1,3965,0.03965
07501133,1,8254,0.08254
07501134,2,10548,0.10548
07601546,1,6977,0.06977
08100101,1,4626,0.04626
08100102,1,8181,0.08181
08100105,1,6338,0.06338
08100206,3,9350,0.0935
08100208,1,11955,0.11955
08100311,2,7076,0.07076
08100314,1,7930,0.0793
08100415,2,6388,0.06388
08100416,5,6577,0.06577
08100417,1,9569,0.09569
08100419,1,7192,0.07192
08300934,1,12623,0.12623
08401139,1,4092,0.04092
08401242,1,6893,0.06893
09200510,2,8024,0.08024
09200511,1,13207,0.13207
09200717,1,9785,0.09785
09200819,1,8588,0.08588
09300923,1,9100,0.091
09401534,1,7494,0.07494
09501737,1,14359,0.14359
09501940,1,2759,0.02759
10100206,1,11809,0.11809
10100209,1,9642,0.09642
10100316,2,3696,0.03696
10400837,1,7870,0.0787
10400938,1,10234,0.10234
11300721,1,6848,0.06848
11400928,1,2933,0.02933
11401033,1,6890,0.0689
11501340,1,11246,0.11246
12100101,1,11188,0.11188
12100102,1,9980,0.0998
12100204,1,9554,0.09554
12100205,2,13988,0.13988
12200412,1,6518,0.06518
12200414,1,5440,0.0544
12200515,1,11322,0.11322
12400723,1,8090,0.0809
12500824,2,9681,0.09681
12500825,1,7079,0.07079
12500930,1,9873,0.09873
12601031,1,3333,0.03333
12601134,1,16006,0.16006
12601235,1,10610,0.1061
