id,points,inhabitants,_100k_inhabitants
011001,3,16293,0.16293
011003,10,62233,0.62233
011004,5,32384,0.32384
012005,1,46905,0.46905
012006,6,43624,0.43624
013007,7,38744,0.38744
013008,5,40026,0.40026
014009,18,46542,0.46542
014010,8,56616,0.56616
021001,20,40981,0.40981
022002,9,64657,0.64657
023004,5,26326,0.26326
024005,4,26010,0.2601
024006,6,27252,0.27252
025007,8,31174,0.31174
025008,9,56770,0.5677
031001,11,17674,0.17674
032002,7,30231,0.30231
032003,14,18833,0.18833
033004,5,20185,0.20185
033005,8,17566,0.17566
034006,2,18885,0.18885
034007,16,39348,0.39348
034008,14,37120,0.3712
035009,12,41559,0.41559
035010,2,15993,0.15993
036011,12,27973,0.27973
036012,2,28115,0.28115
036014,5,30041,0.30041
037015,1,27309,0.27309
037016,10,33591,0.33591
041001,2,19646,0.19646
042002,4,13147,0.13147
042003,3,27965,0.27965
043005,4,16150,0.1615
043006,9,50836,0.50836
044007,5,19829,0.19829
045009,4,28316,0.28316
045011,1,49498,0.49498
051001,40,29637,0.29637
051002,2,43147,0.43147
051003,9,41028,0.41028
052004,4,23759,0.23759
052005,16,30971,0.30971
052006,17,37211,0.37211
053007,22,20008,0.20008
053008,5,13438,0.13438
054009,3,20078,0.20078
061002,4,54101,0.54101
062003,3,44698,0.44698
062004,4,35974,0.35974
063005,18,34282,0.34282
063006,6,49471,0.49471
064007,3,26664,0.26664
064008,5,42708,0.42708
071001,4,26387,0.26387
071002,3,23957,0.23957
072004,7,31676,0.31676
073005,2,25939,0.25939
073006,8,21462,0.21462
074007,3,19307,0.19307
074008,6,32691,0.32691
074009,1,15380,0.1538
075010,6,32705,0.32705
075011,4,21059,0.21059
076012,5,17997,0.17997
076013,3,14362,0.14362
076014,1,21257,0.21257
076015,3,31533,0.31533
081001,6,33049,0.33049
081002,5,37581,0.37581
081003,1,37805,0.37805
081004,2,38919,0.38919
081005,2,15194,0.15194
082007,13,23196,0.23196
082008,16,29646,0.29646
083009,3,20234,0.20234
083010,1,18497,0.18497
084011,6,9662,0.09662
084012,3,44165,0.44165
091001,4,13453,0.13453
091002,10,11753,0.11753
091003,3,19404,0.19404
091004,1,21636,0.21636
092005,8,25664,0.25664
092006,3,14508,0.14508
092007,3,22417,0.22417
092008,4,12918,0.12918
093009,3,31244,0.31244
093012,1,4487,0.04487
094013,7,12925,0.12925
094014,4,12042,0.12042
094016,1,7059,0.07059
095017,1,19036,0.19036
095018,1,11138,0.11138
095019,3,12525,0.12525
095020,2,13462,0.13462
101001,2,25148,0.25148
101002,2,52190,0.5219
101003,20,42246,0.42246
102004,1,44060,0.4406
102005,4,23435,0.23435
102006,6,26017,0.26017
103007,10,30959,0.30959
104008,1,19683,0.19683
104009,4,30353,0.30353
111001,4,6451,0.06451
111002,2,30968,0.30968
111003,5,28157,0.28157
112004,2,17330,0.1733
112005,15,35756,0.35756
113006,4,34484,0.34484
113007,15,34329,0.34329
113008,5,10508,0.10508
114009,12,35831,0.35831
114010,11,16561,0.16561
114011,48,28351,0.28351
115012,3,4899,0.04899
115013,13,31923,0.31923
121001,9,28760,0.2876
121002,11,28322,0.28322
122003,6,28242,0.28242
122004,7,20355,0.20355
122005,2,11322,0.11322
124006,5,24332,0.24332
124007,2,32978,0.32978
125008,5,16760,0.1676
125009,16,32190,0.3219
126010,3,9583,0.09583
126011,18,27454,0.27454
126012,2,13800,0.138
