id,points,inhabitants,_100k_inhabitants
0110,18,124547,1.24547
0120,7,90529,0.90529
0130,12,78770,0.7877
0140,26,103158,1.03158
0210,20,40981,0.40981
0220,9,64657,0.64657
0230,5,45780,0.4578
0240,10,53262,0.53262
0250,17,87944,0.87944
0310,11,17674,0.17674
0320,21,49064,0.49064
0330,13,37751,0.37751
0340,32,95353,0.95353
0350,14,57552,0.57552
0360,19,108982,1.08982
0370,11,60900,0.609
0410,2,19646,0.19646
0420,7,41112,0.41112
0430,13,109983,1.09983
0440,5,54276,0.54276
0450,5,118483,1.18483
0510,51,113812,1.13812
0520,37,91941,0.91941
0530,27,33446,0.33446
0540,3,20078,0.20078
0610,4,76247,0.76247
0620,7,80672,0.80672
0630,24,83753,0.83753
0640,8,69372,0.69372
0710,7,50344,0.50344
0720,7,52923,0.52923
0730,10,47401,0.47401
0740,10,67378,0.67378
0750,10,53764,0.53764
0760,12,85149,0.85149
0810,16,162548,1.62548
0820,29,74382,0.74382
0830,4,38731,0.38731
0840,9,53827,0.53827
0910,18,66246,0.66246
0920,18,75507,0.75507
0930,4,59802,0.59802
0940,12,39520,0.3952
0950,7,56161,0.56161
1010,24,119584,1.19584
1020,11,93512,0.93512
1030,10,30959,0.30959
1040,5,50036,0.50036
1110,11,65576,0.65576
1120,17,53086,0.53086
1130,24,79321,0.79321
1140,71,80743,0.80743
1150,16,36822,0.36822
1210,20,57082,0.57082
1220,15,59919,0.59919
1240,7,57310,0.5731
1250,21,48950,0.4895
1260,23,50837,0.50837
