id,points,inhabitants,_100k_inhabitants
01100103,1,5790,0.0579
01100104,2,4889,0.04889
01100309,2,12651,0.12651
01100311,4,9787,0.09787
01100312,3,10727,0.10727
01100313,1,11590,0.1159
01100415,3,13348,0.13348
01100416,2,13523,0.13523
01200520,1,9513,0.09513
01200623,2,10990,0.1099
01200624,1,6942,0.06942
01200626,1,6079,0.06079
01200628,1,3281,0.03281
01200629,1,6039,0.06039
01300730,3,8060,0.0806
01300731,2,8922,0.08922
01300732,2,10078,0.10078
01300834,4,14258,0.14258
01300835,1,10821,0.10821
01400937,9,10966,0.10966
01400938,3,9681,0.09681
01400940,6,7094,0.07094
01401043,1,7627,0.07627
01401044,2,10226,0.10226
01401047,4,8206,0.08206
01401049,1,6637,0.06637
02100101,1,7225,0.07225
02100102,4,8660,0.0866
02100103,5,5470,0.0547
02100104,4,5550,0.0555
02100105,4,9263,0.09263
02100106,2,4813,0.04813
02200207,4,2666,0.02666
02200208,2,5745,0.05745
02200209,1,10957,0.10957
02200210,1,12350,0.1235
02200211,1,14595,0.14595
02300417,1,8301,0.08301
02300419,4,10396,0.10396
02400521,1,8712,0.08712
02400522,3,11394,0.11394
02400623,4,14037,0.14037
02400624,1,11887,0.11887
02400625,1,1328,0.01328
02500726,1,9175,0.09175
02500728,7,10073,0.10073
02500831,1,7857,0.07857
02500832,5,9541,0.09541
02500834,1,11299,0.11299
02500835,1,8820,0.0882
02500836,1,5137,0.05137
03100101,2,4720,0.0472
03100102,3,3505,0.03505
03100103,6,9449,0.09449
03200204,2,2423,0.02423
03200206,2,6842,0.06842
03200207,3,11799,0.11799
03200308,2,5261,0.05261
03200310,12,8088,0.08088
03300411,3,11764,0.11764
03300413,2,3195,0.03195
03300514,4,6869,0.06869
03300516,4,9560,0.0956
03400618,2,4783,0.04783
03400721,2,11895,0.11895
03400722,5,3807,0.03807
03400723,5,7507,0.07507
03400724,4,8494,0.08494
03400826,7,7222,0.07222
03400828,3,4934,0.04934
03400829,2,5968,0.05968
03400830,2,9293,0.09293
03500932,7,6659,0.06659
03500934,1,10363,0.10363
03500936,4,10052,0.10052
03501037,2,8487,0.08487
03601140,3,6016,0.06016
03601141,3,7057,0.07057
03601142,6,10860,0.1086
03601245,2,13511,0.13511
03601449,1,9928,0.09928
03601450,1,5449,0.05449
03601451,1,6527,0.06527
03601453,2,3391,0.03391
03701554,1,11453,0.11453
03701657,6,3215,0.03215
03701659,1,9477,0.09477
03701660,3,12614,0.12614
04100101,2,11768,0.11768
04200204,1,3325,0.03325
04200206,1,2848,0.02848
04200207,2,2996,0.02996
04200308,3,6113,0.06113
04300517,4,9468,0.09468
04300619,1,9007,0.09007
04300620,3,4118,0.04118
04300621,1,10941,0.10941
04300622,1,5269,0.05269
04300623,3,12187,0.12187
04400726,3,5417,0.05417
04400727,2,8322,0.08322
04500936,1,5621,0.05621
04500939,3,6761,0.06761
04501151,1,7420,0.0742
05100101,2,4504,0.04504
05100102,12,4377,0.04377
05100103,15,6107,0.06107
05100104,8,6960,0.0696
05100105,3,7689,0.07689
05100211,2,6210,0.0621
05100312,2,4007,0.04007
05100313,3,7231,0.07231
05100314,3,7493,0.07493
05100316,1,10505,0.10505
05200421,4,4360,0.0436
05200525,2,2464,0.02464
05200527,13,12030,0.1203
05200528,1,7291,0.07291
05200629,4,8357,0.08357
05200630,5,10042,0.10042
05200631,7,8679,0.08679
05200633,1,2159,0.02159
05300735,2,4520,0.0452
05300736,7,3575,0.03575
05300737,13,11913,0.11913
05300839,5,8314,0.08314
05400942,2,3691,0.03691
05400943,1,10533,0.10533
06100205,1,9988,0.09988
06100206,1,7751,0.07751
06100207,1,8168,0.08168
06100208,1,7065,0.07065
06200311,1,4873,0.04873
06200316,2,5788,0.05788
06200420,2,7403,0.07403
06200421,1,8417,0.08417
06200423,1,8606,0.08606
06300524,1,5624,0.05624
06300525,9,5820,0.0582
06300527,4,8541,0.08541
06300528,4,10947,0.10947
06300629,2,6988,0.06988
06300631,1,2881,0.02881
06300632,2,13695,0.13695
06300634,1,8285,0.08285
06400735,1,10188,0.10188
06400736,1,5139,0.05139
06400737,1,11337,0.11337
06400842,3,4773,0.04773
06400843,2,4690,0.0469
07100101,2,9794,0.09794
07100102,1,8696,0.08696
07100103,1,7897,0.07897
07100206,3,8355,0.08355
07200409,1,9300,0.093
07200410,5,5538,0.05538
07200413,1,7708,0.07708
07300516,2,8896,0.08896
07300618,1,9243,0.09243
07300619,7,12219,0.12219
07400720,3,11668,0.11668
07400822,2,3291,0.03291
07400823,1,9690,0.0969
07400824,2,7387,0.07387
07400825,1,7213,0.07213
07400927,1,11415,0.11415
07501029,1,8544,0.08544
07501030,1,8753,0.08753
07501031,3,9124,0.09124
07501032,1,6284,0.06284
07501133,3,8254,0.08254
07501134,1,10548,0.10548
07601236,5,10335,0.10335
07601341,3,2225,0.02225
07601443,1,10849,0.10849
07601544,2,9262,0.09262
07601545,1,8570,0.0857
08100103,1,7205,0.07205
08100104,2,6699,0.06699
08100105,3,6338,0.06338
08100207,5,7442,0.07442
08100312,1,11499,0.11499
08100416,1,6577,0.06577
