id,lat,lon,name,street,zip_code,city,planning_area_id
29695282,52.53366,13.35363,Polizei Abschnitt 27,Perleberger Straße 61A,10559.0,Berlin,01200623
84644753,52.50495,13.39056,Abschnitt 53 Kreuzberg-Nord,Friedrichstraße 219,10969.0,Berlin,02100102
206102770,52.42769,13.34759,Polizei Abschnitt 46,,,,06200315
242769298,52.52801,13.22691,Polizei Abschnitt 22,,,,05100317
244118624,52.47915,13.43475,Polizeiabschnitt 55,Rollbergstraße 9,12053.0,Berlin,08100206
261965140,52.49221,13.45622,Gemeinsames Terrorismusabwehrzentrum,Am Treptower Park 5-8,12435.0,Berlin,09100101
262991360,52.42669,13.74145,Wasserschutzpolizeirevier,,,,
509897018,52.50932,13.49686,Bundespolizei,,,,11300826
573418582,52.51331,13.23843,Stadionwache,,,,04200203
614482788,52.52428,13.41569,Polizei Berlin – Abschnitt 57,Keibelstraße 35,10178.0,Berlin,01100310
659031944,52.53797,13.45234,Polizei Berlin Abschnitt 16,Storkower Straße 101,10407.0,Berlin,03601450
988558167,52.52202,13.36593,Polizei Abschnitt 28,Alt-Moabit 145,10557.0,Berlin,01200628
1235571254,52.61715,13.24467,2. Bereitschaftspolizeiabteilung,,,,12400618
1288824514,52.50947,13.43533,Bundespolizei,,10243.0,Berlin,02400623
2891400692,52.58240,13.28904,Polizei Berlin – Abschnitt 11,Berliner Straße 35,13507.0,Berlin,12200515
2960443393,52.42665,13.74167,Polizei Land Brandenburg - Polizeirevier,,,,
2960443394,52.42661,13.74186,Polizei Land Brandenburg - Revierpolizei,,,,
3127986846,52.35519,13.30890,Sprechzimmer Revierpolizei Großbeeren,Am Rathaus 2,14979.0,Großbeeren,
3230826578,52.51220,13.44458,Polizei Berlin Abschnitt 51,Wedekindstraße 10,10243.0,Berlin,02400624
3868548230,52.35142,13.41910,,Heckenrosenstraße 2,15827.0,Blankenfelde-Mahlow,
6482848243,52.66257,13.37814,Revierpolizist,,,,
9673650886,52.38336,13.14435,Bundespolizei,,,,
10671508605,52.50012,13.41837,Nebenwache am Kottbusser Tor,Adalbertstraße 3,10999.0,Berlin,02300314
11568947841,52.50837,13.33372,Bundespolizei,,,,04501042
12161696502,52.46891,13.37589,Polizei / Police,,,,07400823
12847789059,52.49788,13.46783,Bundeskriminalamt Berlin - Liegenschaft B4,Kynaststraße 3,10317.0,Berlin,02500836
