id,points,inhabitants,_100k_inhabitants
011002,1,13637,0.13637
011003,6,62233,0.62233
011004,1,32384,0.32384
012005,2,46905,0.46905
012006,1,43624,0.43624
013008,2,40026,0.40026
014009,3,46542,0.46542
021001,3,40981,0.40981
022002,6,64657,0.64657
023003,1,19454,0.19454
023004,1,26326,0.26326
024005,1,26010,0.2601
024006,3,27252,0.27252
025007,4,31174,0.31174
025008,5,56770,0.5677
031001,1,17674,0.17674
032002,2,30231,0.30231
032003,2,18833,0.18833
033004,1,20185,0.20185
033005,1,17566,0.17566
034006,1,18885,0.18885
034007,1,39348,0.39348
034008,1,37120,0.3712
035009,1,41559,0.41559
035010,1,15993,0.15993
036011,1,27973,0.27973
036012,1,28115,0.28115
036014,3,30041,0.30041
037016,4,33591,0.33591
042003,3,27965,0.27965
043005,2,16150,0.1615
043006,3,50836,0.50836
044007,1,19829,0.19829
045009,1,28316,0.28316
045010,3,40669,0.40669
051003,1,41028,0.41028
052004,1,23759,0.23759
052005,1,30971,0.30971
052006,2,37211,0.37211
053007,1,20008,0.20008
054009,1,20078,0.20078
061002,1,54101,0.54101
062003,3,44698,0.44698
062004,1,35974,0.35974
063005,2,34282,0.34282
063006,4,49471,0.49471
064007,2,26664,0.26664
064008,3,42708,0.42708
071001,3,26387,0.26387
072003,1,21247,0.21247
072004,2,31676,0.31676
074008,1,32691,0.32691
074009,2,15380,0.1538
076012,5,17997,0.17997
076015,1,31533,0.31533
081001,1,33049,0.33049
081002,2,37581,0.37581
081003,1,37805,0.37805
081005,1,15194,0.15194
082006,1,21540,0.2154
082007,1,23196,0.23196
084011,2,9662,0.09662
084012,1,44165,0.44165
091003,1,19404,0.19404
092005,2,25664,0.25664
092006,3,14508,0.14508
092007,4,22417,0.22417
092008,3,12918,0.12918
093009,3,31244,0.31244
093010,1,15695,0.15695
094014,2,12042,0.12042
094016,1,7059,0.07059
095017,1,19036,0.19036
095018,2,11138,0.11138
095019,3,12525,0.12525
101001,1,25148,0.25148
101002,2,52190,0.5219
101003,1,42246,0.42246
102004,2,44060,0.4406
102006,1,26017,0.26017
104009,3,30353,0.30353
111001,1,6451,0.06451
111002,1,30968,0.30968
111003,1,28157,0.28157
112005,1,35756,0.35756
113006,2,34484,0.34484
114009,8,35831,0.35831
114010,1,16561,0.16561
114011,2,28351,0.28351
115013,2,31923,0.31923
121001,11,28760,0.2876
121002,2,28322,0.28322
122004,1,20355,0.20355
122005,1,11322,0.11322
124006,5,24332,0.24332
124007,1,32978,0.32978
125009,1,32190,0.3219
126011,1,27454,0.27454
