id,points,inhabitants,_100k_inhabitants
0110,8,124547,1.24547
0120,3,90529,0.90529
0130,2,78770,0.7877
0140,3,103158,1.03158
0210,3,40981,0.40981
0220,6,64657,0.64657
0230,2,45780,0.4578
0240,4,53262,0.53262
0250,9,87944,0.87944
0310,1,17674,0.17674
0320,4,49064,0.49064
0330,2,37751,0.37751
0340,3,95353,0.95353
0350,2,57552,0.57552
0360,5,108982,1.08982
0370,4,60900,0.609
0420,3,41112,0.41112
0430,5,109983,1.09983
0440,1,54276,0.54276
0450,4,118483,1.18483
0510,1,113812,1.13812
0520,4,91941,0.91941
0530,1,33446,0.33446
0540,1,20078,0.20078
0610,1,76247,0.76247
0620,4,80672,0.80672
0630,6,83753,0.83753
0640,5,69372,0.69372
0710,3,50344,0.50344
0720,3,52923,0.52923
0740,3,67378,0.67378
0760,6,85149,0.85149
0810,5,162548,1.62548
0820,2,74382,0.74382
0840,3,53827,0.53827
0910,1,66246,0.66246
0920,12,75507,0.75507
0930,4,59802,0.59802
0940,3,39520,0.3952
0950,6,56161,0.56161
1010,4,119584,1.19584
1020,3,93512,0.93512
1040,3,50036,0.50036
1110,3,65576,0.65576
1120,1,53086,0.53086
1130,2,79321,0.79321
1140,11,80743,0.80743
1150,2,36822,0.36822
1210,13,57082,0.57082
1220,2,59919,0.59919
1240,6,57310,0.5731
1250,1,48950,0.4895
1260,1,50837,0.50837
