id,points,inhabitants,_100k_inhabitants
01100206,1,1876,0.01876
01100308,2,7297,0.07297
01100310,1,10181,0.10181
01100313,3,11590,0.1159
01100415,1,13348,0.13348
01200518,1,7096,0.07096
01200520,1,9513,0.09513
01200629,1,6039,0.06039
01300834,1,14258,0.14258
01300836,1,14947,0.14947
01400940,3,7094,0.07094
02100101,1,7225,0.07225
02100102,1,8660,0.0866
02100104,1,5550,0.0555
02200208,1,5745,0.05745
02200209,3,10957,0.10957
02200213,2,10004,0.10004
02300315,1,8209,0.08209
02300418,1,7629,0.07629
02400520,1,5904,0.05904
02400623,3,14037,0.14037
02500726,1,9175,0.09175
02500728,2,10073,0.10073
02500729,1,5407,0.05407
02500830,1,4071,0.04071
02500832,1,9541,0.09541
02500833,1,10045,0.10045
02500835,2,8820,0.0882
03100103,1,9449,0.09449
03200205,1,9167,0.09167
03200207,1,11799,0.11799
03200309,1,5484,0.05484
03200310,1,8088,0.08088
03300411,1,11764,0.11764
03300516,1,9560,0.0956
03400620,1,3506,0.03506
03400722,1,3807,0.03807
03400826,1,7222,0.07222
03500935,1,6799,0.06799
03501037,1,8487,0.08487
03601142,1,10860,0.1086
03601243,1,6990,0.0699
03601449,1,9928,0.09928
03601450,1,5449,0.05449
03601453,1,3391,0.03391
03701659,2,9477,0.09477
03701660,2,12614,0.12614
04200311,3,7424,0.07424
04300517,2,9468,0.09468
04300623,2,12187,0.12187
04300624,1,9314,0.09314
04400728,1,3189,0.03189
04500937,1,7653,0.07653
04501042,1,3664,0.03664
04501043,1,10999,0.10999
04501045,1,9363,0.09363
05100314,1,7493,0.07493
05200418,1,3847,0.03847
05200527,1,12030,0.1203
05200629,1,8357,0.08357
05200630,1,10042,0.10042
05300737,1,11913,0.11913
05400945,1,3671,0.03671
06100205,1,9988,0.09988
06200313,3,7395,0.07395
06200419,1,4539,0.04539
06300526,2,3350,0.0335
06300629,1,6988,0.06988
06300631,1,2881,0.02881
06300633,2,11955,0.11955
06400735,2,10188,0.10188
06400838,2,7341,0.07341
06400840,1,7080,0.0708
07100101,1,9794,0.09794
07100102,2,8696,0.08696
07200307,1,10549,0.10549
07200409,1,9300,0.093
07200413,1,7708,0.07708
07400824,1,7387,0.07387
07400927,2,11415,0.11415
07601236,2,10335,0.10335
07601237,3,4785,0.04785
07601544,1,9262,0.09262
08100104,1,6699,0.06699
08100206,2,9350,0.0935
08100310,1,7560,0.0756
08100520,1,5737,0.05737
08200623,1,6692,0.06692
08200730,1,3373,0.03373
08401139,2,4092,0.04092
08401243,1,10078,0.10078
09100305,1,4338,0.04338
09200510,1,8024,0.08024
09200511,1,13207,0.13207
09200613,3,10704,0.10704
09200715,2,4259,0.04259
09200716,2,8373,0.08373
09200819,3,8588,0.08588
09300920,1,13253,0.13253
09300922,1,6013,0.06013
09300923,1,9100,0.091
09301024,1,3776,0.03776
09401431,1,5992,0.05992
09401433,1,4478,0.04478
09401635,1,7059,0.07059
09501737,1,14359,0.14359
09501838,2,11138,0.11138
09501939,2,6829,0.06829
09501941,1,2937,0.02937
10100103,1,8110,0.0811
10100208,1,10330,0.1033
10100210,1,10868,0.10868
10100312,1,16216,0.16216
10200421,1,1757,0.01757
10200422,1,7368,0.07368
10200629,1,9187,0.09187
10400938,2,10234,0.10234
10400941,1,9743,0.09743
11100102,1,3095,0.03095
11100203,1,9394,0.09394
11100307,1,11702,0.11702
11200514,1,16289,0.16289
11300616,1,5992,0.05992
11300618,1,3850,0.0385
11400928,1,2933,0.02933
11400929,5,16901,0.16901
11400930,1,4760,0.0476
11400931,1,7064,0.07064
11401033,1,6890,0.0689
11401135,1,11011,0.11011
11401137,1,9004,0.09004
11501339,2,10574,0.10574
12100101,7,11188,0.11188
12100102,3,9980,0.0998
12100103,1,7592,0.07592
12100204,1,9554,0.09554
12100205,1,13988,0.13988
12200412,1,6518,0.06518
12200515,1,11322,0.11322
12400616,1,6113,0.06113
12400618,2,3789,0.03789
12400619,2,7726,0.07726
12400722,1,8517,0.08517
12500926,1,5181,0.05181
12601134,1,16006,0.16006
