id,lat,lon,name,street,zip_code,city,planning_area_id
64888570,52.56467,13.50718,Deutsche Post,Prerower Platz 1,13051.0,Berlin,11100307
89274887,52.51969,13.41155,Deutsche Post,,,,01100310
97877441,52.63578,13.49381,Postbank Finanzcenter,Wiltbergstraße 21,13125.0,Berlin,03100103
251290430,52.44134,13.68898,,,,,09501838
257705263,52.53380,13.19801,Postbank Finanzcenter,,,,05200629
258888571,52.56511,13.57133,Deutsche Post,Wittenberger Straße 76-80,12689.0,Berlin,10100103
259609019,52.54899,13.20101,Post,,,,05100314
263388055,52.41073,13.75277,Deutsche Post,,,,
268072806,52.58892,13.28719,Deutsche Post,,,,12200515
269477697,52.51146,13.41695,Deutsche Post,,10179.0,Berlin,01100313
270320951,52.43475,13.34269,Postbank Filiale 506,Kaiser-Wilhelm-Straße 60-62,12247.0,Berlin,06200313
270766888,52.43836,13.71998,,,,,09501838
278361796,52.51337,13.52266,Postbank,,,,11401033
292396766,52.61725,13.48863,Schmökerzeit,,,,03300411
297885281,52.51397,13.61238,,Hönower Straße 102,12623.0,Berlin,10400938
298637247,52.52641,13.45114,Postfiliale,Ebertystraße 5,10249.0,Berlin,02500726
304897129,52.41261,13.57217,Deutsche Post,Bruno-Taut-Straße 1,12524.0,Berlin,09301024
308811060,52.54958,13.41612,,,,,03601243
311985210,52.56403,13.72600,,,15345.0,Altlandsberg,
322541059,52.59655,13.35061,Deutsche Post,Königshorster Straße 150,13439.0,Berlin,12601134
331473025,52.36088,13.41210,Postshop Mahlow,,15831.0,Blankenfelde-Mahlow,
345546409,52.45869,13.57661,Deutsche Post,Bahnhofstraße 33-38,12555.0,Berlin,09501939
353344153,52.40386,13.25054,Deutsche Post,,,,
360743771,52.38978,13.21986,,,,,
370131144,52.45068,13.33982,Deutsche Post,Steglitzer Damm 24,12169.0,Berlin,06100205
481148749,52.41879,13.15734,,,,,06400735
552357265,52.57545,13.28395,Postfiliale,Bernauer Straße 69,13507.0,Berlin,12200412
597557763,52.45223,13.56951,pin MAIL,Lindenstraße 32B,12555.0,Berlin,09501939
618020076,52.46981,13.46307,k kiosk,Grenzallee 4d,12057.0,Berlin,08100520
627734098,52.65545,13.54089,Postagentur,,,,
644659553,52.55045,13.37885,Zeitungsladen Parlak,Pankstraße 42,13357.0,Berlin,01300836
669863754,52.55936,13.08856,,,,,
674019820,52.54306,13.39268,Kiosk,,,,01300834
784381064,52.57453,13.35484,,,,,12100205
945142182,52.42103,13.53894,,,,,09300920
1028152134,52.41499,13.34764,,,,,07601236
1056915626,52.43507,13.25897,Deutsche Post,Potsdamer Straße 52,14163.0,Berlin,06300526
1066055936,52.53593,13.47543,Post-Shop,,,,11200514
1068842530,52.41745,13.28662,,,,,06300631
1118909742,52.34927,13.10335,Post Shop,,,,
1119746019,52.41338,13.31422,Hermes Shop,,,,06200419
1157595126,52.56952,13.36101,Postbank,,,,12100204
1207853564,52.63676,13.20060,,,,,
1251071263,52.50664,13.41608,tabaCCenter,,,,01100313
1323349216,52.40746,13.23783,,Zehlendorfer Damm 104b,14532.0,Kleinmachnow,
1334894394,52.56819,13.43993,DHL,Romain-Rolland-Straße 66,13089.0,Berlin,03300516
1336764318,52.44167,13.58797,Deutsche Post,,,,09401431
1338232283,52.49743,13.52226,Postbank Finanzcenter,,,,11401137
1370144820,52.51523,13.46860,Deutsche Post,Frankfurter Allee 73-77,10247.0,Berlin,02500729
1385782504,52.50908,13.32363,,,,,04300624
1433484573,52.65628,13.42228,Hermes SAT Bernau,,,,
1490227873,52.52187,13.16482,Deutsche Post,Obstallee 28-30,13593.0,Berlin,05200527
1497906110,52.57466,13.57368,Postfiliale Ahrensfelde,,,,
1519869624,52.43676,13.44699,Deutsche Post / Postbank,,,,08200730
1552575486,52.51281,13.41762,StoExpress Germany GmbH,Brückenstraße 5-6a,10179.0,Berlin,01100313
1617243582,52.52507,13.46621,Post-Shop,,,,11300618
1641970531,52.46175,13.38533,Postbank Finanzcenter,Tempelhofer Damm 171-173,12099.0,Berlin,07400927
1660300165,52.53870,13.60286,Postbank Finanzcenter,,,,10200421
1672551315,52.44986,13.62433,Deutsche Post Partnerfiliale,Bölschestraße 117,12587.0,Berlin,09501737
1721717725,52.63067,13.32333,SF Postagentur,Hauptstraße 54,16548.0,Glienicke/Nordbahn,
1734450896,52.59027,13.39781,Poststelle,,,,03200205
1802756295,52.43642,13.54435,Monis Postshop,Dörpfeldstraße 11,12489.0,Berlin,09200716
1881516186,52.50487,13.33190,Deutsche Post,Joachimsthaler Straße 41,10623.0,Berlin,04501042
1963129660,52.46794,13.43073,Deutsche Post,Hermannstraße 111,12051.0,Berlin,08100104
2014284804,52.42984,13.52057,Zok Regattahandel,,,,09200715
2021286592,52.49896,13.31359,Kiosk,,,,04501043
