id,points,inhabitants,_100k_inhabitants
011001,3,16293,0.16293
011002,1,13637,0.13637
011003,22,62233,0.62233
011004,15,32384,0.32384
012005,18,46905,0.46905
012006,8,43624,0.43624
013007,14,38744,0.38744
013008,8,40026,0.40026
014009,21,46542,0.46542
014010,17,56616,0.56616
021001,10,40981,0.40981
022002,31,64657,0.64657
023003,25,19454,0.19454
023004,21,26326,0.26326
024005,3,26010,0.2601
024006,3,27252,0.27252
025007,15,31174,0.31174
025008,47,56770,0.5677
032002,5,30231,0.30231
032003,1,18833,0.18833
033005,4,17566,0.17566
034007,6,39348,0.39348
034008,2,37120,0.3712
035009,5,41559,0.41559
035010,1,15993,0.15993
036011,10,27973,0.27973
036012,6,28115,0.28115
036013,10,22853,0.22853
036014,3,30041,0.30041
037015,26,27309,0.27309
037016,11,33591,0.33591
041001,2,19646,0.19646
042003,4,27965,0.27965
043004,19,42997,0.42997
043005,7,16150,0.1615
043006,22,50836,0.50836
044007,2,19829,0.19829
044008,4,34447,0.34447
045009,10,28316,0.28316
045010,12,40669,0.40669
045011,15,49498,0.49498
051001,6,29637,0.29637
051002,4,43147,0.43147
051003,20,41028,0.41028
052004,4,23759,0.23759
052006,13,37211,0.37211
053007,2,20008,0.20008
053008,5,13438,0.13438
054009,1,20078,0.20078
061001,6,22146,0.22146
061002,14,54101,0.54101
062003,3,44698,0.44698
062004,6,35974,0.35974
063005,3,34282,0.34282
063006,8,49471,0.49471
064007,1,26664,0.26664
064008,2,42708,0.42708
071001,12,26387,0.26387
071002,8,23957,0.23957
072003,6,21247,0.21247
072004,15,31676,0.31676
073005,11,25939,0.25939
073006,4,21462,0.21462
074007,4,19307,0.19307
074008,8,32691,0.32691
074009,3,15380,0.1538
075010,6,32705,0.32705
075011,5,21059,0.21059
076012,3,17997,0.17997
076013,1,14362,0.14362
076014,2,21257,0.21257
076015,2,31533,0.31533
081001,16,33049,0.33049
081002,24,37581,0.37581
081003,34,37805,0.37805
081004,20,38919,0.38919
081005,2,15194,0.15194
082006,6,21540,0.2154
082007,6,23196,0.23196
082008,3,29646,0.29646
084011,2,9662,0.09662
084012,7,44165,0.44165
091001,4,13453,0.13453
091002,3,11753,0.11753
091003,4,19404,0.19404
091004,2,21636,0.21636
092005,3,25664,0.25664
092006,3,14508,0.14508
092007,5,22417,0.22417
093009,3,31244,0.31244
094015,2,7494,0.07494
095017,3,19036,0.19036
095019,2,12525,0.12525
095020,1,13462,0.13462
101001,2,25148,0.25148
101002,6,52190,0.5219
101003,1,42246,0.42246
102004,4,44060,0.4406
102005,1,23435,0.23435
103007,2,30959,0.30959
104008,2,19683,0.19683
112005,6,35756,0.35756
113006,3,34484,0.34484
113007,4,34329,0.34329
114009,10,35831,0.35831
114010,1,16561,0.16561
114011,1,28351,0.28351
115013,2,31923,0.31923
121001,12,28760,0.2876
121002,5,28322,0.28322
122003,12,28242,0.28242
122004,1,20355,0.20355
122005,5,11322,0.11322
124007,2,32978,0.32978
125008,1,16760,0.1676
125009,4,32190,0.3219
