id,points,inhabitants,_100k_inhabitants
0110,41,124547,1.24547
0120,26,90529,0.90529
0130,22,78770,0.7877
0140,38,103158,1.03158
0210,10,40981,0.40981
0220,31,64657,0.64657
0230,46,45780,0.4578
0240,6,53262,0.53262
0250,62,87944,0.87944
0320,6,49064,0.49064
0330,4,37751,0.37751
0340,8,95353,0.95353
0350,6,57552,0.57552
0360,29,108982,1.08982
0370,37,60900,0.609
0410,2,19646,0.19646
0420,4,41112,0.41112
0430,48,109983,1.09983
0440,6,54276,0.54276
0450,37,118483,1.18483
0510,30,113812,1.13812
0520,17,91941,0.91941
0530,7,33446,0.33446
0540,1,20078,0.20078
0610,20,76247,0.76247
0620,9,80672,0.80672
0630,11,83753,0.83753
0640,3,69372,0.69372
0710,20,50344,0.50344
0720,21,52923,0.52923
0730,15,47401,0.47401
0740,15,67378,0.67378
0750,11,53764,0.53764
0760,8,85149,0.85149
0810,96,162548,1.62548
0820,15,74382,0.74382
0840,9,53827,0.53827
0910,13,66246,0.66246
0920,11,75507,0.75507
0930,3,59802,0.59802
0940,2,39520,0.3952
0950,6,56161,0.56161
1010,9,119584,1.19584
1020,5,93512,0.93512
1030,2,30959,0.30959
1040,2,50036,0.50036
1120,6,53086,0.53086
1130,7,79321,0.79321
1140,12,80743,0.80743
1150,2,36822,0.36822
1210,17,57082,0.57082
1220,18,59919,0.59919
1240,2,57310,0.5731
1250,5,48950,0.4895
