id,points,inhabitants,_100k_inhabitants
01100102,1,2034,0.02034
01100103,2,5790,0.0579
01100205,1,2917,0.02917
01100308,3,7297,0.07297
01100309,9,12651,0.12651
01100310,9,10181,0.10181
01100312,1,10727,0.10727
01100414,1,5513,0.05513
01100415,6,13348,0.13348
01100416,8,13523,0.13523
01200518,2,7096,0.07096
01200519,7,9592,0.09592
01200520,5,9513,0.09513
01200521,3,5259,0.05259
01200522,1,11521,0.11521
01200623,2,10990,0.1099
01200624,1,6942,0.06942
01200625,1,6905,0.06905
01200626,3,6079,0.06079
01200629,1,6039,0.06039
01300730,5,8060,0.0806
01300731,2,8922,0.08922
01300732,3,10078,0.10078
01300733,4,11684,0.11684
01300834,2,14258,0.14258
01300835,1,10821,0.10821
01300836,5,14947,0.14947
01400937,5,10966,0.10966
01400938,6,9681,0.09681
01400939,2,6149,0.06149
01400942,8,8789,0.08789
01401045,3,5531,0.05531
01401046,4,8869,0.08869
01401047,2,8206,0.08206
01401048,6,9520,0.0952
01401049,2,6637,0.06637
02100101,1,7225,0.07225
02100102,2,8660,0.0866
02100104,3,5550,0.0555
02100105,3,9263,0.09263
02100106,1,4813,0.04813
02200207,1,2666,0.02666
02200208,4,5745,0.05745
02200209,6,10957,0.10957
02200210,5,12350,0.1235
02200211,9,14595,0.14595
02200212,1,8340,0.0834
02200213,5,10004,0.10004
02300314,15,7085,0.07085
02300315,8,8209,0.08209
02300316,2,4160,0.0416
02300417,12,8301,0.08301
02300418,2,7629,0.07629
02300419,7,10396,0.10396
02400522,3,11394,0.11394
02400623,1,14037,0.14037
02400624,1,11887,0.11887
02400625,1,1328,0.01328
02500726,3,9175,0.09175
02500727,3,6519,0.06519
02500728,8,10073,0.10073
02500729,1,5407,0.05407
02500830,9,4071,0.04071
02500831,7,7857,0.07857
02500832,9,9541,0.09541
02500833,11,10045,0.10045
02500834,8,11299,0.11299
02500835,3,8820,0.0882
03200206,3,6842,0.06842
03200207,2,11799,0.11799
03200310,1,8088,0.08088
03300516,4,9560,0.0956
03400721,4,11895,0.11895
03400723,2,7507,0.07507
03400826,1,7222,0.07222
03400828,1,4934,0.04934
03500933,2,7686,0.07686
03500934,1,10363,0.10363
03500935,2,6799,0.06799
03501038,1,7506,0.07506
03601139,1,4040,0.0404
03601140,2,6016,0.06016
03601141,3,7057,0.07057
03601142,4,10860,0.1086
03601243,2,6990,0.0699
03601244,1,7614,0.07614
03601245,3,13511,0.13511
03601346,3,5888,0.05888
03601347,4,9495,0.09495
03601348,3,7470,0.0747
03601451,1,6527,0.06527
03601452,2,4746,0.04746
03701554,12,11453,0.11453
03701555,4,7258,0.07258
03701556,10,8598,0.08598
03701657,1,3215,0.03215
03701658,3,8285,0.08285
03701659,3,9477,0.09477
03701660,4,12614,0.12614
04100101,1,11768,0.11768
04100102,1,7878,0.07878
04200308,1,6113,0.06113
04200309,1,6895,0.06895
04200310,1,7533,0.07533
04200311,1,7424,0.07424
04300413,7,9973,0.09973
04300414,3,10581,0.10581
04300415,3,6258,0.06258
04300416,6,11646,0.11646
04300517,3,9468,0.09468
04300518,4,6682,0.06682
04300619,4,9007,0.09007
04300621,8,10941,0.10941
04300622,3,5269,0.05269
04300623,3,12187,0.12187
04300624,4,9314,0.09314
04400727,2,8322,0.08322
04400832,1,6998,0.06998
04400833,1,3901,0.03901
04400834,1,3384,0.03384
04400835,1,10164,0.10164
04500936,3,5621,0.05621
04500937,3,7653,0.07653
04500938,2,8281,0.08281
04500939,2,6761,0.06761
04501040,2,5895,0.05895
04501041,2,5420,0.0542
04501042,4,3664,0.03664
04501043,1,10999,0.10999
04501044,1,5328,0.05328
04501045,2,9363,0.09363
04501146,2,4744,0.04744
04501147,1,5452,0.05452
04501148,1,4564,0.04564
04501149,5,9878,0.09878
04501150,1,3016,0.03016
04501151,2,7420,0.0742
04501152,2,6861,0.06861
04501153,1,7563,0.07563
05100101,1,4504,0.04504
05100102,2,4377,0.04377
05100103,1,6107,0.06107
05100104,1,6960,0.0696
05100105,1,7689,0.07689
05100208,1,11137,0.11137
05100210,1,7911,0.07911
05100211,2,6210,0.0621
05100313,1,7231,0.07231
05100314,4,7493,0.07493
05100315,5,7334,0.07334
05100316,8,10505,0.10505
05100317,2,4458,0.04458
05200419,1,1632,0.01632
05200420,1,5910,0.0591
05200421,1,4360,0.0436
05200423,1,6809,0.06809
05200629,5,8357,0.08357
05200630,3,10042,0.10042
05200631,5,8679,0.08679
05300736,1,3575,0.03575
05300737,1,11913,0.11913
05300838,1,16,0.00016
05300841,4,4605,0.04605
05400943,1,10533,0.10533
06100102,4,9048,0.09048
06100103,2,6186,0.06186
06100205,3,9988,0.09988
06100206,1,7751,0.07751
06100207,3,8168,0.08168
06100208,4,7065,0.07065
06100209,2,9322,0.09322
06100210,1,5004,0.05004
06200311,2,4873,0.04873
06200314,1,7210,0.0721
06200419,1,4539,0.04539
06200420,2,7403,0.07403
06200421,2,8417,0.08417
06200422,1,7009,0.07009
06300524,1,5624,0.05624
06300525,1,5820,0.0582
06300526,1,3350,0.0335
06300629,1,6988,0.06988
06300630,1,5667,0.05667
06300633,6,11955,0.11955
06400737,1,11337,0.11337
06400839,1,5370,0.0537
06400841,1,6191,0.06191
07100101,5,9794,0.09794
07100102,5,8696,0.08696
07100103,2,7897,0.07897
07100204,4,10425,0.10425
07100205,2,5177,0.05177
07100206,2,8355,0.08355
07200307,1,10549,0.10549
07200308,5,10698,0.10698
07200409,7,9300,0.093
07200410,2,5538,0.05538
07200411,2,2741,0.02741
07200413,3,7708,0.07708
07200414,1,3778,0.03778
07300515,2,6961,0.06961
07300516,4,8896,0.08896
07300517,5,10082,0.10082
07300618,2,9243,0.09243
07300619,2,12219,0.12219
07400720,3,11668,0.11668
07400721,1,7639,0.07639
07400824,4,7387,0.07387
07400825,4,7213,0.07213
07400927,2,11415,0.11415
07400928,1,3965,0.03965
07501029,2,8544,0.08544
07501030,3,8753,0.08753
07501032,1,6284,0.06284
07501134,5,10548,0.10548
07601236,1,10335,0.10335
07601237,2,4785,0.04785
07601340,1,6416,0.06416
07601442,2,10408,0.10408
07601544,1,9262,0.09262
07601547,1,3828,0.03828
08100101,2,4626,0.04626
08100102,5,8181,0.08181
08100103,7,7205,0.07205
08100104,2,6699,0.06699
08100206,9,9350,0.0935
08100208,7,11955,0.11955
08100209,8,8834,0.08834
08100310,3,7560,0.0756
08100311,14,7076,0.07076
08100312,9,11499,0.11499
08100314,8,7930,0.0793
08100415,4,6388,0.06388
08100416,7,6577,0.06577
08100417,4,9569,0.09569
08100418,3,9193,0.09193
08100419,2,7192,0.07192
08100520,1,5737,0.05737
08100521,1,9457,0.09457
08200622,2,5860,0.0586
08200623,2,6692,0.06692
08200624,2,8988,0.08988
08200725,3,2524,0.02524
08200726,1,6109,0.06109
08200727,1,8115,0.08115
08200728,1,1206,0.01206
08200832,3,12116,0.12116
08401138,1,2900,0.029
08401140,1,2670,0.0267
08401241,2,8319,0.08319
08401242,1,6893,0.06893
08401243,2,10078,0.10078
08401245,1,3720,0.0372
08401246,1,7840,0.0784
09100101,4,13453,0.13453
09100202,2,4280,0.0428
09100203,1,7473,0.07473
09100304,4,12007,0.12007
09100408,2,8870,0.0887
09200510,1,8024,0.08024
09200511,2,13207,0.13207
09200613,3,10704,0.10704
09200716,3,8373,0.08373
09200717,2,9785,0.09785
09300920,1,13253,0.13253
09300922,2,6013,0.06013
09401534,2,7494,0.07494
09501737,3,14359,0.14359
09501939,1,6829,0.06829
09501940,1,2759,0.02759
09502043,1,9147,0.09147
10100103,1,8110,0.0811
10100104,1,7521,0.07521
10100206,1,11809,0.11809
10100208,2,10330,0.1033
10100209,1,9642,0.09642
10100210,2,10868,0.10868
10100312,1,16216,0.16216
10200418,2,7367,0.07367
10200419,1,4357,0.04357
10200421,1,1757,0.01757
10200526,1,6241,0.06241
10300731,1,7926,0.07926
10300732,1,7237,0.07237
10400836,1,3981,0.03981
10400837,1,7870,0.0787
11200512,2,3999,0.03999
11200513,3,10466,0.10466
11200514,1,16289,0.16289
11300618,1,3850,0.0385
11300619,2,8889,0.08889
11300724,1,4372,0.04372
11300725,3,10202,0.10202
11400927,1,4173,0.04173
11400929,8,16901,0.16901
11400931,1,7064,0.07064
11401032,1,6292,0.06292
11401136,1,8336,0.08336
11501339,1,10574,0.10574
11501340,1,11246,0.11246
12100101,3,11188,0.11188
12100102,6,9980,0.0998
12100103,3,7592,0.07592
12100204,3,9554,0.09554
12100205,1,13988,0.13988
12100206,1,4780,0.0478
12200307,1,2804,0.02804
12200309,8,11286,0.11286
12200310,3,8284,0.08284
12200413,1,8103,0.08103
12200515,5,11322,0.11322
12400723,2,8090,0.0809
12500825,1,7079,0.07079
12500927,1,6874,0.06874
12500928,2,5158,0.05158
12500930,1,9873,0.09873
