id,lat,lon,name,street,zip_code,city,planning_area_id
35300986,52.53984,13.35214,Deichgraf,Nordufer 10,13353.0,Berlin,01401046
78447148,52.56980,13.31013,ZobelKlix,Klixstraße 10,13403.0,Berlin,12200310
84904956,52.57121,13.31341,Eichborneck,,,Berlin,12200309
89957618,52.58406,13.30257,Sportler-Eck,Ernststraße 68,13509.0,Berlin,12500825
137549008,52.57087,13.31582,Old Sloth,Auguste-Viktoria-Allee 67a,13403.0,Berlin,12200309
137549010,52.56882,13.31700,ChillOut Bar,General-Barby-Straße 25,13403.0,Berlin,12200309
137549024,52.57003,13.32211,Bären-Eck,Auguste-Viktoria-Allee 84,13403.0,Berlin,12200309
139671037,52.53429,13.14213,Grenzeck,,,,05200421
140274896,52.56827,13.36788,Haus Bierwerk,Amendestraße 18,13409.0,Berlin,12100102
140274903,52.57543,13.33030,Potters Inn,Waldstraße 103,13403.0,Berlin,12200307
150667269,52.54316,13.35668,Irish-Pub.Berlin,Triftstraße 58,13353.0,Berlin,01401047
150990860,52.52359,13.30072,Café Egal und Radlstation,Tauroggener Straße 46,10589.0,Berlin,04300517
175685782,52.59655,13.33304,Märkische Bierstuben,Oranienburger Straße 91,13437.0,Berlin,12500927
186054004,52.57263,13.30480,Dorfkrug,Otisstraße 40,13403.0,Berlin,12200310
250588095,52.53559,13.42008,Yard,Rykestraße 8,10405.0,Berlin,03701556
262194409,52.53344,13.41627,Enddorn,Belforter Straße 27,10405.0,Berlin,03701556
268002620,52.52319,13.47697,Studentenclub Schlauch,Storkower Straße 225,10367.0,Berlin,11300619
270814670,52.42864,13.21559,KlubHaus14,Wasgenstraße 75,14129.0,Berlin,06400737
270961500,52.55501,13.36168,Seequell,,,,01401049
273756679,52.46147,13.33971,Sportsbar Heinrichs,Bismarckstraße 67,12157.0,Berlin,06100210
278266065,52.50584,13.46639,Geronimo,,,,02500834
278876760,52.51218,13.46172,Rockcafé Halford,Mainzer Straße 15,10247.0,Berlin,02500831
282420334,52.51068,13.45682,Paules Metal Eck,Krossener Straße 15,10245.0,Berlin,02500833
282425928,52.51433,13.45962,Salamas Bar,Niederbarnimstraße 24,10247.0,Berlin,02500830
282742266,52.51793,13.46561,Lolly-Pub,Bänschstraße 54,10247.0,Berlin,02500728
282815961,52.51009,13.46035,Feuermelder,Krossener Straße 24,10245.0,Berlin,02500833
286428617,52.53784,13.20313,Spandauer Bock,,,,05100316
288468824,52.49272,13.42170,Bei Schlawinchen,Schönleinstraße 34,10967.0,Berlin,02200213
288895380,52.39134,13.09124,Gleis 6 Karaoke,Karl-Liebknecht-Straße 4,14482.0,Potsdam,
293632127,52.50652,13.32351,Dicke Wirtin,Carmerstraße 9,10623.0,Berlin,04300624
297924895,52.46927,13.43805,Syndikat,Emser Straße 131,12051.0,Berlin,08100208
303319472,52.49023,13.42614,Lenau-Stuben,Hobrechtstraße 62,12047.0,Berlin,08100311
303319474,52.49050,13.42607,Vettern Bar,Hobrechtstraße 61,12047.0,Berlin,08100311
304045906,52.51368,13.46605,loge.,Kinzigstraße 9,10247.0,Berlin,02500831
304050485,52.51369,13.46664,K9,Kinzigstraße 9,10247.0,Berlin,02500831
304183823,52.57804,13.33319,Meiners,Ollenhauerstraße 70,13403.0,Berlin,12100206
304367339,52.52879,13.28175,Gaststätte Tunnel-Eck,Fürstenbrunner Weg 92,14050.0,Berlin,04200308
306648908,52.51793,13.31795,Luna,Cauerstraße 15,10587.0,Berlin,04300622
307467687,52.52518,13.45197,Budike,Kochhannstraße 24,10249.0,Berlin,02500726
308525842,52.55116,13.40436,Blaumilchkanal,Schivelbeiner Straße 23,10439.0,Berlin,03601140
309054593,52.52023,13.34433,The Lir,Flensburger Straße 7,10557.0,Berlin,01200629
310620187,52.39535,13.10168,Nudeltopper,Plantagenstraße 26,14482.0,Potsdam,
312253713,52.52925,13.40816,Prassnik,Torstraße 65,10119.0,Berlin,03701554
312697960,52.49459,13.40009,Cafe Logo,Blücherstraße 61,10961.0,Berlin,02200210
313281470,52.58897,13.28795,Zum Kegel,Grußdorfstraße 1,13507.0,Berlin,12200515
315366750,52.49164,13.41972,Pony-Saloon,Dieffenbachstraße 36,10967.0,Berlin,02200213
317152543,52.52601,13.45183,Eberty Treff,,,,02500726
318704396,52.52193,13.45291,Drittes Ohr,Matternstraße 14,10249.0,Berlin,02500726
322178039,52.52639,13.39856,Sophieneck,Große Hamburger Straße 37,10115.0,Berlin,01100309
322822423,52.52883,13.44883,Zum Leibarzt,Cotheniusstraße 11,10407.0,Berlin,03601452
325585700,52.52549,13.44745,Zum Friedrichshainer,Petersburger Straße 44,10249.0,Berlin,02400522
329605839,52.41430,13.36371,Bierkiste 136,Marienfelder Allee 136,12277.0,Berlin,07601236
330257797,52.53590,13.40500,Perlin,Griebenowstraße 5,10435.0,Berlin,01100416
330259891,52.53363,13.40265,Weinerei Forum,Fehrbelliner Straße 57,10119.0,Berlin,01100416
332625324,52.52232,13.38388,Böse Buben Bar,Marienstraße 18,10117.0,Berlin,01100308
333322726,52.47686,13.42126,Daffke,Herrfurthplatz 7,12049.0,Berlin,08100102
333730237,52.53384,13.40357,"Ick koof mir Dave Lombardo, wenn ick reich bin",Zionskirchstraße 34,10119.0,Berlin,01100416
333733050,52.53298,13.39998,FC Magnet Bar,Veteranenstraße 26,10119.0,Berlin,01100416
336140140,52.53251,13.40616,Schwarze Pumpe,Choriner Straße 76,10119.0,Berlin,01100416
336140143,52.53306,13.40721,Lass uns Freunde bleiben,Choriner Straße 12,10119.0,Berlin,03701554
336384880,52.52135,13.38568,Die Berliner Republik,Schiffbauerdamm 8,10117.0,Berlin,01100308
339323158,52.51360,13.46044,Pk Bar,Kreutzigerstraße 22,10247.0,Berlin,02500830
339749954,52.49762,13.46454,Krass böser Wolf,Markgrafendamm 36,10245.0,Berlin,02500835
340141884,52.54226,13.20345,Die Wampe,,,,05100315
359754357,52.48210,13.34831,Queens Pub,Hauptstraße 50,10827.0,Berlin,07200409
361540637,52.54583,13.42016,Berliner Bürgerstuben,Stargarder Straße 64,10437.0,Berlin,03601347
370000911,52.50389,13.45381,Glühlampe,Lehmbruckstraße 1,10245.0,Berlin,02500835
370761692,52.58956,13.2817,Weil,Alt-Tegel 6,13507.0,Berlin,12200515
370765521,52.50300,13.31556,Auguste,,,,04501041
387850601,52.54654,13.55849,Kornkammer,Raoul-Wallenberg-Straße 42,12679.0,Berlin,10100210
388591690,52.50534,13.46701,Sieben,Sonntagstraße 7,10245.0,Berlin,02500834
388591692,52.50544,13.46695,Tonart,Sonntagstraße 7,10245.0,Berlin,02500834
388989428,52.51112,13.45700,Dachkammer,Simon-Dach-Straße 39,10245.0,Berlin,02500833
393306157,52.53083,13.40725,Bandito Rosso,Lottumstraße 10a,10119.0,Berlin,03701554
410135897,52.49257,13.43342,Grigri,Paul-Lincke-Ufer 11,10999.0,Berlin,02300418
410135942,52.49794,13.42969,Weiße Taube,Wiener Straße 15,10999.0,Berlin,02300417
410135943,52.49828,13.42873,Wiener Blut,Wiener Straße 14,10999.0,Berlin,02300417
410135944,52.49731,13.43157,Madonna Bar,Wiener Straße 22,10999.0,Berlin,02300417
410870859,52.54574,13.35763,Zum Schinken,Luxemburger Straße 5,13353.0,Berlin,01400942
411550898,52.51226,13.58878,Kaulsdorfer Stube,Heinrich-Grüber-Straße 2,12621.0,Berlin,10400836
415538751,52.54217,13.42382,Bräugier,Stubbenkammerstraße 6,10437.0,Berlin,03601348
416063203,52.48935,13.35355,Gottlob,Akazienstraße 17,10823.0,Berlin,07200409
419317472,52.48822,13.36179,Robbys Calypso Bar,Crellestraße 22,10827.0,Berlin,07200411
427670071,52.51207,13.49787,Suzi,,,,11300725
427936469,52.51144,13.45952,Stadtteilladen Zielona Góra,Grünberger Straße 73,10245.0,Berlin,02500833
428511043,52.51665,13.46419,Abstand,Rigaer Straße 78,10247.0,Berlin,02500728
428514393,52.51281,13.46411,ZGK,Scharnweberstraße 38,10247.0,Berlin,02500831
428514680,52.51044,13.47134,Supamolly,Jessnerstraße 41,10247.0,Berlin,02500832
430349180,52.50213,13.30488,Bar Carlitos,Sybelstraße 16,10629.0,Berlin,04500936
433914799,52.52119,13.30233,Zum Anker,Charlottenburger Ufer 6,10587.0,Berlin,04300619
433914847,52.51831,13.31404,Zum Dorfkrug,Röntgenstraße 1,10587.0,Berlin,04300619
435181689,52.50298,13.48914,Heinzelmännchen,Giselastraße 4,10317.0,Berlin,11400929
437615122,52.52179,13.40766,Oase Deluxe,Karl-Liebknecht-Straße 11,10178.0,,01100310
440183498,52.50194,13.42501,Eck-Kneipe,,,,02300315
441303993,52.53852,13.20257,Victoria Celtic Pub,Ritterstraße 10,13597.0,Berlin,05100316
441514951,52.48015,13.42500,Bäreneck,Hermannstraße 37,12049.0,Berlin,08100102
441734646,52.47566,13.44335,Alter Roter Löwe Rein,Richardstraße 31,12043.0,Berlin,08100416
441878989,52.47662,13.44983,Kaktus reloaded,Sonnenallee 180,12059.0,Berlin,08100415
442390879,52.45542,13.38372,Stübchen am Hafen,Tempelhofer Damm 228,12099.0,Berlin,07400825
442394343,52.44494,13.38564,Bier Stübl,Mariendorfer Damm 86,12109.0,Berlin,07501030
442397744,52.46361,13.43730,Zum Alten Krug,Juliusstraße 22,12051.0,Berlin,08100209
