id,points,inhabitants,_100k_inhabitants
011001,60,16293,0.16293
011002,155,13637,0.13637
011003,313,62233,0.62233
011004,101,32384,0.32384
012005,69,46905,0.46905
012006,60,43624,0.43624
013007,20,38744,0.38744
013008,22,40026,0.40026
014009,34,46542,0.46542
014010,59,56616,0.56616
021001,68,40981,0.40981
022002,175,64657,0.64657
023003,79,19454,0.19454
023004,90,26326,0.26326
024005,28,26010,0.2601
024006,35,27252,0.27252
025007,51,31174,0.31174
025008,190,56770,0.5677
031001,1,17674,0.17674
032002,15,30231,0.30231
032003,5,18833,0.18833
033004,5,20185,0.20185
033005,6,17566,0.17566
034006,6,18885,0.18885
034007,24,39348,0.39348
034008,13,37120,0.3712
035009,31,41559,0.41559
035010,6,15993,0.15993
036011,48,27973,0.27973
036012,29,28115,0.28115
036013,86,22853,0.22853
036014,11,30041,0.30041
037015,138,27309,0.27309
037016,58,33591,0.33591
041001,7,19646,0.19646
042002,3,13147,0.13147
042003,37,27965,0.27965
043004,105,42997,0.42997
043005,24,16150,0.1615
043006,204,50836,0.50836
044007,14,19829,0.19829
044008,25,34447,0.34447
045009,48,28316,0.28316
045010,192,40669,0.40669
045011,80,49498,0.49498
051001,8,29637,0.29637
051002,10,43147,0.43147
051003,40,41028,0.41028
052004,4,23759,0.23759
052005,14,30971,0.30971
052006,24,37211,0.37211
053007,8,20008,0.20008
053008,20,13438,0.13438
054009,18,20078,0.20078
061001,44,22146,0.22146
061002,39,54101,0.54101
062003,18,44698,0.44698
062004,26,35974,0.35974
063005,23,34282,0.34282
063006,36,49471,0.49471
064007,33,26664,0.26664
064008,40,42708,0.42708
071001,82,26387,0.26387
071002,35,23957,0.23957
072003,25,21247,0.21247
072004,68,31676,0.31676
073005,41,25939,0.25939
073006,25,21462,0.21462
074007,7,19307,0.19307
074008,23,32691,0.32691
074009,13,15380,0.1538
075010,20,32705,0.32705
075011,14,21059,0.21059
076012,9,17997,0.17997
076013,4,14362,0.14362
076014,15,21257,0.21257
076015,12,31533,0.31533
081001,36,33049,0.33049
081002,48,37581,0.37581
081003,89,37805,0.37805
081004,42,38919,0.38919
081005,5,15194,0.15194
082006,11,21540,0.2154
082007,17,23196,0.23196
082008,8,29646,0.29646
083009,4,20234,0.20234
083010,2,18497,0.18497
084011,8,9662,0.09662
084012,24,44165,0.44165
091001,17,13453,0.13453
091002,5,11753,0.11753
091003,9,19404,0.19404
091004,8,21636,0.21636
092005,22,25664,0.25664
092006,13,14508,0.14508
092007,33,22417,0.22417
092008,3,12918,0.12918
093009,9,31244,0.31244
093010,5,15695,0.15695
093011,5,8376,0.08376
093012,10,4487,0.04487
094013,10,12925,0.12925
094014,3,12042,0.12042
094015,16,7494,0.07494
094016,4,7059,0.07059
095017,25,19036,0.19036
095018,6,11138,0.11138
095019,6,12525,0.12525
095020,7,13462,0.13462
101001,4,25148,0.25148
101002,11,52190,0.5219
101003,13,42246,0.42246
102004,6,44060,0.4406
102005,3,23435,0.23435
102006,6,26017,0.26017
103007,10,30959,0.30959
104008,8,19683,0.19683
104009,11,30353,0.30353
111001,2,6451,0.06451
111002,2,30968,0.30968
111003,7,28157,0.28157
112004,4,17330,0.1733
112005,11,35756,0.35756
113006,13,34484,0.34484
113007,24,34329,0.34329
114009,17,35831,0.35831
114010,4,16561,0.16561
114011,7,28351,0.28351
115012,1,4899,0.04899
115013,17,31923,0.31923
121001,14,28760,0.2876
121002,15,28322,0.28322
122003,13,28242,0.28242
122004,7,20355,0.20355
122005,29,11322,0.11322
124006,15,24332,0.24332
124007,22,32978,0.32978
125008,7,16760,0.1676
125009,28,32190,0.3219
126010,5,9583,0.09583
126011,2,27454,0.27454
126012,4,13800,0.138
