id,points,inhabitants,_100k_inhabitants
0110,629,124547,1.24547
0120,129,90529,0.90529
0130,42,78770,0.7877
0140,93,103158,1.03158
0210,68,40981,0.40981
0220,175,64657,0.64657
0230,169,45780,0.4578
0240,63,53262,0.53262
0250,241,87944,0.87944
0310,1,17674,0.17674
0320,20,49064,0.49064
0330,11,37751,0.37751
0340,43,95353,0.95353
0350,37,57552,0.57552
0360,174,108982,1.08982
0370,196,60900,0.609
0410,7,19646,0.19646
0420,40,41112,0.41112
0430,333,109983,1.09983
0440,39,54276,0.54276
0450,320,118483,1.18483
0510,58,113812,1.13812
0520,42,91941,0.91941
0530,28,33446,0.33446
0540,18,20078,0.20078
0610,83,76247,0.76247
0620,44,80672,0.80672
0630,59,83753,0.83753
0640,73,69372,0.69372
0710,117,50344,0.50344
0720,93,52923,0.52923
0730,66,47401,0.47401
0740,43,67378,0.67378
0750,34,53764,0.53764
0760,40,85149,0.85149
0810,220,162548,1.62548
0820,36,74382,0.74382
0830,6,38731,0.38731
0840,32,53827,0.53827
0910,39,66246,0.66246
0920,71,75507,0.75507
0930,29,59802,0.59802
0940,33,39520,0.3952
0950,44,56161,0.56161
1010,28,119584,1.19584
1020,15,93512,0.93512
1030,10,30959,0.30959
1040,19,50036,0.50036
1110,11,65576,0.65576
1120,15,53086,0.53086
1130,37,79321,0.79321
1140,28,80743,0.80743
1150,18,36822,0.36822
1210,29,57082,0.57082
1220,49,59919,0.59919
1240,37,57310,0.5731
1250,35,48950,0.4895
1260,11,50837,0.50837
