id,points,inhabitants,_100k_inhabitants
01100101,9,3580,0.0358
01100102,29,2034,0.02034
01100103,13,5790,0.0579
01100104,9,4889,0.04889
01100205,46,2917,0.02917
01100206,72,1876,0.01876
01100207,37,8844,0.08844
01100308,53,7297,0.07297
01100309,125,12651,0.12651
01100310,87,10181,0.10181
01100311,8,9787,0.09787
01100312,25,10727,0.10727
01100313,15,11590,0.1159
01100414,11,5513,0.05513
01100415,58,13348,0.13348
01100416,32,13523,0.13523
01200517,6,3924,0.03924
01200518,10,7096,0.07096
01200519,8,9592,0.09592
01200520,17,9513,0.09513
01200521,14,5259,0.05259
01200522,14,11521,0.11521
01200623,5,10990,0.1099
01200624,13,6942,0.06942
01200625,7,6905,0.06905
01200626,17,6079,0.06079
01200627,4,3388,0.03388
01200628,10,3281,0.03281
01200629,4,6039,0.06039
01300730,4,8060,0.0806
01300731,2,8922,0.08922
01300732,3,10078,0.10078
01300733,11,11684,0.11684
01300834,6,14258,0.14258
01300835,4,10821,0.10821
01300836,12,14947,0.14947
01400937,10,10966,0.10966
01400938,8,9681,0.09681
01400939,4,6149,0.06149
01400941,1,3863,0.03863
01400942,11,8789,0.08789
01401043,12,7627,0.07627
01401044,4,10226,0.10226
01401045,7,5531,0.05531
01401046,10,8869,0.08869
01401047,10,8206,0.08206
01401048,11,9520,0.0952
01401049,5,6637,0.06637
02100101,15,7225,0.07225
02100102,26,8660,0.0866
02100103,5,5470,0.0547
02100104,13,5550,0.0555
02100105,1,9263,0.09263
02100106,8,4813,0.04813
02200207,4,2666,0.02666
02200208,10,5745,0.05745
02200209,22,10957,0.10957
02200210,13,12350,0.1235
02200211,58,14595,0.14595
02200212,27,8340,0.0834
02200213,41,10004,0.10004
02300314,31,7085,0.07085
02300315,38,8209,0.08209
02300316,10,4160,0.0416
02300417,33,8301,0.08301
02300418,9,7629,0.07629
02300419,48,10396,0.10396
02400520,6,5904,0.05904
02400521,8,8712,0.08712
02400522,14,11394,0.11394
02400623,4,14037,0.14037
02400624,15,11887,0.11887
02400625,16,1328,0.01328
02500726,6,9175,0.09175
02500727,9,6519,0.06519
02500728,23,10073,0.10073
02500729,13,5407,0.05407
02500830,22,4071,0.04071
02500831,11,7857,0.07857
02500832,12,9541,0.09541
02500833,77,10045,0.10045
02500834,55,11299,0.11299
02500835,12,8820,0.0882
02500836,1,5137,0.05137
03100102,1,3505,0.03505
03200205,6,9167,0.09167
03200206,6,6842,0.06842
03200207,3,11799,0.11799
03200309,2,5484,0.05484
03200310,3,8088,0.08088
03300411,3,11764,0.11764
03300412,2,5226,0.05226
03300514,1,6869,0.06869
03300516,4,9560,0.0956
03300517,1,1088,0.01088
03400618,2,4783,0.04783
03400619,3,10596,0.10596
03400620,1,3506,0.03506
03400721,12,11895,0.11895
03400722,2,3807,0.03807
03400723,6,7507,0.07507
03400724,4,8494,0.08494
03400826,4,7222,0.07222
03400827,5,9703,0.09703
03400828,1,4934,0.04934
03400829,2,5968,0.05968
03400830,1,9293,0.09293
03500933,3,7686,0.07686
03500934,8,10363,0.10363
03500935,11,6799,0.06799
03500936,9,10052,0.10052
03501037,3,8487,0.08487
03501038,3,7506,0.07506
03601139,1,4040,0.0404
03601140,1,6016,0.06016
03601141,14,7057,0.07057
03601142,32,10860,0.1086
03601243,14,6990,0.0699
03601244,10,7614,0.07614
03601245,5,13511,0.13511
03601346,24,5888,0.05888
03601347,46,9495,0.09495
03601348,16,7470,0.0747
03601449,2,9928,0.09928
03601450,4,5449,0.05449
03601451,1,6527,0.06527
03601452,4,4746,0.04746
03701554,52,11453,0.11453
03701555,51,7258,0.07258
03701556,35,8598,0.08598
03701658,11,8285,0.08285
03701659,19,9477,0.09477
03701660,28,12614,0.12614
04100101,5,11768,0.11768
04100102,2,7878,0.07878
04200204,1,3325,0.03325
04200207,2,2996,0.02996
04200308,4,6113,0.06113
04200309,3,6895,0.06895
04200310,15,7533,0.07533
04200311,15,7424,0.07424
04300412,2,4539,0.04539
04300413,12,9973,0.09973
04300414,26,10581,0.10581
04300415,9,6258,0.06258
04300416,56,11646,0.11646
04300517,10,9468,0.09468
