id,lat,lon,name,street,zip_code,city,planning_area_id
26735749,52.50686,13.32285,Aida,,10623.0,Berlin,04300624
26735759,52.50621,13.31808,Madame Ngo,Kantstraße 30,10623.0,Berlin,04300624
26735763,52.50731,13.32078,Nam Thuân,Pestalozzistraße 106,10625.0,Berlin,04300624
29997724,52.50631,13.28462,La Rose,Neue Kantstraße 19,14057.0,Berlin,04300415
30020303,52.49071,13.39398,Tibet Haus,Zossener Straße 19,10961.0,Berlin,02200211
35966292,52.50688,13.28391,Paella,Wundtstraße 72,14057.0,Berlin,04300415
35973391,52.51032,13.28295,Cancún,Kaiserdamm 24,14057.0,Berlin,04200311
36310174,52.55427,13.33112,Schatulle,,13351.0,Berlin,01400937
63253646,52.49838,13.29699,Haus der 100 Biere,Kurfürstendamm 100,10709.0,Berlin,04500937
63253652,52.49858,13.29824,Ach!NikO!Ach!,Kurfürstendamm 97-98,10709.0,Berlin,04500937
63253660,52.50097,13.29764,Ristorante Salve,Damaschkestraße 31,10711.0,Berlin,04500937
77561798,52.66222,13.28513,Simran,,,,
77561803,52.66253,13.28516,Nikopolis,,,,
77575733,52.66213,13.28577,Märchenhaus,,,,
78438027,52.57251,13.30826,Dalmacija,Quäkerstraße 2,13403.0,Berlin,12200310
78467656,52.57711,13.30731,Schlemmerküche,Wittestraße 49,13509.0,Berlin,12200412
79454844,52.48003,13.32771,Taverna Athos,Bundesplatz 2,10715.0,Berlin,04501151
79769672,52.57013,13.30981,Pizzaria Tamara,Zobeltitzstraße 90,13403.0,Berlin,12200310
79808386,52.50967,13.27076,BLOCK HOUSE,Theodor-Heuss-Platz 12,14052.0,Berlin,04200310
81362518,52.50987,13.27088,JOES Restaurant & Wirtshaus,Theodor-Heuss-Platz 10,14052.0,Berlin,04200310
81362605,52.51062,13.27166,Lindenwirtin,Lindenallee 28,14050.0,Berlin,04200310
84644780,52.50446,13.38274,Cancun,Anhalter Straße 1,10963.0,Berlin,02100101
86001794,52.51511,13.38890,Bocca di Bacco,Friedrichstraße 167;168,10117.0,Berlin,01100206
86001798,52.51500,13.39038,Restaurant Borchardt,Französische Straße 47,10117.0,Berlin,01100206
86001813,52.51468,13.39092,Heritage,Französische Straße 25,10117.0,Berlin,01100206
86001825,52.51321,13.39117,Lutter & Wegner,Charlottenstraße 56,10117.0,Berlin,01100206
86001833,52.51240,13.39130,Victor & Victoria,Charlottenstraße 59,10117.0,Berlin,01100206
87040391,52.51134,13.38918,Maximilians,Friedrichstraße 185-190,10117.0,Berlin,01100207
87040394,52.51129,13.38871,Izumi Sushi Bar,Kronenstraße 66,10117.0,Berlin,01100207
89274641,52.52429,13.41185,Beast Berlin,Karl-Liebknecht-Straße 29,10178.0,Berlin,01100310
89274696,52.52359,13.41096,Aapka - Restaurant Alexanderplatz,Karl-Liebknecht-Straße 23,10178.0,Berlin,01100310
89274703,52.52143,13.40920,Der Alte Fritz,Panoramastraße 1,10178.0,Berlin,01100310
89274833,52.52035,13.41221,Carambar,Rathausstraße 1,10178.0,Berlin,01100310
89274854,52.52021,13.41180,Matzbach,,,,01100310
89275075,52.51801,13.40716,Azem,,,,01100310
89275135,52.51758,13.40589,Mutter Hoppe,Rathausstraße 21,10178.0,Berlin,01100310
89275143,52.51726,13.40502,Julchen Hoppe,Rathausstraße 25,10178.0,Berlin,01100310
89275203,52.51214,13.40812,Shezan,Neue Roßstraße 13,10179.0,Berlin,01100312
89960246,52.58272,13.29011,Trattoria Monticchiello,Berliner Straße 70,13507.0,Berlin,12200412
115546494,52.42937,13.53010,Oase Adlershof,Rudower Chaussee 25,12489.0,Berlin,09200715
136721344,52.57018,13.32065,Pula-Grill,Auguste-Viktoria-Allee 79,13403.0,Berlin,12200309
137483925,52.52258,13.36447,Paris-Moskau,Alt-Moabit 141,10557.0,Berlin,01200628
150983614,52.37623,13.65722,Strandlust,Seddinpromenade 3A,12527.0,Berlin,09301228
170903356,52.46190,13.26918,Chalet Suisse,Im Jagen 5,14195.0,Berlin,06400842
171073634,52.53658,13.40069,Jaspers,Anklamer Straße 27,10115.0,Berlin,01100416
175681796,52.58937,13.32573,Maestral,Eichborndamm 236,13437.0,Berlin,12500926
177484278,52.57238,13.35940,Bier-Stubn,,,,12100205
177484284,52.56746,13.36275,Irmak Grillhaus,,,,12100102
203592976,52.51892,13.55539,Zur kleinen Remise,Oberfeldstraße 24,12683.0,Berlin,10300731
203596116,52.52026,13.55565,Herkules I,Oberfeldstraße 30,12683.0,Berlin,10300731
205497468,52.60066,13.30300,Schollenkrug,Waidmannsluster Damm 77,13509.0,Berlin,12500824
248651464,52.53083,13.41246,I Due Forni,Schönhauser Allee 12,10119.0,Berlin,03701556
249094437,52.54061,13.41403,Mad Meals,Knaackstraße 99,10435.0,Berlin,03701555
250067344,52.53765,13.42121,Akemi,Rykestraße 39,10405.0,Berlin,03701555
250500728,52.56215,13.09385,Coronita,Bahnhofstraße 61,14612.0,Falkensee,
250588809,52.53614,13.42053,Anjoy,,,,03701555
250592084,52.56073,13.09237,Bella Venezia,,,,
251335826,52.44171,13.68725,Seepalast,Fürstenwalder Allee 17,12589.0,Berlin,09501838
254003168,52.48627,13.35066,Yogi-Haus,Eisenacher Straße 54,10823.0,Berlin,07200409
254307080,52.50313,13.32714,La Residencia,Kurfürstendamm 27,10719.0,Berlin,04501042
254307082,52.50332,13.32729,Bristol Grill,Kurfürstendamm 27,10719.0,Berlin,04501042
254307092,52.50269,13.33188,Le Faubourg,Augsburger Straße 41,10789.0,Berlin,04501042
254992619,52.48800,13.26342,Floh,Am Bahnhof Grunewald 4,14193.0,Berlin,04400725
254992627,52.48788,13.26284,Trattoria Gioachino,,,,04400729
255052973,52.42063,13.16552,Fook Lam Mun,,,,06400735
255052976,52.42444,13.11631,Blockhaus Nikolskoe,Nikolskoer Weg 15,14109.0,Berlin,06400735
257704934,52.54625,13.21191,Agua TexMex,Frieda-Arnheim-Promenade 7,13585.0,Berlin,05100313
258398258,52.48779,13.41965,Restaurant Hasenheide,,,,02200212
258497093,52.52193,13.40479,Eden,Rosenstraße 19,10178.0,Berlin,01100310
259607063,52.53551,13.20205,Unvernunft,,,,05100316
259608175,52.53992,13.20741,Taverna Teloneio,Möllentordamm 1,13597.0,Berlin,05100316
260565389,52.48956,13.31919,Weisser Elefant,Wegenerstraße 1,10713.0,Berlin,04501147
260565390,52.48949,13.31967,Garcon,Fechnerstraße 30,10717.0,Berlin,04501147
260769007,52.50980,13.37434,Frederick‘s,,,,01100102
260769037,52.51029,13.37266,Lindenbräu,Bellevuestraße 3-5,10785.0,Berlin,01100102
260866916,52.40296,13.58566,Dittmanns Drogerie,,,,09301025
261606214,52.52803,13.43396,Schönbrunn,,10249.0,Berlin,02400520
262359118,52.51520,13.46875,Tropica Grillhaus,Frankfurter Allee 73,10247.0,Berlin,02500729
262462062,52.51937,13.42750,Ristorante a Mano,Strausberger Platz 2,10243.0,Berlin,02400521
262943658,52.51295,13.45763,Hangmee,Boxhagener Straße 108,10245.0,Berlin,02500830
263701477,52.51244,13.58786,Gaststätte zur S-Bahn,Heinrich-Grüber-Straße 1,12621.0,Berlin,10400835
263703385,52.51571,13.59359,Gasthof zum Oberfeld,Zanderstraße 27,12621.0,Berlin,10400835
267245397,52.51145,13.18139,Pizza Pasta Gatow,,,,05200528
267245609,52.50934,13.18115,La Posta Trattoria,Weinmeisterhornweg 42,13595.0,Berlin,05200634
267412672,52.50415,13.41775,Die Henne - Alt-Berliner Wirtshaus,Leuschnerdamm 25,,,02300314
267851662,52.51971,13.38775,Hoa Rong,Georgenstraße 25,,,01100206
268179512,52.47479,13.27817,Machiavelli,Clayallee 1,14195.0,Berlin,04400729
268484615,52.59938,13.30114,Andaz,,,,12500824
268500238,52.46051,13.32313,Sida,Ahornstraße 32,12163.0,Berlin,06100102
268977847,52.49798,13.29447,Eiffel,Kurfürstendamm 105,10711.0,Berlin,04500937
268998367,52.49882,13.30764,Xantener Eck,Xantener Straße 1,10707.0,Berlin,04501043
268999713,52.49681,13.32444,Casa di Maria,Uhlandstraße 149,10719.0,Berlin,04501045
269486924,52.47395,13.44685,Shaan,Richardplatz 20,12055.0,Berlin,08100416
269486925,52.47433,13.44528,Restaurant Louis,Richardplatz 5,12055.0,Berlin,08100416
269675644,52.52209,13.34882,Da Ponte,Helgoländer Ufer 7,10557.0,Berlin,01200626
269675879,52.51947,13.35569,Trattoria Fidelia,Lüneburger Straße 390,10557.0,Berlin,01200628
269676264,52.52128,13.36685,Zollpackhof,Elisabeth-Abegg-Straße 1,10557.0,Berlin,01200628
269712300,52.51127,13.33598,Schleusenkrug,Müller-Breslau-Straße 1,10623.0,Berlin,01100102
269904662,52.43220,13.43462,Britzer Mühle,Buckower Damm 130,12349.0,Berlin,08200729
269905044,52.44681,13.43778,Schloss Britz,Alt-Britz 73,12359.0,Berlin,08200726
270190091,52.51379,13.31703,Rüya Gemüse Kebab,,10585.0,Berlin,04300622
270921289,52.42629,13.20928,Patatas,,,,06400737
271005164,52.52019,13.35588,Restaurant Angkor Wat,Paulstraße 22,10557.0,Berlin,01200628
271668766,52.48834,13.35800,Aspendos,Hauptstraße 11,10827.0,Berlin,07200409
271936777,52.42830,13.12233,Wirtshaus Zur Pfaueninsel,Pfaueninselchaussee 100,14109.0,Berlin,06400735
272446730,52.43037,13.23060,Trattoria Piazza Siciliana,Lindenthaler Allee 46,14163.0,Berlin,06300524
272811395,52.50013,13.43879,Kante,Skalitzer Straße 64,10997.0,Berlin,02300419
272820430,52.49734,13.45079,Restaurant Freischwimmer,Vor dem Schlesischen Tor 2,10997.0,Berlin,02300419
