id,points,inhabitants,_100k_inhabitants
011002,3,13637,0.13637
011003,2,62233,0.62233
011004,1,32384,0.32384
012005,2,46905,0.46905
012006,1,43624,0.43624
013008,2,40026,0.40026
021001,1,40981,0.40981
024006,1,27252,0.27252
025008,3,56770,0.5677
031001,1,17674,0.17674
033004,1,20185,0.20185
033005,1,17566,0.17566
034007,1,39348,0.39348
034008,1,37120,0.3712
036011,1,27973,0.27973
036012,1,28115,0.28115
036014,2,30041,0.30041
042002,2,13147,0.13147
043004,2,42997,0.42997
043006,1,50836,0.50836
044007,1,19829,0.19829
045009,1,28316,0.28316
045010,1,40669,0.40669
045011,1,49498,0.49498
051003,1,41028,0.41028
052006,1,37211,0.37211
061002,2,54101,0.54101
062004,2,35974,0.35974
063005,1,34282,0.34282
063006,1,49471,0.49471
064007,1,26664,0.26664
064008,1,42708,0.42708
072004,2,31676,0.31676
073006,2,21462,0.21462
074007,1,19307,0.19307
074008,2,32691,0.32691
076012,3,17997,0.17997
076015,1,31533,0.31533
081001,1,33049,0.33049
081004,1,38919,0.38919
091001,1,13453,0.13453
091003,1,19404,0.19404
092006,1,14508,0.14508
093009,1,31244,0.31244
093011,1,8376,0.08376
095017,1,19036,0.19036
095018,1,11138,0.11138
095019,1,12525,0.12525
095020,1,13462,0.13462
101001,1,25148,0.25148
101002,1,52190,0.5219
101003,1,42246,0.42246
104008,2,19683,0.19683
104009,1,30353,0.30353
111002,2,30968,0.30968
113008,1,10508,0.10508
115012,1,4899,0.04899
115013,1,31923,0.31923
121001,1,28760,0.2876
121002,1,28322,0.28322
122005,1,11322,0.11322
124006,1,24332,0.24332
124007,1,32978,0.32978
125009,1,32190,0.3219
