id,points,inhabitants,_100k_inhabitants
01100205,1,2917,0.02917
01100206,2,1876,0.01876
01100309,1,12651,0.12651
01100310,1,10181,0.10181
01100415,1,13348,0.13348
01200517,2,3924,0.03924
01200629,1,6039,0.06039
01300834,1,14258,0.14258
01300836,1,14947,0.14947
02100101,1,7225,0.07225
02400623,1,14037,0.14037
02500835,3,8820,0.0882
03100103,1,9449,0.09449
03300412,1,5226,0.05226
03300514,1,6869,0.06869
03400721,1,11895,0.11895
03400826,1,7222,0.07222
03601140,1,6016,0.06016
03601243,1,6990,0.0699
03601451,1,6527,0.06527
03601452,1,4746,0.04746
04200203,1,1456,0.01456
04200205,1,2522,0.02522
04300413,1,9973,0.09973
04300415,1,6258,0.06258
04300623,1,12187,0.12187
04400729,1,2840,0.0284
04500938,1,8281,0.08281
04501042,1,3664,0.03664
04501153,1,7563,0.07563
05100317,1,4458,0.04458
05200629,1,8357,0.08357
06100205,1,9988,0.09988
06100209,1,9322,0.09322
06200420,1,7403,0.07403
06200422,1,7009,0.07009
06300526,1,3350,0.0335
06300633,1,11955,0.11955
06400735,1,10188,0.10188
06400838,1,7341,0.07341
07200413,2,7708,0.07708
07300618,1,9243,0.09243
07300619,1,12219,0.12219
07400720,1,11668,0.11668
07400822,1,3291,0.03291
07400826,1,5110,0.0511
07601238,3,2877,0.02877
07601546,1,6977,0.06977
08100105,1,6338,0.06338
08100417,1,9569,0.09569
09100101,1,13453,0.13453
09100304,1,12007,0.12007
09200613,1,10704,0.10704
09300921,1,2878,0.02878
09301126,1,8376,0.08376
09501736,1,4677,0.04677
09501838,1,11138,0.11138
09501940,1,2759,0.02759
09502043,1,9147,0.09147
10100101,1,5837,0.05837
10100205,1,1221,0.01221
10100311,1,2670,0.0267
10400836,2,3981,0.03981
10400939,1,4529,0.04529
11100206,2,7807,0.07807
11300826,1,10508,0.10508
11501238,1,4899,0.04899
11501341,1,10103,0.10103
12100102,1,9980,0.0998
12100205,1,13988,0.13988
12200515,1,11322,0.11322
12400618,1,3789,0.03789
12400721,1,7891,0.07891
12500928,1,5158,0.05158
