id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,1,13637,0.13637
011003,1,62233,0.62233
011004,3,32384,0.32384
012006,2,43624,0.43624
013007,2,38744,0.38744
013008,1,40026,0.40026
014010,3,56616,0.56616
021001,4,40981,0.40981
022002,5,64657,0.64657
023003,2,19454,0.19454
023004,2,26326,0.26326
024005,1,26010,0.2601
024006,1,27252,0.27252
031001,2,17674,0.17674
034008,1,37120,0.3712
035009,2,41559,0.41559
036011,3,27973,0.27973
036013,1,22853,0.22853
036014,3,30041,0.30041
037015,2,27309,0.27309
037016,3,33591,0.33591
041001,3,19646,0.19646
042002,1,13147,0.13147
042003,1,27965,0.27965
043006,2,50836,0.50836
044008,1,34447,0.34447
045009,2,28316,0.28316
045010,2,40669,0.40669
045011,7,49498,0.49498
051001,2,29637,0.29637
051003,1,41028,0.41028
052005,1,30971,0.30971
053008,1,13438,0.13438
061001,1,22146,0.22146
064008,3,42708,0.42708
072003,2,21247,0.21247
072004,3,31676,0.31676
074008,1,32691,0.32691
074009,2,15380,0.1538
081001,1,33049,0.33049
081002,2,37581,0.37581
081005,1,15194,0.15194
082007,1,23196,0.23196
082008,2,29646,0.29646
091001,1,13453,0.13453
091004,1,21636,0.21636
092005,1,25664,0.25664
093009,1,31244,0.31244
094015,1,7494,0.07494
095017,1,19036,0.19036
101002,2,52190,0.5219
101003,2,42246,0.42246
102005,3,23435,0.23435
102006,1,26017,0.26017
111002,1,30968,0.30968
113007,3,34329,0.34329
124006,2,24332,0.24332
124007,1,32978,0.32978
125009,1,32190,0.3219
