id,points,inhabitants,_100k_inhabitants
0110,7,124547,1.24547
0120,2,90529,0.90529
0130,3,78770,0.7877
0140,3,103158,1.03158
0210,4,40981,0.40981
0220,5,64657,0.64657
0230,4,45780,0.4578
0240,2,53262,0.53262
0310,2,17674,0.17674
0340,1,95353,0.95353
0350,2,57552,0.57552
0360,7,108982,1.08982
0370,5,60900,0.609
0410,3,19646,0.19646
0420,2,41112,0.41112
0430,2,109983,1.09983
0440,1,54276,0.54276
0450,11,118483,1.18483
0510,3,113812,1.13812
0520,1,91941,0.91941
0530,1,33446,0.33446
0610,1,76247,0.76247
0640,3,69372,0.69372
0720,5,52923,0.52923
0740,3,67378,0.67378
0810,4,162548,1.62548
0820,3,74382,0.74382
0910,2,66246,0.66246
0920,1,75507,0.75507
0930,1,59802,0.59802
0940,1,39520,0.3952
0950,1,56161,0.56161
1010,4,119584,1.19584
1020,4,93512,0.93512
1110,1,65576,0.65576
1130,3,79321,0.79321
1240,3,57310,0.5731
1250,1,48950,0.4895
