id,points,inhabitants,_100k_inhabitants
01100103,1,5790,0.0579
01100104,1,4889,0.04889
01100206,1,1876,0.01876
01100309,1,12651,0.12651
01100415,1,13348,0.13348
01100416,2,13523,0.13523
01200626,2,6079,0.06079
01300731,1,8922,0.08922
01300733,1,11684,0.11684
01300835,1,10821,0.10821
01401044,1,10226,0.10226
01401047,1,8206,0.08206
01401049,1,6637,0.06637
02100102,2,8660,0.0866
02100104,2,5550,0.0555
02200208,1,5745,0.05745
02200209,1,10957,0.10957
02200212,1,8340,0.0834
02200213,2,10004,0.10004
02300314,2,7085,0.07085
02300417,1,8301,0.08301
02300419,1,10396,0.10396
02400521,1,8712,0.08712
02400624,1,11887,0.11887
03100102,1,3505,0.03505
03100103,1,9449,0.09449
03400829,1,5968,0.05968
03500932,1,6659,0.06659
03500935,1,6799,0.06799
03601140,1,6016,0.06016
03601141,2,7057,0.07057
03601347,1,9495,0.09495
03601449,1,9928,0.09928
03601450,1,5449,0.05449
03601452,1,4746,0.04746
03701555,1,7258,0.07258
03701556,1,8598,0.08598
03701658,2,8285,0.08285
03701660,1,12614,0.12614
04100101,3,11768,0.11768
04200203,1,1456,0.01456
04200310,1,7533,0.07533
04300621,1,10941,0.10941
04300623,1,12187,0.12187
04400830,1,8457,0.08457
04500938,1,8281,0.08281
04500939,1,6761,0.06761
04501043,1,10999,0.10999
04501044,1,5328,0.05328
04501146,1,4744,0.04744
04501148,1,4564,0.04564
04501149,1,9878,0.09878
04501153,4,7563,0.07563
05100101,2,4504,0.04504
05100313,1,7231,0.07231
05200524,1,3380,0.0338
05300840,1,503,0.00503
06100102,1,9048,0.09048
06400841,1,6191,0.06191
06400842,2,4773,0.04773
07200308,2,10698,0.10698
07200409,2,9300,0.093
07200411,1,2741,0.02741
07400825,1,7213,0.07213
07400927,2,11415,0.11415
08100103,1,7205,0.07205
08100208,2,11955,0.11955
08100521,1,9457,0.09457
08200730,1,3373,0.03373
08200833,2,9255,0.09255
09100101,1,13453,0.13453
09100409,1,4096,0.04096
09200511,1,13207,0.13207
09300920,1,13253,0.13253
09401534,1,7494,0.07494
09501737,1,14359,0.14359
10100205,1,1221,0.01221
10100210,1,10868,0.10868
10100311,1,2670,0.0267
10100313,1,4981,0.04981
10200526,3,6241,0.06241
10200629,1,9187,0.09187
11100205,1,6304,0.06304
11300721,3,6848,0.06848
12400618,1,3789,0.03789
12400619,1,7726,0.07726
12400722,1,8517,0.08517
12500928,1,5158,0.05158
