id,lat,lon,name,street,zip_code,city,planning_area_id
237838613,52.47996,13.33845,Rückert-Gymnasium,Mettestraße 8,10825.0,Berlin,07200308
256912446,52.53944,13.28804,Erwin von Witzleben Grundschule,Halemweg 34-42,13627.0,Berlin,04100101
256913234,52.52114,13.24163,Sportschule im Olympiapark - Poelchau-Schule,Prinz-Friedrich-Karl-Weg 1,14053.0,Berlin,04200203
256913872,52.53765,13.28832,Anna Freud Schule,Halemweg 22,13627.0,Berlin,04100101
263055655,52.43743,13.74846,Förderschule,,,,
268915174,52.49783,13.30194,ABC-Kindergarten - Sabine Erdmann Vorschule,,,,04500938
268915405,52.45454,13.38145,Freie Schule in Berlin,Viktoriastraße 13-18,12105.0,,07400825
298750707,52.57212,13.19967,Evangelische Schule Spandau,Schönwalder Allee 26/27,13587.0,Berlin,05100101
340239440,52.48036,13.33906,Sternberg Grundschule,Mettestraße 8,10825.0,Berlin,07200308
360713397,52.47175,13.43576,Peter-Petersen-Schule,Jonasstraße 15-16,12053.0,Berlin,08100208
360713401,52.47259,13.43549,Konrad-Agahd-Grundschule,Thomasstraße 39,12053.0,Berlin,08100208
495268803,52.38746,13.13795,Oberlin Berufliche Schulen,Steinstraße 80,14480.0,Potsdam,
506133476,52.44511,13.51705,Berliner Rettungsdienstschule,,,,09100409
613697442,52.53530,13.39820,,,,,01100416
727710608,52.52642,13.53112,bbw Akademie Betriebswirtschaftliche Weiterbildung,Allee der Kosmonauten 33 B,12681.0,Berlin,10100311
850092123,52.44304,13.57687,Käpt´n Mosers Wassersportschule,,,,09401534
867872391,52.50344,13.41209,Deutsch Praxis,,,,02100104
871633760,52.50236,13.41392,Yoga/Schiatsu-Zentrum,,,,02100104
876244328,52.50167,13.42138,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,,02300314
985919722,52.62560,13.49299,Jugendwerkstatt Buch Aktivierungshilfe,,,,03100103
996413480,52.56202,13.41354,TING-Schule,,,,03400829
1015728668,52.45456,13.27067,Biesalski-Schule,Hüttenweg 40,14195.0,Berlin,06400842
1057857273,52.48337,13.33272,Ernst-Habermann-Grundschule,Prinzregentenstraße 33-34,10715.0,Berlin,04501153
1137671520,52.51854,13.30078,Kindermalschule,Lohmeyerstraße 26,10587.0,Berlin,04300621
1140710553,52.50343,13.37162,CJD Berlin,Am Karlsbad 16,10785.0,Berlin,01100104
1224801662,52.43994,13.43591,Alno Küchenstudio,,,,08200730
1407207210,52.55208,13.40562,Abendgymnasium Prenzlauer Berg,Driesener Straße 22,10439.0,Berlin,03601140
1552045205,52.52848,13.38842,Deutsch-Institut Berlin,Novalisstraße 12,10115.0,Berlin,01100415
1597894107,52.49083,13.42132,Islam Vakfi,,,,02200213
1658284135,52.50832,13.30369,Charlotte-Wolff-Kolleg,Pestalozzistraße 40-41,10627.0,Berlin,04300623
1827035552,52.49928,13.41986,SCHATZ Schulaufgabenzirkel,,10999.0,Berlin,02300314
1833519549,52.48224,13.33446,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,Prinzregentenstraße 60,10715.0,Berlin,04501153
1833591080,52.48211,13.33445,Kläre-Bloch-Schule,Prinzregentenstraße 60,10715.0,Berlin,04501153
1855387994,52.53571,13.60489,Das Lernzentum (Helliwood media & education),,,,10200526
1867142844,52.49677,13.42175,Institut für Phytotherapie,Paul-Lincke-Ufer 42-43,10999.0,Berlin,02300417
2134648578,52.49408,13.44638,InBit Institut,,,,09100101
2136734352,52.61088,13.24797,Fachschule für Sozialpädagogik,Am Bärensprung 58,13503.0,Berlin,12400619
2180504961,52.48245,13.33506,Wangari Maathai International School,Babelsberger Straße 24-25,10715.0,Berlin,04501153
2232813894,52.49356,13.42015,Hermann-Hesse-Gymnasium (Haus 3),,,,02200213
2324229688,52.39388,13.09344,IFM,Karl-Liebknecht-Straße 21-22,14482.0,Potsdam,
2379197943,52.52374,13.34293,indisoft GmbH,Stromstraße 3b,10555.0,Berlin,01200626
2431140182,52.55333,13.36533,das kleine atelier,Oudenarder Straße 32,13347.0,Berlin,01401049
2538629492,52.54253,13.44152,Freie Sekundarschule Peppermont,Greifswalder Straße 88,10409.0,Berlin,03601449
2610154858,52.55728,13.44172,Berlin Bilingual School,Rudolf-Baschant-Straße 2,13086.0,Berlin,03500932
2629122240,52.49613,13.38416,Taxischule Metropolis,,,,02200208
2844490858,52.52184,13.44017,,Diestelmeyerstraße 6,10249.0,Berlin,02400521
2952353502,52.56607,13.38113,Quinoa Schule,Kühnemannstraße 26,13409.0,Berlin,01300731
3090369566,52.53966,13.41812,iek,Husemannstraße 32,10435.0,Berlin,03701555
3093478831,52.51551,13.38455,Schule bei der Botschaft der Russischen Föderation,Behrenstraße 64-65,10117.0,Berlin,01100206
3347795761,52.45463,13.26989,Quentin-Blake-Europa-Schule,Hüttenweg 40,14195.0,Berlin,06400842
3465132015,52.48806,13.32946,Svenska Skolan i Berlin,Landhausstraße 26-28,10717.0,Berlin,04501149
3644290194,52.51220,13.44750,Be The - Therapie bei Lernschwierigkeiten,Am Comeniusplatz 2,10243.0,Berlin,02400624
4097819340,52.56311,13.09249,Europaschule am Gutspark,,,,
4149486091,52.50197,13.39195,Liebmann-Schule,Friedrichstraße 13,10969.0,Berlin,02100102
4298064770,52.57305,13.19482,Hort der ESS,,13587.0,Berlin,05100101
4368419896,52.50402,13.35938,Internationale Lomonossow-Schule,Genthiner Straße 20,10785.0,,01100103
4514468855,52.66501,13.37739,Käthe-Kollwitz-Grundschule,,,,
4514472128,52.66436,13.37794,Hort,,,,
4850314524,52.49080,13.37745,Cumbancha,Möckernstraße 68,10965.0,,02200209
4864189821,52.53289,13.27975,EIIE EURASIA Institute for International Education GmbH,,13627.0,,05300840
4932662327,52.52793,13.44778,Piano Cano,Cotheniusstraße 3,10407.0,Berlin,03601452
5477749794,52.45440,13.39461,Samuel-Hahnemann-Schule,Colditzstraße 34-36,12099.0,Berlin,07400927
5661514223,52.42273,13.44682,Schule am Hasenhegerweg,Hasenhegerweg 12,12353.0,Berlin,08200833
5661514224,52.42244,13.44681,Lisa-Tetzner-Grundschule,Hasenhegerweg 12,12353.0,Berlin,08200833
5695079683,52.52368,13.48854,OTA - Tanyildiz Schweißtechnik,Josef-Orlopp-Straße 45 - 49,10365.0,Berlin,11300721
5790175872,52.53478,13.42731,Corrie-ten-Boom-Schule,Christburger Straße 14C,10405.0,Berlin,03701658
5790175875,52.53464,13.42784,Elisabeth-Abegg-Grundschule,Christburger Straße 14C,10405.0,Berlin,03701658
5892790086,52.33883,13.27384,Schule,,,,
5907019898,52.48580,13.35412,Privates Europa-Gymnasium Berlin,Hauptstraße 27,10827.0,Berlin,07200409
5997094437,52.50954,13.26340,Moser Schule Schweizer Gymnasium gGmbH,,,,04200310
6058583254,52.52735,13.40626,,Mulackstraße 8,10119.0,Berlin,01100309
6153498939,52.48111,13.28871,Institut für Verhaltenstherapie Berlin,Hohenzollerndamm 125;126,14199.0,Berlin,04400830
6215800460,52.53753,13.39769,Mal- und Zeichenschule Prib,Brunnenstraße 45,10115.0,Berlin,01100416
6251995791,52.55057,13.37046,Produktionsschule Mitte,,,,01401044
6410792688,52.63316,13.50729,Akademie der Gesundheit,Schwanebecker Chaussee 4 E-H,13125.0,,03100102
6422859463,52.55330,13.40971,Freie Grundschule Pfefferwerk,Schönfließer Straße 7,10439.0,Berlin,03601141
6422859464,52.55295,13.40965,Freie Sekundarschule PepperMont,,,,03601141
7014964448,52.35942,13.09390,Aktive Schule Potsdam,Liefelds Grund 23-25,14478.0,Potsdam,
