id,points,inhabitants,_100k_inhabitants
011001,1,16293,0.16293
011002,1,13637,0.13637
011003,6,62233,0.62233
011004,3,32384,0.32384
012005,2,46905,0.46905
012006,1,43624,0.43624
013008,3,40026,0.40026
014010,5,56616,0.56616
021001,4,40981,0.40981
022002,4,64657,0.64657
023003,4,19454,0.19454
023004,3,26326,0.26326
024005,4,26010,0.2601
024006,1,27252,0.27252
025007,2,31174,0.31174
025008,4,56770,0.5677
032003,1,18833,0.18833
034007,1,39348,0.39348
035009,1,41559,0.41559
036013,3,22853,0.22853
036014,1,30041,0.30041
037015,6,27309,0.27309
037016,3,33591,0.33591
042003,1,27965,0.27965
043004,4,42997,0.42997
043006,1,50836,0.50836
045009,6,28316,0.28316
045010,3,40669,0.40669
045011,3,49498,0.49498
051003,1,41028,0.41028
052005,1,30971,0.30971
052006,4,37211,0.37211
053007,1,20008,0.20008
053008,1,13438,0.13438
061001,2,22146,0.22146
061002,3,54101,0.54101
063005,2,34282,0.34282
071001,1,26387,0.26387
072003,2,21247,0.21247
072004,1,31676,0.31676
073005,2,25939,0.25939
074008,1,32691,0.32691
074009,1,15380,0.1538
075010,4,32705,0.32705
075011,1,21059,0.21059
076012,1,17997,0.17997
076013,1,14362,0.14362
081001,2,33049,0.33049
081002,2,37581,0.37581
081004,3,38919,0.38919
082006,1,21540,0.2154
082007,1,23196,0.23196
084012,1,44165,0.44165
091001,1,13453,0.13453
092005,3,25664,0.25664
093009,2,31244,0.31244
093012,1,4487,0.04487
101003,1,42246,0.42246
102004,1,44060,0.4406
113008,1,10508,0.10508
114009,1,35831,0.35831
114010,1,16561,0.16561
115012,2,4899,0.04899
121001,1,28760,0.2876
122003,2,28242,0.28242
124006,2,24332,0.24332
125009,1,32190,0.3219
126011,1,27454,0.27454
