id,points,inhabitants,_100k_inhabitants
0110,11,124547,1.24547
0120,3,90529,0.90529
0130,3,78770,0.7877
0140,5,103158,1.03158
0210,4,40981,0.40981
0220,4,64657,0.64657
0230,7,45780,0.4578
0240,5,53262,0.53262
0250,6,87944,0.87944
0320,1,49064,0.49064
0340,1,95353,0.95353
0350,1,57552,0.57552
0360,4,108982,1.08982
0370,9,60900,0.609
0420,1,41112,0.41112
0430,5,109983,1.09983
0450,12,118483,1.18483
0510,1,113812,1.13812
0520,5,91941,0.91941
0530,2,33446,0.33446
0610,5,76247,0.76247
0630,2,83753,0.83753
0710,1,50344,0.50344
0720,3,52923,0.52923
0730,2,47401,0.47401
0740,2,67378,0.67378
0750,5,53764,0.53764
0760,2,85149,0.85149
0810,7,162548,1.62548
0820,2,74382,0.74382
0840,1,53827,0.53827
0910,1,66246,0.66246
0920,3,75507,0.75507
0930,3,59802,0.59802
1010,1,119584,1.19584
1020,1,93512,0.93512
1130,1,79321,0.79321
1140,2,80743,0.80743
1150,2,36822,0.36822
1210,1,57082,0.57082
1220,2,59919,0.59919
1240,2,57310,0.5731
1250,1,48950,0.4895
1260,1,50837,0.50837
