id,points,inhabitants,_100k_inhabitants
01100103,1,5790,0.0579
01100206,1,1876,0.01876
01100309,4,12651,0.12651
01100310,1,10181,0.10181
01100313,1,11590,0.1159
01100415,1,13348,0.13348
01100416,2,13523,0.13523
01200518,1,7096,0.07096
01200519,1,9592,0.09592
01200626,1,6079,0.06079
01300835,1,10821,0.10821
01300836,2,14947,0.14947
01401045,1,5531,0.05531
01401046,2,8869,0.08869
01401048,2,9520,0.0952
02100101,1,7225,0.07225
02100104,2,5550,0.0555
02100106,1,4813,0.04813
02200210,1,12350,0.1235
02200211,2,14595,0.14595
02200212,1,8340,0.0834
02300314,1,7085,0.07085
02300315,1,8209,0.08209
02300316,2,4160,0.0416
02300417,3,8301,0.08301
02400520,1,5904,0.05904
02400521,1,8712,0.08712
02400522,2,11394,0.11394
02400624,1,11887,0.11887
02500728,2,10073,0.10073
02500832,2,9541,0.09541
02500834,1,11299,0.11299
02500836,1,5137,0.05137
03200310,1,8088,0.08088
03400721,1,11895,0.11895
03500935,1,6799,0.06799
03601346,1,5888,0.05888
03601347,2,9495,0.09495
03601452,1,4746,0.04746
03701554,2,11453,0.11453
03701555,3,7258,0.07258
03701556,1,8598,0.08598
03701659,1,9477,0.09477
03701660,2,12614,0.12614
04200311,1,7424,0.07424
04300413,2,9973,0.09973
04300414,1,10581,0.10581
04300415,1,6258,0.06258
04300622,1,5269,0.05269
04500936,1,5621,0.05621
04500937,2,7653,0.07653
04500938,1,8281,0.08281
04500939,2,6761,0.06761
04501041,2,5420,0.0542
04501044,1,5328,0.05328
04501146,2,4744,0.04744
04501151,1,7420,0.0742
05100316,1,10505,0.10505
05200524,1,3380,0.0338
05200629,1,8357,0.08357
05200632,2,3655,0.03655
05200634,1,4319,0.04319
05300736,1,3575,0.03575
05300841,1,4605,0.04605
06100101,1,6912,0.06912
06100102,1,9048,0.09048
06100207,1,8168,0.08168
06100208,2,7065,0.07065
06300525,1,5820,0.0582
06300528,1,10947,0.10947
07100102,1,8696,0.08696
07200307,1,10549,0.10549
07200308,1,10698,0.10698
07200411,1,2741,0.02741
07300516,2,8896,0.08896
07400824,1,7387,0.07387
07400927,1,11415,0.11415
07501029,2,8544,0.08544
07501030,2,8753,0.08753
07501134,1,10548,0.10548
07601236,1,10335,0.10335
07601341,1,2225,0.02225
08100101,1,4626,0.04626
08100102,1,8181,0.08181
08100206,1,9350,0.0935
08100209,1,8834,0.08834
08100415,1,6388,0.06388
08100418,2,9193,0.09193
08200623,1,6692,0.06692
08200729,1,1869,0.01869
08401245,1,3720,0.0372
09100101,1,13453,0.13453
09200510,3,8024,0.08024
09300920,2,13253,0.13253
09301228,1,2635,0.02635
10100316,1,3696,0.03696
10200421,1,1757,0.01757
11300826,1,10508,0.10508
11400927,1,4173,0.04173
11401033,1,6890,0.0689
11501238,2,4899,0.04899
12100102,1,9980,0.0998
12200309,1,11286,0.11286
12200310,1,8284,0.08284
12400616,1,6113,0.06113
12400618,1,3789,0.03789
12500929,1,5104,0.05104
12601134,1,16006,0.16006
