id,lat,lon,name,street,zip_code,city,planning_area_id
281426523,52.46123,13.51262,Bowling Spreehöfe,Wilhelminenhofstraße 89,12459.0,Berlin,09200510
282743483,52.51956,13.46701,Bowlero,Samariterstraße 19-20,10247.0,Berlin,02500728
291656876,52.52017,13.20913,Ruder-Club Hevella,,,,05200632
315240798,52.53138,13.42512,Nautilus Training,Immanuelkirchstraße 14,10405.0,Berlin,03701659
325670043,52.59720,13.69170,Bogenscheune “Bulls Eye”,,,,
354513937,52.52843,13.13380,Pacific Fitness Studio,,,,05200524
579988110,52.53686,13.27018,Miss Sporty,Nonnendammallee 92,13629.0,Berlin,05300841
638751846,52.49644,13.42216,Shinson Hapkido Berlin e.V.,Paul-Lincke-Ufer 41,10999.0,Berlin,02300417
648259075,52.51091,13.21012,Ruderverein Berlin von 1878,"Brandensteinweg 2,2A",13595.0,Berlin,05200634
652418750,52.56462,13.32492,Fitness Center,,,,12200309
653165262,52.51063,13.53457,Frauenfitness balance,Alt-Friedrichsfelde 65 D,10315.0,Berlin,11401033
654202879,52.49081,13.30849,Combat Berlin e.V.,Ruhrstraße 12A,10709.0,Berlin,04500939
678967898,52.55089,13.35392,Fit im Wedding,,,,01401048
693826342,52.45952,13.31501,Schwimmschule Wassermeloni,Grunewaldstraße 14a,12165.0,Berlin,06100101
703744109,52.40313,13.50725,,,,,08401245
747882908,52.66909,13.28800,Schwimmschule Richter,Schönfließer Straße 17,16540.0,Hohen Neuendorf,
802697163,52.47979,13.34542,Shaolin Kungfu Berlin,Hauptstraße 60,10827.0,Berlin,07200308
852868183,52.41906,13.35925,Budo Academy Berlin,,,,07601236
876502187,52.66852,13.31829,,,,,
913133075,52.53624,13.39890,Yoga Delta Berlin,"Anklamer Straße 33, 2.Hinterhof",10115.0,Berlin,01100416
978426577,52.46130,13.51256,Der Wellness Club,Wilhelminenhofstraße 89,12459.0,Berlin,09200510
986525060,52.50542,13.36742,therapiezentrum working motion physio/ergo,Potsdamer Straße 58,10785.0,Berlin,01100103
1103266295,52.53338,13.19800,MeridianSpa,,,,05200629
1107566174,52.50645,13.28970,Sporthalle Peter-Ustinov-Schule,Kuno-Fischer-Straße 22-26,14057.0,Berlin,04300415
1111632078,52.47949,13.43276,Berlin Kart,Werbellinstraße 50,12053.0,Berlin,08100206
1172019472,52.60736,13.41997,Vital One,Hugenottenplatz 4,13127.0,Berlin,03200310
1336704980,52.53722,13.20603,Sportpark Budokan KG,Breite Straße 25,13597.0,Berlin,05100316
1412505911,52.55774,13.09223,The Rock Fighters,,,,
1509270667,52.67157,13.55315,Kampfkunstschule Bernau,Friedenstaler Platz 32,16321.0,Bernau bei Berlin,
1548522724,52.66057,13.53437,Gesu Vital,,,,
1575010825,52.40899,13.37753,Insel Sports Club,Motzener Straße 5,12277.0,Berlin,07601341
1673191293,52.42272,13.53971,Frauenfitness Ladies Pur,Köpenicker Straße 11,12524.0,Berlin,09300920
1742989893,52.42285,13.26409,Verein für Leibesübungen Zehlendorf e.V.,,,,06300528
1766636057,52.61148,13.24951,Reit- und Fahrverein Diakoniezentrum Heiligensee e.V.,Diakonieweg 6,13503.0,Berlin,12400618
1773500987,52.45860,13.32746,Sera-fit Pilates,,,,06100208
1800383252,52.61781,13.33577,Freibad Lübars,Am Freibad 9,13469.0,Berlin,12500929
1814665856,52.52778,13.40314,John Reed,Rosenthaler Straße 63/64,10119.0,Berlin,01100309
1814675572,52.52034,13.38846,Pink Frauen Fitness,,,,01100206
1901137847,52.36594,13.10333,Potsdamer Reitverein e.V.,Drewitzer Straße 42,14478.0,Potsdam,
1914072612,52.51753,13.27934,Kimuras Karate Schule,,,,04200311
1914078567,52.52500,13.32744,Tezentao Kampfkunst,,,,01200518
1914078965,52.45544,13.32068,Sportschule Randori,,,,06100102
1914079546,52.48750,13.36135,MMA Berlin,,,,07200411
1914080650,52.52793,13.45045,Siu Lam Wing Chun Schule,,,,03601452
1914085781,52.48670,13.31819,Chen-Taichi-Berlin,,,,04501146
1914552746,52.49706,13.32321,FitbyFerro - Personal Training,Pariser Straße 46,10719.0,Berlin,04501044
1918476296,52.48889,13.38731,Aikido Kreuzberg,,,,02200211
1918480806,52.52703,13.39085,Ju Jutsu @ HU-Berlin,,,,01100309
1918483212,52.53167,13.39939,"Aikido-Zentrum, Horst Späthling",,,,01100415
1918483826,52.53354,13.40709,Tai Chi Schule Dang Lang,Zionskirchstraße 57,10119.0,Berlin,01100416
1918485997,52.53929,13.41312,Chen Tai-Chi-Chuan (Taijiquan) des CTND Berlin,,,,03701555
1918486517,52.53957,13.41354,Seon Taekwondo,,,,03701555
1918487036,52.54647,13.41612,Aikido für Kinder Tanden Dojo,,,,03601346
1918487574,52.54675,13.42065,Chen Taiji Berlin,,,,03601347
1918491864,52.55298,13.38024,"Chen Taiji Berlin - Kampfkunst, Meditation, Philosophie",,,,01401045
1918493379,52.53191,13.42972,ChoHwa,,,,03701660
1918506060,52.50787,13.47284,Thaiboxgym Berlin e.V.,,,,02500832
1918506398,52.50820,13.47261,Ringside Gym,,,,02500832
