id,points,inhabitants,_100k_inhabitants
011001,4,16293,0.16293
011002,11,13637,0.13637
011003,27,62233,0.62233
011004,10,32384,0.32384
012005,16,46905,0.46905
012006,10,43624,0.43624
013007,7,38744,0.38744
013008,10,40026,0.40026
014009,8,46542,0.46542
014010,15,56616,0.56616
021001,13,40981,0.40981
022002,23,64657,0.64657
023003,6,19454,0.19454
023004,11,26326,0.26326
024005,8,26010,0.2601
024006,7,27252,0.27252
025007,9,31174,0.31174
025008,14,56770,0.5677
031001,4,17674,0.17674
032002,3,30231,0.30231
032003,5,18833,0.18833
033004,5,20185,0.20185
033005,3,17566,0.17566
034006,2,18885,0.18885
034007,7,39348,0.39348
034008,8,37120,0.3712
035009,8,41559,0.41559
035010,1,15993,0.15993
036011,5,27973,0.27973
036012,11,28115,0.28115
036013,8,22853,0.22853
036014,11,30041,0.30041
037015,12,27309,0.27309
037016,10,33591,0.33591
041001,4,19646,0.19646
042002,1,13147,0.13147
042003,7,27965,0.27965
043004,14,42997,0.42997
043005,3,16150,0.1615
043006,26,50836,0.50836
044007,2,19829,0.19829
044008,10,34447,0.34447
045009,11,28316,0.28316
045010,17,40669,0.40669
045011,13,49498,0.49498
051001,3,29637,0.29637
051002,2,43147,0.43147
051003,10,41028,0.41028
052004,3,23759,0.23759
052005,4,30971,0.30971
052006,7,37211,0.37211
053007,3,20008,0.20008
053008,6,13438,0.13438
054009,3,20078,0.20078
061001,12,22146,0.22146
061002,13,54101,0.54101
062003,4,44698,0.44698
062004,4,35974,0.35974
063005,3,34282,0.34282
063006,7,49471,0.49471
064007,7,26664,0.26664
064008,10,42708,0.42708
071001,14,26387,0.26387
071002,10,23957,0.23957
072003,3,21247,0.21247
072004,19,31676,0.31676
073005,13,25939,0.25939
073006,3,21462,0.21462
074007,3,19307,0.19307
074008,7,32691,0.32691
074009,7,15380,0.1538
075010,7,32705,0.32705
075011,5,21059,0.21059
076012,2,17997,0.17997
076013,3,14362,0.14362
076014,2,21257,0.21257
076015,5,31533,0.31533
081001,7,33049,0.33049
081002,24,37581,0.37581
081003,12,37805,0.37805
081004,11,38919,0.38919
081005,3,15194,0.15194
082006,3,21540,0.2154
082007,5,23196,0.23196
082008,4,29646,0.29646
083009,4,20234,0.20234
083010,2,18497,0.18497
084011,2,9662,0.09662
084012,3,44165,0.44165
091001,4,13453,0.13453
091002,2,11753,0.11753
091003,2,19404,0.19404
091004,2,21636,0.21636
092005,2,25664,0.25664
092006,2,14508,0.14508
092007,5,22417,0.22417
092008,1,12918,0.12918
093009,1,31244,0.31244
093010,5,15695,0.15695
093012,1,4487,0.04487
094013,1,12925,0.12925
094014,1,12042,0.12042
095017,4,19036,0.19036
095018,2,11138,0.11138
095019,5,12525,0.12525
095020,1,13462,0.13462
101001,3,25148,0.25148
101002,8,52190,0.5219
101003,9,42246,0.42246
102004,4,44060,0.4406
102005,1,23435,0.23435
102006,3,26017,0.26017
103007,4,30959,0.30959
104008,1,19683,0.19683
111002,9,30968,0.30968
111003,5,28157,0.28157
112004,2,17330,0.1733
112005,5,35756,0.35756
113006,5,34484,0.34484
113007,7,34329,0.34329
114009,4,35831,0.35831
114010,3,16561,0.16561
114011,9,28351,0.28351
115013,3,31923,0.31923
121001,4,28760,0.2876
121002,6,28322,0.28322
122003,7,28242,0.28242
122004,2,20355,0.20355
122005,4,11322,0.11322
124006,2,24332,0.24332
124007,6,32978,0.32978
125009,4,32190,0.3219
126010,3,9583,0.09583
126011,4,27454,0.27454
126012,1,13800,0.138
