id,points,inhabitants,_100k_inhabitants
0110,52,124547,1.24547
0120,26,90529,0.90529
0130,17,78770,0.7877
0140,23,103158,1.03158
0210,13,40981,0.40981
0220,23,64657,0.64657
0230,17,45780,0.4578
0240,15,53262,0.53262
0250,23,87944,0.87944
0310,4,17674,0.17674
0320,8,49064,0.49064
0330,8,37751,0.37751
0340,17,95353,0.95353
0350,9,57552,0.57552
0360,35,108982,1.08982
0370,22,60900,0.609
0410,4,19646,0.19646
0420,8,41112,0.41112
0430,43,109983,1.09983
0440,12,54276,0.54276
0450,41,118483,1.18483
0510,15,113812,1.13812
0520,14,91941,0.91941
0530,9,33446,0.33446
0540,3,20078,0.20078
0610,25,76247,0.76247
0620,8,80672,0.80672
0630,10,83753,0.83753
0640,17,69372,0.69372
0710,24,50344,0.50344
0720,22,52923,0.52923
0730,16,47401,0.47401
0740,17,67378,0.67378
0750,12,53764,0.53764
0760,12,85149,0.85149
0810,57,162548,1.62548
0820,12,74382,0.74382
0830,6,38731,0.38731
0840,5,53827,0.53827
0910,10,66246,0.66246
0920,10,75507,0.75507
0930,7,59802,0.59802
0940,2,39520,0.3952
0950,12,56161,0.56161
1010,20,119584,1.19584
1020,8,93512,0.93512
1030,4,30959,0.30959
1040,1,50036,0.50036
1110,14,65576,0.65576
1120,7,53086,0.53086
1130,12,79321,0.79321
1140,16,80743,0.80743
1150,3,36822,0.36822
1210,10,57082,0.57082
1220,13,59919,0.59919
1240,8,57310,0.5731
1250,4,48950,0.4895
1260,8,50837,0.50837
