id,points,inhabitants,_100k_inhabitants
01100101,1,3580,0.0358
01100102,1,2034,0.02034
01100103,2,5790,0.0579
01100205,3,2917,0.02917
01100206,4,1876,0.01876
01100207,4,8844,0.08844
01100308,3,7297,0.07297
01100309,7,12651,0.12651
01100310,7,10181,0.10181
01100311,4,9787,0.09787
01100312,3,10727,0.10727
01100313,3,11590,0.1159
01100414,1,5513,0.05513
01100415,6,13348,0.13348
01100416,3,13523,0.13523
01200517,1,3924,0.03924
01200518,2,7096,0.07096
01200519,2,9592,0.09592
01200520,5,9513,0.09513
01200521,2,5259,0.05259
01200522,4,11521,0.11521
01200623,3,10990,0.1099
01200624,4,6942,0.06942
01200625,1,6905,0.06905
01200626,1,6079,0.06079
01200628,1,3281,0.03281
01300730,3,8060,0.0806
01300731,1,8922,0.08922
01300733,3,11684,0.11684
01300834,3,14258,0.14258
01300836,7,14947,0.14947
01400938,4,9681,0.09681
01400939,1,6149,0.06149
01400942,3,8789,0.08789
01401043,3,7627,0.07627
01401044,2,10226,0.10226
01401046,1,8869,0.08869
01401047,2,8206,0.08206
01401048,6,9520,0.0952
01401049,1,6637,0.06637
02100101,3,7225,0.07225
02100102,4,8660,0.0866
02100103,1,5470,0.0547
02100104,4,5550,0.0555
02100105,1,9263,0.09263
02200207,1,2666,0.02666
02200208,1,5745,0.05745
02200209,4,10957,0.10957
02200210,2,12350,0.1235
02200211,5,14595,0.14595
02200212,4,8340,0.0834
02200213,6,10004,0.10004
02300314,4,7085,0.07085
02300315,2,8209,0.08209
02300417,3,8301,0.08301
02300418,2,7629,0.07629
02300419,6,10396,0.10396
02400520,2,5904,0.05904
02400521,1,8712,0.08712
02400522,5,11394,0.11394
02400623,3,14037,0.14037
02400624,3,11887,0.11887
02400625,1,1328,0.01328
02500727,1,6519,0.06519
02500728,5,10073,0.10073
02500729,3,5407,0.05407
02500830,1,4071,0.04071
02500831,1,7857,0.07857
02500832,7,9541,0.09541
02500835,4,8820,0.0882
02500836,1,5137,0.05137
03100101,2,4720,0.0472
03100103,2,9449,0.09449
03200206,2,6842,0.06842
03200207,1,11799,0.11799
03200309,3,5484,0.05484
03200310,2,8088,0.08088
03300411,2,11764,0.11764
03300412,3,5226,0.05226
03300514,1,6869,0.06869
03300516,2,9560,0.0956
03400618,1,4783,0.04783
03400619,1,10596,0.10596
03400721,2,11895,0.11895
03400722,3,3807,0.03807
03400723,2,7507,0.07507
03400826,2,7222,0.07222
03400828,4,4934,0.04934
03400829,2,5968,0.05968
03500932,1,6659,0.06659
03500933,1,7686,0.07686
03500935,3,6799,0.06799
03500936,3,10052,0.10052
03501037,1,8487,0.08487
03601139,1,4040,0.0404
03601141,1,7057,0.07057
03601142,3,10860,0.1086
03601243,4,6990,0.0699
03601245,7,13511,0.13511
03601346,2,5888,0.05888
03601347,4,9495,0.09495
03601348,2,7470,0.0747
03601449,3,9928,0.09928
03601450,2,5449,0.05449
03601451,2,6527,0.06527
03601452,1,4746,0.04746
03601453,3,3391,0.03391
03701554,4,11453,0.11453
03701555,1,7258,0.07258
03701556,7,8598,0.08598
03701657,1,3215,0.03215
03701658,3,8285,0.08285
03701659,3,9477,0.09477
03701660,3,12614,0.12614
04100101,2,11768,0.11768
04100102,2,7878,0.07878
04200204,1,3325,0.03325
04200308,1,6113,0.06113
04200309,1,6895,0.06895
04200310,5,7533,0.07533
04300413,5,9973,0.09973
