id,lat,lon,name,street,zip_code,city,planning_area_id
58489979,52.50981,13.40737,Netto Marken-Discount,Alte Jakobstraße 83,10179.0,Berlin,01100312
79418658,52.57241,13.30854,Ledo,Quäkerstraße 2,13403.0,Berlin,12200310
79422426,52.57167,13.31247,kiezmarkt,,,,12200310
79428988,52.56640,13.31693,nah & gut,Scharnweberstraße 100,13405.0,Berlin,12200309
79438509,52.57048,13.32114,Nahkauf,Meller Bogen 2,13403.0,Berlin,12200308
101003688,52.49139,13.32288,nah und gut,Güntzelstraße 40,10717.0,Berlin,04501147
151015050,52.52654,13.54030,NORMA,,,,10100312
175685784,52.59582,13.33351,Netto Marken-Discount,,13435.0,,12500927
245261389,52.55242,13.34806,Aldi,Müllerstraße 128,13349.0,Berlin,01400938
249675570,52.54391,13.54861,Netto Marken-Discount,,,,10100210
251340008,52.43157,13.71497,Edeka Leher,Fürstenwalder Allee 314,12589.0,Berlin,09501838
251595302,52.56503,13.37064,PENNY,Pankower Allee 47-49,,,12100101
253256553,52.55150,13.45508,Netto,,,,03500933
253616655,52.51006,13.47095,EDEKA Thaut,,,,02500832
253999816,52.48731,13.35707,Öz-Gida,Hauptstraße 16,10827.0,Berlin,07200409
254862675,52.47011,13.46213,EDEKA,,,,08100520
257704877,52.54760,13.21003,Lidl,Neuendorfer Straße 30,13585.0,Berlin,05100313
259835062,52.54287,13.19655,Lidl,Falkenseer Damm 19,13585.0,Berlin,05100316
259855794,52.50853,13.27168,Aldi,Theodor-Heuss-Platz 7,14052.0,Berlin,04200310
261743904,52.52761,13.32916,REWE,Turmstraße 60,10551.0,Berlin,01200519
262353263,52.45731,13.50785,Kaufland,Schnellerstraße 21,12439.0,Berlin,09200613
262355894,52.51561,13.46231,EDEKA,Frankfurter Allee 35 - 37,10247.0,Berlin,02500728
262878248,52.37221,13.61573,BesserBio,Bahnhofstraße 1,15732.0,Eichwalde,
264620848,52.55656,13.57148,REWE,Oberweißbacher Straße 2-4,12687.0,Berlin,10100206
264645629,52.46863,13.31179,REWE City,Südwestkorso 36,14197.0,Berlin,04400835
268021255,52.51900,13.30078,REWE City,Otto-Suhr-Allee 141,10585.0,Berlin,04300621
268664135,52.56358,13.41214,Lidl,Berliner Straße 27-28,13189.0,Berlin,03400826
268844516,52.60825,13.23538,E-Center,,,,12400619
268845115,52.60974,13.24827,Top Frischemarkt,,,,12400619
269478706,52.43282,13.53510,Kaufland,Rudower Chaussee 12,12489.0,Berlin,09200715
269479009,52.51368,13.40600,Edeka Ungefroren,Fischerinsel 12,10179.0,Berlin,01100312
270793632,52.43137,13.71473,Aldi,,,,09501838
270814685,52.44226,13.24046,EDEKA,Fischerhüttenstraße 68,14163.0,Berlin,06400839
270814692,52.42685,13.21591,EDEKA,Potsdamer Chaussee 80,14129.0,Berlin,06400736
270880692,52.43573,13.75457,NORMA,,,,
271738194,52.53740,13.20470,EDEKA,Markt 11,13597.0,Berlin,05100316
272247519,52.45605,13.43746,Penny,Britzer Damm 73,12347.0,Berlin,08200623
272247672,52.45742,13.43733,Edeka,Britzer Damm 55-59,12347.0,Berlin,08200623
273759099,52.46307,13.33884,Netto Marken-Discount,,,,06100209
273765898,52.52342,13.30656,REWE,Sömmeringstraße 24-26,10589.0,Berlin,04300518
274864620,52.52462,13.19771,REWE City,Pichelsdorfer Straße 110,13595.0,Berlin,05200631
276145759,52.46387,13.48585,EDEKA Yilmaz,Baumschulenstraße 31,12437.0,Berlin,09100304
