id,points,inhabitants,_100k_inhabitants
011001,5,16293,0.16293
011002,7,13637,0.13637
011003,12,62233,0.62233
011004,4,32384,0.32384
012005,2,46905,0.46905
012006,2,43624,0.43624
013007,1,38744,0.38744
014010,3,56616,0.56616
021001,3,40981,0.40981
022002,10,64657,0.64657
023003,3,19454,0.19454
023004,3,26326,0.26326
024005,2,26010,0.2601
024006,2,27252,0.27252
025007,3,31174,0.31174
025008,2,56770,0.5677
034007,2,39348,0.39348
034008,1,37120,0.3712
035009,2,41559,0.41559
036011,2,27973,0.27973
036012,1,28115,0.28115
036013,1,22853,0.22853
036014,1,30041,0.30041
037015,7,27309,0.27309
042003,2,27965,0.27965
043004,3,42997,0.42997
043005,1,16150,0.1615
043006,6,50836,0.50836
044007,1,19829,0.19829
044008,1,34447,0.34447
045009,3,28316,0.28316
045010,2,40669,0.40669
045011,2,49498,0.49498
051003,2,41028,0.41028
061001,1,22146,0.22146
061002,1,54101,0.54101
063006,1,49471,0.49471
064007,1,26664,0.26664
064008,1,42708,0.42708
071001,2,26387,0.26387
071002,1,23957,0.23957
072004,2,31676,0.31676
073005,3,25939,0.25939
074007,1,19307,0.19307
074008,2,32691,0.32691
081002,1,37581,0.37581
081003,3,37805,0.37805
081004,4,38919,0.38919
092005,1,25664,0.25664
094015,4,7494,0.07494
101001,1,25148,0.25148
113006,1,34484,0.34484
113007,1,34329,0.34329
114009,1,35831,0.35831
122005,1,11322,0.11322
124007,1,32978,0.32978
